dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,0,8.31661,9.43872,0.73778,0.474112,19.0642,18.9672
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,1,7.57229,1.62859,0.722291,0.29696,10.2793,10.2201
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,2,7.55552,1.64237,0.69138,0.29184,10.2695,10.1811
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,3,7.65696,1.58429,0.709613,0.290816,10.3414,10.2417
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,4,7.57517,1.59272,0.710063,0.289792,10.2677,10.1677
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,5,7.58979,1.6737,0.694931,0.289792,10.2961,10.2482
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,6,7.51254,1.59273,0.708741,0.290816,10.2049,10.1048
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,7,7.54403,1.59566,0.710181,0.290816,10.2417,10.1407
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,8,7.66947,1.63077,0.707852,0.290816,10.406,10.2989
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,9,7.55747,1.63516,0.69874,0.288768,10.2706,10.1801
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,10,7.65571,1.6016,0.705301,0.288768,10.3516,10.2514
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,11,7.6168,1.60342,0.704282,0.300032,10.3261,10.2245
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,12,7.50538,1.6133,0.694969,0.288768,10.1613,10.1024
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,13,7.51622,1.73852,0.697554,0.288768,10.3063,10.2411
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,14,7.61939,1.59897,0.710609,0.292864,10.3196,10.2218
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,15,7.50611,1.67307,0.697549,0.292864,10.2625,10.1696
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,16,7.5633,1.59459,0.705719,0.292864,10.2572,10.1565
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,17,7.55018,1.66345,0.696,0.287744,10.2932,10.1974
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,18,7.49958,1.64588,0.70912,0.294912,10.249,10.1495
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,19,7.61258,1.70098,0.70695,0.292864,10.4119,10.3134
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,20,7.57338,1.60105,0.69701,0.29184,10.2187,10.1633
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,21,7.58845,1.60141,0.695028,0.293888,10.2286,10.1788
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,22,7.61222,1.59174,0.719078,0.29392,10.3178,10.217
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,23,7.46282,1.58859,0.702312,0.29184,10.1406,10.0456
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,24,7.49462,1.72045,0.709286,0.292864,10.3201,10.2172
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,25,7.63549,1.58999,0.712711,0.293888,10.3321,10.2321
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,26,7.55965,1.66144,0.721162,0.289792,10.2975,10.232
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,27,7.7815,1.57852,0.706655,0.29184,10.4606,10.3585
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,28,7.5872,1.61472,0.695563,0.29696,10.2777,10.1944
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,203,29,7.59606,1.61902,0.693235,0.293888,10.2695,10.2022
