dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,0,0.830464,1118,6.93291,2.49856,1123.2,1128.26
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,1,0.769792,1039.07,6.91175,1.88928,1046.29,1048.64
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,2,0.767936,1025.27,7.03389,1.88723,1035.1,1034.96
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,3,0.760288,1020.91,6.96675,1.85139,1030.63,1030.49
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,4,0.761696,1003.83,7.11026,1.84826,1013.69,1013.55
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,5,0.776064,1027.33,7.06769,1.85235,1037.16,1037.03
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,6,0.762496,1002.54,7.10061,1.86467,1011.19,1012.27
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,7,0.763936,1010.59,7.02877,1.85027,1020.38,1020.24
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,8,0.761824,1043.46,7.0725,1.85136,1053.28,1053.15
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,9,0.765824,1049.9,7.05048,1.8513,1055.46,1059.57
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,10,0.761088,1039.88,7.10771,1.85747,1049.75,1049.61
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,11,0.772768,1025.02,7.07806,1.85027,1034.04,1034.72
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,12,0.765824,1020.58,6.93965,1.88518,1030.35,1030.17
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,13,0.763968,1038.41,6.99909,1.8544,1048.22,1048.03
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,14,0.761728,1038,6.98126,1.85344,1047.73,1047.59
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,15,0.762624,993.272,7.07553,1.85437,1003.1,1002.96
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,16,0.765152,1027.49,7.04525,1.85133,1036.78,1037.15
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,17,0.762112,1024.33,6.97774,1.84925,1034.05,1033.92
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,18,0.764032,1024.59,7.02998,1.85136,1034.37,1034.24
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,19,0.761888,1014.65,6.88571,1.85549,1024.29,1024.15
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,20,0.761696,1038.08,6.85292,1.85043,1047.68,1047.55
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,21,0.76256,1023.41,6.99805,1.8544,1033.16,1033.02
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,22,0.765088,996.138,7.08057,1.85034,1004.69,1005.83
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,23,0.760576,1020.79,7.0297,1.85232,1030.57,1030.43
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,24,0.761984,1018.2,7.02046,1.84627,1027.41,1027.83
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,25,0.762976,1022.83,7.02998,1.84928,1031.48,1032.47
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,26,0.7632,1025,6.99695,1.84934,1034.5,1034.61
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,27,0.763104,1025.79,7.00098,1.84621,1034.16,1035.4
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,28,0.76144,1052.82,6.94022,1.84419,1061.24,1062.37
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",4,406,29,0.760736,1010.07,6.89128,1.84928,1019.7,1019.57
