dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,0,0.799616,1096.9,6.74817,2.52314,1104.75,1106.97
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,1,0.766272,1046.97,6.7838,1.88723,1054.15,1056.41
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,2,0.769568,1017.3,6.83635,1.85446,1020.94,1026.76
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,3,0.7704,1034.69,6.91806,1.85242,1043.21,1044.23
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,4,0.763072,1013.14,6.81915,1.84928,1022.71,1022.57
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,5,0.782432,1040.21,6.98904,1.88621,1049.06,1049.87
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,6,0.763872,1033.83,6.92602,1.84928,1042.71,1043.36
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,7,0.7656,1041.8,6.92839,1.85133,1051.39,1051.35
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,8,0.763648,1010.37,6.90775,1.84931,1020.04,1019.9
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,9,0.764384,1028.14,6.85439,1.84621,1036.69,1037.6
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,10,0.764032,1014.12,6.89973,1.85338,1023.77,1023.64
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,11,0.78176,1032.84,7.01713,1.87286,1042.67,1042.51
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,12,0.767424,1026.09,6.8631,1.85539,1034.18,1035.57
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,13,0.777376,1047.2,6.92316,1.85338,1052.21,1056.76
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,14,0.76304,1013.28,6.92125,1.84723,1020.94,1022.81
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,15,0.763392,1020.5,6.91916,1.84621,1029.29,1030.03
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,16,0.763616,1014.44,6.94762,1.84627,1022.85,1024
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,17,0.765472,1020.96,6.83715,1.84726,1027.38,1030.41
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,18,0.765216,1141.9,6.86571,1.84624,1004.6,1151.38
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,19,0.764704,1095.34,6.94367,1.84931,1078.08,1104.9
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,20,0.764192,1026.28,6.93725,1.84525,1019.86,1035.83
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,21,0.779552,1043.24,6.92604,1.85955,1045.79,1052.81
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,22,0.76096,1068.22,6.90851,1.84723,1077.87,1077.74
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,23,0.763712,1037.42,6.89264,1.84829,1044.65,1046.93
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,24,0.771808,1009.46,6.90258,1.84723,1015.68,1018.98
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,25,0.771008,1028.8,6.92815,1.84931,1035.98,1038.35
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,26,0.763616,1064.81,6.92434,1.84422,1072.52,1074.34
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,27,0.76256,1025.42,6.80955,1.84931,1032.18,1034.84
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,28,0.76496,1050.27,6.85525,1.85133,1057.95,1059.74
3,double,uniform,GPU,"P | P | P | P | D | N",4,406,29,0.770464,997.183,6.92249,1.84416,1004.79,1006.72
