dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,0,0.769152,266.317,1.53611,0.797696,264.898,269.42
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,1,0.210464,184.137,1.51548,0.410528,181.547,186.273
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,2,0.213536,190.663,1.50621,0.41984,192.837,192.802
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,3,0.21168,186.77,1.4823,0.417792,187.797,188.881
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,4,0.2144,180.781,1.48851,0.418816,177.754,182.903
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,5,0.2088,189.165,1.51432,0.4096,181.075,191.297
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,6,0.202848,182.827,1.51585,0.414656,180.162,184.96
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,7,0.206848,190.2,1.49139,0.408512,188.786,192.307
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,8,0.213088,182.901,1.52532,0.415744,185.114,185.055
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,9,0.204224,181.507,1.52111,0.41056,182.832,183.643
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,10,0.21648,182.599,1.51087,0.413696,184.797,184.74
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,11,0.2016,184.09,1.50112,0.41056,186.177,186.203
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,12,0.210432,178.914,1.51208,0.413696,181.075,181.05
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,13,0.211264,180.27,1.5121,0.412672,182.474,182.406
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,14,0.208448,186.796,1.48925,0.413696,184.647,188.907
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,15,0.209696,184.96,1.49205,0.411648,184.333,187.073
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,16,0.212736,183.476,1.51011,0.418816,185.686,185.618
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,17,0.212448,177.144,1.51234,0.41472,179.38,179.284
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,18,0.212224,178.122,1.4886,0.411648,180.337,180.234
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,19,0.210208,186.677,1.47867,0.412672,186.265,188.778
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,20,0.20848,191.763,1.49399,0.411584,191.678,193.877
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,21,0.20832,182.217,1.50961,0.416768,184.392,184.352
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,22,0.210752,182.193,1.48455,0.411648,184.095,184.3
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,23,0.216928,177.106,1.4977,0.415744,179.158,179.237
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,24,0.217824,175.889,1.52399,0.408576,178.057,178.04
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,25,0.21392,174.656,1.57852,0.421888,177.002,176.87
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,26,0.205792,181.279,1.48065,0.4096,183.407,183.375
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,27,0.214816,184.084,1.5012,0.411648,186.232,186.212
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,28,0.199296,176.338,1.50882,0.40752,178.428,178.453
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,369,29,0.205408,179.072,1.50668,0.406496,179.195,181.191
