dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,0,13.5881,264.287,1.63408,0.828352,280.523,280.338
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,1,12.4173,194.305,1.62341,0.4208,208.886,208.767
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,2,12.3871,187.955,1.61796,0.417728,202.491,202.378
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,3,12.232,187.309,1.64307,0.429024,201.746,201.613
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,4,12.2285,194.933,1.52013,0.409568,207.694,209.091
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,5,12.19,175.649,1.52406,0.414656,189.575,189.778
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,6,12.2569,185.683,1.62729,0.42288,200.13,199.99
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,7,12.2233,178.974,1.5172,0.41056,191.673,193.125
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,8,12.4079,189.363,1.62826,0.418752,203.997,203.818
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,9,11.5815,180.216,1.49004,0.408544,193.761,193.696
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,10,12.2482,186.772,1.62459,0.426912,201.193,201.072
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,11,12.1832,184.487,1.52087,0.416672,197.455,198.607
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,12,11.5713,183.887,1.48654,0.408544,193.42,197.353
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,13,12.3383,183.339,1.51274,0.41056,196.209,197.601
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,14,12.3207,178.18,1.51032,0.409536,189.425,192.421
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,15,12.2403,172.659,1.62912,0.418784,187.066,186.947
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,16,12.3231,189.226,1.51493,0.4096,197.767,203.474
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,17,11.6756,174.489,1.48652,0.408512,187.707,188.06
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,18,12.1733,175.814,1.51993,0.41056,189.362,189.917
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,19,12.3978,175.935,1.62111,0.416768,190.486,190.371
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,20,12.3926,178.097,1.62159,0.417696,192.65,192.529
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,21,12.3759,182.969,1.62899,0.422848,197.515,197.396
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,22,11.4007,179.616,1.51395,0.414688,191.62,192.945
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,23,12.4506,183.027,1.61471,0.418752,197.649,197.511
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,24,11.4598,184.086,1.51399,0.410624,194.152,197.47
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,25,12.2361,181.761,1.62045,0.419776,196.151,196.038
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,26,12.2326,176.997,1.61386,0.415648,191.375,191.259
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,27,12.3391,182.327,1.52108,0.412576,194.659,196.6
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,28,12.322,178.588,1.51392,0.409536,186.723,192.833
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",8,369,29,12.3244,179.595,1.51157,0.40848,188.552,193.839
