dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,0,0.820736,282.897,1.56223,0.825312,286.277,286.105
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,1,0.21184,184.271,1.41161,0.411648,186.341,186.306
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,2,0.211456,181.461,1.52807,0.417696,183.722,183.619
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,3,0.210304,185.901,1.41449,0.412672,186.036,187.938
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,4,0.197472,181.218,1.40927,0.41056,183.084,183.235
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,5,0.208352,176.885,1.40909,0.411648,173.625,178.914
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,6,0.206784,181.94,1.4028,0.416768,182.968,183.966
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,7,0.206912,177.675,1.41464,0.411648,178.019,179.708
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,8,0.214336,181.976,1.41385,0.415744,184.077,184.02
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,9,0.2056,179.703,1.43624,0.411584,177.401,181.756
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,10,0.212032,180.743,1.41427,0.413696,182.863,182.783
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,11,0.20976,177.114,1.40372,0.407552,178.749,179.135
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,12,0.216064,177.373,1.41184,0.410624,179.431,179.412
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,13,0.208256,192.179,1.4072,0.420864,194.24,194.215
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,14,0.225568,184.119,1.43727,0.417792,185.519,186.2
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,15,0.209376,179.119,1.42691,0.408544,179.092,181.164
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,16,0.211168,180.622,1.41126,0.412672,182.694,182.657
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,17,0.217376,182.113,1.40929,0.41472,184.216,184.155
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,18,0.210336,185.255,1.4216,0.41472,187.006,187.302
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,19,0.2064,175.044,1.40066,0.412672,173.636,177.064
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,20,0.212096,179.46,1.4257,0.412672,176.173,181.51
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,21,0.21392,186.927,1.42313,0.416768,183.502,188.981
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,22,0.2192,185.637,1.42817,0.412672,186.852,187.697
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,23,0.218496,183.413,1.46121,0.437248,185.58,185.53
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,24,0.21568,180.305,1.40869,0.409568,176.008,182.339
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,25,0.212896,193.841,1.53473,0.422848,196.118,196.011
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,26,0.215552,180.825,1.41664,0.415744,182.898,182.873
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,27,0.214624,183.392,1.40961,0.4096,180.294,185.426
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,28,0.231136,189.499,1.43129,0.412672,187.536,191.574
3,float,uniform,GPU,"P | P | P | P | D | N",8,369,29,0.211008,190.879,1.41023,0.409536,190.386,192.91
