dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,0,0.892576,480.127,2.45358,1.12429,480.483,484.597
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,1,0.336736,402.22,2.45284,0.679936,402.897,405.689
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,2,0.338976,356.745,2.49072,0.681984,358.212,360.257
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,3,0.319904,379.941,2.45817,0.666624,382.943,383.386
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,4,0.354752,364.028,2.45372,0.677888,367.573,367.514
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,5,0.334496,394.52,2.45989,0.669696,395.98,397.984
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,6,0.32336,350.652,2.45315,0.666528,353.4,354.095
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,7,0.321056,357.21,2.45342,0.670688,355.247,360.656
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,8,0.335872,350.304,2.45781,0.690176,351.17,353.788
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,9,0.33152,350.504,2.6748,0.724928,354.344,354.236
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,10,0.342656,365.744,2.44212,0.676864,369.288,369.206
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,11,0.32528,362.631,2.45126,0.6656,362.762,366.073
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,12,0.33968,365.354,2.43962,0.676864,368.883,368.81
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,13,0.324224,350.951,2.44888,0.682912,352.697,354.407
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,14,0.341248,346.727,2.46015,0.67584,348.755,350.204
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,15,0.32352,354.888,2.44647,0.664608,352.393,358.322
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,16,0.328224,353.692,2.47769,0.6696,354.943,357.168
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,17,0.339904,363.224,2.4583,0.676864,363.481,366.699
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,18,0.339104,364.213,2.47369,0.681984,367.276,367.708
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,19,0.337184,358.01,2.45141,0.671744,357.887,361.471
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,20,0.325376,357.66,2.45002,0.669696,358.687,361.105
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,21,0.339712,364.662,2.47078,0.67584,368.227,368.149
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,22,0.339552,363.937,2.44305,0.67584,364.537,367.396
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,23,0.339808,361.903,2.44467,0.674816,363.972,365.362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,24,0.351296,357.572,2.44201,0.679936,359.009,361.045
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,25,0.324544,353.12,2.44504,0.665504,355.946,356.555
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,26,0.338656,361.138,2.48831,0.674816,360.014,364.64
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,27,0.326752,352.382,2.45583,0.6696,353.037,355.835
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,28,0.35296,357.465,2.45974,0.677888,361.021,360.955
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,369,29,0.328256,354.447,2.45829,0.66656,354.675,357.9
