dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,0,0.729344,0,143.266,0.560128,144.68,144.555
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,1,0.137312,0,6.77027,0.26624,7.26122,7.17382
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,2,0.132416,0,6.68133,0.267264,7.14638,7.08101
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,3,0.136384,0,6.68591,0.267264,7.20915,7.08956
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,4,0.13632,0,6.67976,0.265216,7.16402,7.0813
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,5,0.134336,0,6.66953,0.269312,7.15076,7.07318
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,6,0.134816,0,6.69404,0.269312,7.16419,7.09817
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,7,0.132736,0,6.66477,0.263168,7.13381,7.06068
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,8,0.133984,0,6.66799,0.263168,7.12845,7.06514
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,9,0.136096,0,6.6582,0.264192,7.12651,7.05848
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,10,0.135488,0,6.6646,0.265216,7.13674,7.0653
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,11,0.140896,0,6.69061,0.26624,7.16898,7.09774
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,12,0.133824,0,6.6741,0.264192,7.14658,7.07212
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,13,0.13408,0,6.65785,0.26624,7.12387,7.05817
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,14,0.131104,0,6.67121,0.267264,7.14453,7.06958
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,15,0.131936,0,6.66155,0.263168,7.12492,7.05666
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,16,0.134848,0,6.68931,0.269312,7.1704,7.09347
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,17,0.133856,0,6.7837,0.264192,7.25437,7.18175
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,18,0.135232,0,6.71322,0.27136,7.2014,7.11982
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,19,0.133088,0,6.68742,0.268288,7.16411,7.0888
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,20,0.135936,0,6.72744,0.263168,7.20644,7.12655
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,21,0.13088,0,6.67525,0.269312,7.15145,7.07544
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,22,0.133472,0,6.71485,0.265216,7.16631,7.11354
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,23,0.13424,0,6.83759,0.267264,7.32142,7.23909
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,24,0.134784,0,6.68382,0.263168,7.15367,7.08177
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,25,0.132832,0,7.21328,0.267264,7.68478,7.61337
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,26,0.13344,0,6.67367,0.268288,7.14598,7.0754
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,27,0.132608,0,6.68142,0.27136,7.15764,7.08539
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,28,0.134784,0,6.6753,0.273408,7.18388,7.08349
3,float,uniform,GPU,"P | P | P | P | P | P",4,256,29,0.135008,0,6.73202,0.26624,7.20403,7.13327
