dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,0,9.08419,11.5367,0.551653,0.50176,21.6622,21.6743
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,1,7.70861,2.8587,0.51704,0.241664,11.0758,11.326
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,2,7.76989,2.82366,0.469994,0.241664,11.0141,11.3052
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,3,7.72435,2.79768,0.483367,0.241664,11.2203,11.2471
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,4,7.69568,2.80162,0.482285,0.241664,11.1361,11.2213
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,5,7.69011,2.79496,0.490814,0.241664,11.0834,11.2175
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,6,7.65517,2.79696,0.48334,0.241664,11.0874,11.1771
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,7,7.85747,2.79604,0.486988,0.243712,11.2423,11.3842
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,8,7.67866,2.78392,0.487292,0.243712,11.0276,11.1936
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,9,7.72771,2.77858,0.497815,0.243712,11.0185,11.2478
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,10,7.82982,2.78307,0.485201,0.24576,11.1755,11.3439
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,11,7.65494,2.77914,0.486734,0.243712,11.174,11.1645
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,12,7.77101,2.7898,0.486688,0.244736,11.1671,11.2922
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,13,7.71162,2.90094,0.491733,0.243712,11.2773,11.348
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,14,7.6721,2.77712,0.49725,0.24576,11.02,11.1922
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,15,7.66714,2.77051,0.494818,0.242688,11.088,11.1752
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,16,7.62659,2.78286,0.483179,0.244736,11.1052,11.1374
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,17,7.83677,2.77253,0.477779,0.24576,11.2477,11.3328
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,18,7.69306,2.77306,0.481601,0.243712,11.1026,11.1914
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,19,7.70656,2.77546,0.490203,0.246784,11.1215,11.219
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,20,7.74493,2.76315,0.496311,0.243712,11.3009,11.2481
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,21,7.59792,2.7778,0.48912,0.242688,11.1606,11.1075
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,22,7.79648,2.78806,0.505451,0.244736,11.2442,11.3347
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,23,7.7673,2.76392,0.487596,0.243712,11.0967,11.2625
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,24,7.82976,2.76315,0.490049,0.243712,11.1388,11.3267
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,25,7.70592,2.76541,0.485742,0.242688,11.146,11.1998
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,26,7.68086,2.79258,0.495015,0.242688,11.1105,11.2111
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,27,7.68867,2.78413,0.484871,0.239616,11.1229,11.1973
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,28,7.63376,2.77634,0.489714,0.241664,11.1173,11.1415
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,256,29,7.64413,2.78931,0.484112,0.243712,11.0776,11.1613
