dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,0,0.526752,0,3841.78,1.02605,3843.14,3843.33
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,1,0.436,0,1855.21,0.476064,1856.21,1856.12
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,2,0.450912,0,1846.84,0.482304,1847.89,1847.77
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,3,0.434976,0,1846.35,0.479232,1847.35,1847.26
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,4,0.435904,0,1855.04,0.473088,1856.04,1855.95
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,5,0.453696,0,1869.25,0.478208,1870.29,1870.18
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,6,0.435936,0,1879.95,0.47712,1880.95,1880.87
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,7,0.43568,0,1870.96,0.478208,1871.59,1871.87
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,8,0.436736,0,1868.02,0.467968,1868.22,1868.92
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,9,0.446368,0,1851.77,0.479232,1852.81,1852.7
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,10,0.43696,0,1850.49,0.47616,1851.5,1851.41
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,11,0.434912,0,1853.18,0.472064,1854.17,1854.09
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,12,0.443616,0,1864.91,0.47104,1864.93,1865.82
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,13,0.437152,0,1878.42,0.468992,1879.41,1879.33
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,14,0.440928,0,1888.54,0.484352,1889.58,1889.46
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,15,0.436544,0,1873.8,0.472064,1874.8,1874.71
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,16,0.436928,0,1872.62,0.47104,1873.62,1873.53
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,17,0.43504,0,1873.39,0.47104,1874.38,1874.3
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,18,0.445184,0,1862.33,0.480256,1863.38,1863.26
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,19,0.442208,0,2037.62,0.475136,2005.23,2038.54
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,20,0.443392,0,2043.85,0.474112,2010.94,2044.77
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,21,0.434464,0,1855.67,0.470048,1856.66,1856.57
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,22,0.434656,0,1857.71,0.469984,1858.7,1858.62
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,23,0.436192,0,1856.46,0.470016,1857.46,1857.37
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,24,0.435488,0,1857.7,0.474112,1858.69,1858.61
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,25,0.44608,0,1850.75,0.478208,1851.78,1851.67
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,26,0.43744,0,1847.02,0.47104,1847.69,1847.93
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,27,0.434848,0,1853.56,0.47104,1854.55,1854.47
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,28,0.444192,0,1838.37,0.472064,1839.37,1839.28
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,29,0.435104,0,1851.16,0.473088,1852.16,1852.07
