dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,0,36.1919,594.859,2.93804,1.67312,625.703,635.662
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,1,32.8539,565.628,3.07455,1.10182,596.737,602.658
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,2,33.2731,546.433,3.08818,1.09568,579.348,583.89
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,3,33.0308,532.598,3.05433,1.11002,567.444,569.793
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,4,33.2002,514.848,3.06218,1.09667,551.988,552.207
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,5,36.3012,532.791,2.89927,1.00045,570.882,572.992
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,6,36.3386,520.864,2.89553,1.00038,560.075,561.098
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,7,33.0318,521.124,3.0593,1.09363,554.523,558.308
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,8,36.3348,519.655,2.88961,0.998304,558.805,559.877
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,9,36.4837,517.038,2.93306,1.00755,557.611,557.463
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,10,36.5311,511.193,2.90886,0.997312,551.791,551.63
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,11,36.2685,521.294,2.95017,1.01987,560.009,561.533
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,12,36.6519,510.697,2.95229,1.02189,551.468,551.323
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,13,36.4955,543.467,2.91907,1.00035,584.029,583.882
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,14,36.5944,516.929,2.90271,0.998368,557.569,557.424
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,15,36.2076,513.171,2.88448,1.00042,552.569,553.263
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,16,37.4171,509.713,2.91949,1.01683,549.561,551.066
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,17,36.3567,517.1,2.95746,1.01267,556.059,557.427
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,18,36.1853,513.129,2.90636,1.00138,553.002,553.222
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,19,36.0659,504.659,2.89306,1.00038,544.558,544.619
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,20,36.1627,514.301,2.89808,1.00035,554.025,554.362
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,21,36.6652,505.493,2.90787,1.00445,546.216,546.07
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,22,36.2325,529.233,2.89382,1.00349,569.469,569.363
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,23,36.2521,528.963,2.89655,1.00752,569.044,569.12
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,24,36.1969,526.469,2.89507,1.00141,565.903,566.562
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,25,36.3164,518.546,2.87761,1.00144,558.086,558.742
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,26,36.3213,507.519,2.89017,0.999392,546.221,547.73
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,27,36.1017,518.71,2.90972,1.00554,558.883,558.727
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,28,36.1921,508.422,2.88907,1.00246,548.026,548.506
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,406,29,36.0991,512.469,2.88911,1.00035,551.819,552.458
