dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,0,12.4093,207.687,1.12717,0.733088,222.125,221.956
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,1,10.8587,111.943,1.10712,0.360352,124.405,124.269
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,2,10.946,120.596,1.09566,0.35936,133.108,132.997
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,3,10.8765,113.141,1.08818,0.359328,122.892,125.465
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,4,10.9549,110.353,1.09903,0.363456,122.89,122.771
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,5,10.9054,123.925,1.09444,0.359424,136.413,136.285
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,6,11.0248,107.053,1.10116,0.358336,119.653,119.538
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,7,10.8132,107.897,1.09625,0.358336,118.666,120.165
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,8,10.9192,109.54,1.09828,0.3624,122.051,121.92
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,9,10.941,108.2,1.09512,0.359328,120.703,120.596
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,10,10.8429,108.264,1.087,0.363424,119.378,120.558
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,11,10.9081,108.189,1.10441,0.361408,120.675,120.563
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,12,10.8258,105.983,1.08558,0.360352,118.326,118.254
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,13,10.9887,113.02,1.0976,0.370656,125.632,125.477
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,14,10.8382,108.859,1.10174,0.363456,119.49,121.163
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,15,10.7942,108.158,1.09106,0.358336,120.384,120.401
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,16,11.8368,106.134,1.09961,0.359392,119.572,119.43
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,17,10.9609,108.045,1.15508,0.394176,119.984,120.555
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,18,10.8781,110.982,1.09325,0.358336,123.419,123.312
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,19,10.8173,107.457,1.08947,0.358336,117.43,119.722
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,20,10.8215,110.104,1.09028,0.360384,119.313,122.376
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,21,10.809,112.759,1.09137,0.358336,117.614,125.017
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,22,10.7738,112.678,1.09316,0.359392,123.046,124.905
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,23,10.8021,108.776,1.08885,0.3584,120.341,121.026
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,24,10.8856,118.816,1.09584,0.35936,131.299,131.157
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,25,10.757,112.071,1.09065,0.360352,117.144,124.279
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,26,10.8022,107.523,1.08758,0.36144,116.117,119.774
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,27,10.7824,105.3,1.0887,0.358336,116.077,117.53
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,28,10.8108,107.295,1.09164,0.358304,119.195,119.556
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",6,323,29,10.8156,109.221,1.09611,0.365536,116.083,121.498
