dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,0,56.5563,0,1935.87,1.05779,1993.61,1993.48
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,1,55.9475,0,1700.26,0.794624,1757.09,1757.01
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,2,56.0429,0,1699.96,0.78336,1756.85,1756.78
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,3,55.5296,0,1700.14,0.789504,1756.54,1756.46
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,4,55.657,0,1700.25,0.787456,1756.77,1756.69
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,5,55.4641,0,1700.11,0.781312,1756.43,1756.36
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,6,55.9479,0,1699.89,0.792576,1756.72,1756.63
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,7,55.8789,0,1700.71,0.78336,1757.44,1757.37
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,8,56.0906,0,1700.1,0.784384,1757.05,1756.98
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,9,55.0642,0,1700.62,0.78848,1756.56,1756.47
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,10,55.0952,0,1700.65,0.787456,1756.61,1756.53
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,11,55.6429,0,1700.57,0.784384,1757.08,1757
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,12,55.9008,0,1700.72,0.784384,1757.48,1757.4
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,13,55.795,0,1700.66,0.78336,1757.31,1757.24
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,14,55.3362,0,1699.89,0.78336,1756.08,1756.01
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,15,54.8318,0,1699.89,0.791552,1755.6,1755.51
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,16,55.3069,0,1700.17,0.782336,1756.33,1756.26
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,17,55.5939,0,1700.2,0.781312,1756.65,1756.58
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,18,55.1914,0,1700.08,0.78336,1756.14,1756.05
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,19,55.431,0,1700.55,0.78336,1756.83,1756.76
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,20,55.0178,0,1699.93,0.792576,1755.83,1755.74
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,21,55.3276,0,1700.18,0.782336,1756.36,1756.29
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,22,55.3806,0,1699.87,0.782336,1756.11,1756.03
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,23,55.3586,0,1700.48,0.784384,1756.7,1756.62
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,24,54.8564,0,1700.09,0.782336,1755.81,1755.73
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,25,55.9242,0,1700.57,0.782336,1757.34,1757.27
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,26,55.2566,0,1700.04,0.78336,1756.16,1756.08
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,27,55.5527,0,1700.52,0.782336,1756.93,1756.86
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,28,56.1623,0,1699.95,0.78336,1756.99,1756.9
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,29,55.5294,0,1700.25,0.791552,1756.65,1756.57
