dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,43,0.225152,0.00152,0.118189,0.023072,0.418346,0.367933
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,44,0.22704,0.00151,0.119288,0.02256,0.423236,0.370398
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,45,0.224768,0.00153,0.118478,0.025568,0.423656,0.370344
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,46,0.229792,0.001499,0.118289,0.021216,0.424115,0.370796
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,47,0.226752,0.00164,0.121289,0.022848,0.654282,0.372529
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,48,0.223936,0.00155,0.118298,0.022976,0.419476,0.36676
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,49,0.224032,0.00153,0.126908,0.026144,0.433045,0.378614
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,50,0.222752,0.00152,0.118548,0.023968,0.418846,0.366788
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,51,0.230496,0.0016,0.118338,0.022592,0.426175,0.373026
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,52,0.329248,0.00188,0.118369,0.022272,0.522984,0.471769
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,53,0.222144,0.001659,0.112599,0.0256,0.403965,0.362002
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,54,0.23184,0.00152,0.112769,0.025344,0.412446,0.371473
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,55,0.226848,0.00158,0.119188,0.024,0.422635,0.371616
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,56,0.224512,0.00161,0.119079,0.021824,0.419366,0.367025
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,57,0.22784,0.00146,0.118899,0.023808,0.423505,0.372007
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,58,0.226048,0.00168,0.119988,0.024704,0.424946,0.37242
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,59,0.3264,0.00151,0.118868,0.023936,0.521124,0.470714
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,60,0.224192,0.00171,0.117559,0.024096,0.413846,0.367557
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,61,0.226464,0.00148,0.119378,0.024096,0.425025,0.371418
