dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,0,0.197344,0.00357,0.112799,211.232,211.665,211.545
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,1,0.15728,0.00178,0.049159,0.018496,0.279497,0.226715
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,2,0.14464,0.001581,0.04657,0.01328,0.255478,0.206071
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,3,0.143936,0.00149,0.04655,0.013728,0.256357,0.205704
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,4,0.142496,0.00173,0.05229,0.014208,0.260667,0.210724
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,5,0.142336,0.00146,0.0454,0.02192,0.259967,0.211116
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,6,0.144864,0.00161,0.04546,0.013376,0.256477,0.20531
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,7,0.144416,0.001571,0.045491,0.013216,0.253427,0.204694
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,8,0.139968,0.00148,0.038469,0.016128,0.236087,0.196045
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,9,0.146464,0.001519,0.04633,0.016416,0.262447,0.210729
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,10,0.148544,0.00157,0.04561,0.013632,0.261757,0.209356
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,11,0.143744,0.00148,0.04604,0.015136,0.257537,0.2064
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,12,0.14656,0.001549,0.04682,0.012608,0.259946,0.207537
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,13,0.147552,0.00177,0.046799,0.014304,0.265227,0.210425
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,14,0.142752,0.001479,0.0461,0.013056,0.253877,0.203387
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,15,0.143744,0.00156,0.04631,0.012864,0.254457,0.204478
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,16,0.148384,0.00148,0.047789,0.014368,0.261677,0.212021
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,17,0.14352,0.001461,0.04607,0.013696,0.254997,0.204747
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,18,0.14608,0.001532,0.045671,0.01328,0.257008,0.206563
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,19,0.14784,0.00148,0.04644,0.013824,0.260417,0.209584
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,20,0.140736,0.00149,0.04448,0.013632,0.250777,0.200338
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,21,0.143936,0.001499,0.047569,0.014432,0.257907,0.207436
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,22,0.145728,0.001439,0.04638,0.013856,0.257777,0.207403
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,23,0.148512,0.00163,0.04546,0.014592,0.259627,0.210194
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,24,0.147488,0.00144,0.050149,0.013408,0.263677,0.212485
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,25,0.145216,0.0015,0.045229,0.015328,0.255827,0.207273
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,26,0.144672,0.00152,0.038479,0.015328,0.240647,0.199999
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,27,0.146464,0.00162,0.04559,0.014432,0.258397,0.208106
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,28,0.14432,0.001531,0.04549,0.013888,0.255157,0.205229
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,29,0.14448,0.00153,0.04695,0.014112,0.258927,0.207072
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,30,0.142272,0.00168,0.045839,0.014016,0.254817,0.203807
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,31,0.151104,0.00155,0.04627,0.01328,0.262757,0.212204
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,32,0.144992,0.001509,0.045349,0.013376,0.254566,0.205226
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,33,0.145792,0.001561,0.043989,0.01536,0.254567,0.206702
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,34,0.145312,0.00151,0.045429,0.01296,0.255147,0.205211
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,35,0.15264,0.00153,0.04597,0.014048,0.265377,0.214188
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,36,0.143808,0.001601,0.0456,0.015968,0.257977,0.206977
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,37,0.141184,0.0015,0.04589,0.015584,0.255367,0.204158
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,38,0.15056,0.00148,0.04695,0.013408,0.263887,0.212398
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,39,0.145472,0.00162,0.04789,0.014016,0.262447,0.208998
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,40,0.143136,0.00161,0.04511,0.013216,0.253197,0.203072
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,41,0.146496,0.001542,0.046679,0.016,0.264328,0.210717
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,42,0.149312,0.00154,0.0462,0.014656,0.261997,0.211708
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,43,0.14304,0.001569,0.046049,0.013792,0.254867,0.20445
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,44,0.146272,0.00147,0.046839,0.01296,0.256837,0.207541
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,45,0.141792,0.00163,0.040039,0.017504,0.242127,0.200965
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,46,0.14576,0.00151,0.045699,0.013024,0.256428,0.205993
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,47,0.151456,0.00153,0.046789,0.013344,0.264587,0.213119
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,48,0.14368,0.00151,0.046739,0.012768,0.254797,0.204697
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,49,0.146656,0.001569,0.04573,0.014272,0.257527,0.208227
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,50,0.14608,0.00143,0.04706,0.016096,0.262037,0.210666
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,51,0.142208,0.001499,0.04623,0.013216,0.258777,0.203153
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,52,0.143712,0.00146,0.045139,0.013152,0.251948,0.203463
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,53,0.14448,0.00168,0.04604,0.016256,0.257767,0.208456
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,54,0.148576,0.00149,0.04641,0.01344,0.260507,0.209916
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,55,0.151008,0.00158,0.0464,0.01568,0.265697,0.214668
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,56,0.142464,0.00171,0.04552,0.012704,0.251997,0.202398
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,57,0.1448,0.00151,0.04548,0.014208,0.257348,0.205998
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",64,58,0.153056,0.00152,0.04527,0.01408,0.262057,0.213926
