dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,0,0.287232,0.00333,0.174449,215.449,216.032,215.914
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,1,0.237088,0.001699,0.124298,0.02832,0.445285,0.391405
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,2,0.23152,0.00177,0.119298,0.024768,0.427505,0.377356
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,3,0.233216,0.001691,0.118748,0.024,0.430976,0.377655
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,4,0.241216,0.00163,0.117919,0.023744,0.437724,0.384509
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,5,0.239936,0.0015,0.119129,0.02352,0.438265,0.384085
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,6,0.235744,0.00184,0.118658,0.025632,0.436725,0.381874
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,7,0.233504,0.00163,0.127138,0.024,0.437776,0.386272
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,8,0.231168,0.001571,0.113268,0.024672,0.416496,0.370679
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,9,0.234912,0.00172,0.117468,0.023072,0.429695,0.377172
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,10,0.232672,0.00157,0.123128,0.022272,0.432236,0.379642
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,11,0.232544,0.00162,0.119058,0.023264,0.430646,0.376486
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,12,0.234112,0.00165,0.123479,0.023808,0.436284,0.383049
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,13,0.229056,0.00188,0.118308,0.023488,0.422615,0.372732
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,14,0.233792,0.0015,0.118238,0.024864,0.429705,0.378394
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,15,0.231424,0.00159,0.119399,0.02384,0.430735,0.376253
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,16,0.23232,0.00164,0.118998,0.022464,0.428286,0.375422
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,17,0.23744,0.00154,0.118829,0.02272,0.432555,0.380529
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,18,0.2352,0.00155,0.118379,0.021792,0.428295,0.376921
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,19,0.226208,0.001569,0.11118,0.024512,0.404086,0.363469
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,20,0.230624,0.00149,0.117418,0.024544,0.427925,0.374076
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,21,0.229888,0.00153,0.120099,0.024992,0.429135,0.376509
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,22,0.238304,0.0016,0.119748,0.02272,0.435335,0.382372
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",64,23,0.231776,0.00164,0.118829,0.024672,0.428435,0.376917
