dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,0,0.194656,0.00316,0.108588,211.248,211.661,211.554
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,1,0.157664,0.001671,0.0483,0.015392,0.282657,0.223027
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,2,0.14528,0.001689,0.0505,0.012992,0.260997,0.210461
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,3,0.146944,0.001539,0.044049,0.011904,0.255417,0.204436
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,4,0.148896,0.001549,0.04554,0.015232,0.260887,0.211217
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,5,0.147904,0.001699,0.04573,0.013024,0.259737,0.208357
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,6,0.152352,0.00161,0.04465,0.014816,0.263547,0.213428
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,7,0.144608,0.001571,0.04539,0.01424,0.257497,0.205809
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,8,0.14848,0.00164,0.047559,0.01328,0.267667,0.210959
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,9,0.144416,0.00153,0.04522,0.013824,0.255617,0.20499
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,10,0.147552,0.00156,0.045949,0.01616,0.261626,0.211221
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,11,0.144704,0.001569,0.046419,0.012928,0.257107,0.20562
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,12,0.147168,0.00156,0.046199,0.013632,0.259527,0.208559
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,13,0.145856,0.0016,0.0467,0.014432,0.258807,0.208588
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,14,0.144448,0.00155,0.04597,0.012992,0.255107,0.20496
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,15,0.146656,0.00156,0.044719,0.01488,0.265247,0.207815
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,16,0.1456,0.00153,0.046179,0.012736,0.256447,0.206045
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,17,0.146112,0.00152,0.046539,0.014592,0.259137,0.208763
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,18,0.143936,0.001541,0.045271,0.016576,0.257357,0.207324
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,19,0.144736,0.00154,0.046109,0.012512,0.256867,0.204897
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,20,0.144512,0.0015,0.04531,0.014016,0.257847,0.205338
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,21,0.147808,0.00153,0.046229,0.014048,0.259677,0.209615
