dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"D | D | D | D",64,0,0.079424,0,0.086468,199.043,199.307,199.209
2,float,uniform,CPU,"D | D | D | D",64,1,0.029568,0,0.03498,0.011296,0.117669,0.075844
2,float,uniform,CPU,"D | D | D | D",64,2,0.024416,0,0.026429,0.009344,0.101199,0.060189
2,float,uniform,CPU,"D | D | D | D",64,3,0.024672,0,0.026658,0.008672,0.099099,0.060002
2,float,uniform,CPU,"D | D | D | D",64,4,0.023872,0,0.02597,0.009824,0.099659,0.059666
2,float,uniform,CPU,"D | D | D | D",64,5,0.024512,0,0.02684,0.007328,0.096769,0.05868
2,float,uniform,CPU,"D | D | D | D",64,6,0.025024,0,0.02678,0.00784,0.098909,0.059644
2,float,uniform,CPU,"D | D | D | D",64,7,0.0248,0,0.02681,0.007296,0.098139,0.058906
2,float,uniform,CPU,"D | D | D | D",64,8,0.022016,0,0.02627,0.007232,0.094399,0.055518
2,float,uniform,CPU,"D | D | D | D",64,9,0.024608,0,0.02639,0.008544,0.099329,0.059542
2,float,uniform,CPU,"D | D | D | D",64,10,0.023616,0,0.026139,0.008608,0.098069,0.058363
2,float,uniform,CPU,"D | D | D | D",64,11,0.029856,0,0.02681,0.008128,0.104459,0.064794
2,float,uniform,CPU,"D | D | D | D",64,12,0.024992,0,0.02707,0.009376,0.186509,0.061438
2,float,uniform,CPU,"D | D | D | D",64,13,0.02448,0,0.02691,0.006368,0.097358,0.057758
2,float,uniform,CPU,"D | D | D | D",64,14,0.025408,0,0.02707,0.007936,0.102269,0.060414
2,float,uniform,CPU,"D | D | D | D",64,15,0.024832,0,0.02694,0.007232,0.097669,0.059004
2,float,uniform,CPU,"D | D | D | D",64,16,0.024352,0,0.0263,0.008576,0.100369,0.059228
2,float,uniform,CPU,"D | D | D | D",64,17,0.023936,0,0.02752,0.007744,0.098259,0.0592
2,float,uniform,CPU,"D | D | D | D",64,18,0.027168,0,0.02681,0.006624,0.098669,0.060602
2,float,uniform,CPU,"D | D | D | D",64,19,0.0256,0,0.028089,0.00752,0.101959,0.061209
2,float,uniform,CPU,"D | D | D | D",64,20,0.025984,0,0.02696,0.006528,0.10091,0.059472
2,float,uniform,CPU,"D | D | D | D",64,21,0.023104,0,0.026439,0.007744,0.096019,0.057287
2,float,uniform,CPU,"D | D | D | D",64,22,0.02528,0,0.02824,0.0096,0.104069,0.06312
2,float,uniform,CPU,"D | D | D | D",64,23,0.025888,0,0.02714,0.007232,0.100119,0.06026
2,float,uniform,CPU,"D | D | D | D",64,24,0.025856,0,0.03108,0.007104,0.103209,0.06404
2,float,uniform,CPU,"D | D | D | D",64,25,0.024,0,0.02759,0.0072,0.202888,0.05879
