dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,0.199392,0.002831,0.113628,201.458,201.88,201.774
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,0.150592,0.00185,0.04585,0.01376,0.247897,0.212052
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,0.141664,0.00164,0.0401,0.010496,0.228728,0.1939
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.143808,0.00163,0.046638,0.008512,0.244697,0.200588
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.142816,0.0016,0.044879,0.011744,0.243347,0.201039
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.142016,0.00155,0.04668,0.0088,0.241957,0.199046
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.142592,0.00207,0.044369,0.009152,0.248567,0.198183
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.145152,0.001711,0.045549,0.00992,0.245887,0.202332
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,0.140672,0.001511,0.04621,0.009728,0.240567,0.198121
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.14208,0.00153,0.044429,0.008832,0.237937,0.196871
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.141632,0.001549,0.04566,0.009024,0.240187,0.197865
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.141632,0.00159,0.046889,0.010528,0.243347,0.200639
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,0.143488,0.001641,0.04548,0.008448,0.242687,0.199057
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,0.140032,0.00156,0.046079,0.009024,0.241097,0.196695
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,0.140896,0.0016,0.044989,0.00848,0.238898,0.195965
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,0.14896,0.00153,0.04582,0.008608,0.246138,0.204918
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,0.142528,0.001591,0.04479,0.010496,0.241698,0.199405
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,0.141952,0.001621,0.04523,0.009344,0.240297,0.198147
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,0.150208,0.001539,0.045629,0.008352,0.248037,0.205728
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,0.141984,0.00152,0.04569,0.00896,0.241927,0.198154
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,0.145376,0.00156,0.046939,0.009504,0.250697,0.203379
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,0.145248,0.001621,0.044291,0.009664,0.242667,0.200824
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,0.143296,0.00156,0.047839,0.009728,0.244107,0.202423
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,0.14016,0.001671,0.04452,0.008992,0.237307,0.195343
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,0.142944,0.001611,0.046759,0.009568,0.245237,0.200882
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,0.143936,0.00153,0.04567,0.009696,0.243877,0.200832
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,0.144352,0.00165,0.045419,0.008864,0.244577,0.200285
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,0.142176,0.00171,0.044659,0.00976,0.238427,0.198305
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,0.14272,0.00156,0.04422,0.009312,0.239158,0.197812
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,0.143392,0.001551,0.04638,0.009024,0.244357,0.200347
