dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"N | N",64,0,0.07392,0,0.05952,193.062,193.291,193.195
1,double,uniform,GPU,"N | N",64,1,0.014784,0,0.03515,0.010464,0.097508,0.060398
1,double,uniform,GPU,"N | N",64,2,0.013312,0,0.03024,0.008768,0.086979,0.05232
1,double,uniform,GPU,"N | N",64,3,0.0136,0,0.02949,0.007904,0.084529,0.050994
1,double,uniform,GPU,"N | N",64,4,0.01264,0,0.0298,0.008608,0.084159,0.051048
1,double,uniform,GPU,"N | N",64,5,0.012768,0,0.02956,0.007648,0.082029,0.049976
1,double,uniform,GPU,"N | N",64,6,0.012608,0,0.02997,0.008256,0.085319,0.050834
1,double,uniform,GPU,"N | N",64,7,0.011744,0,0.029609,0.008544,0.082349,0.049897
1,double,uniform,GPU,"N | N",64,8,0.013152,0,0.029669,0.008928,0.084769,0.051749
1,double,uniform,GPU,"N | N",64,9,0.012544,0,0.03081,0.016736,0.093189,0.06009
1,double,uniform,GPU,"N | N",64,10,0.012448,0,0.02975,0.007936,0.081959,0.050134
1,double,uniform,GPU,"N | N",64,11,0.011936,0,0.0259,0.008032,0.074019,0.045868
1,double,uniform,GPU,"N | N",64,12,0.013664,0,0.026139,0.009344,0.078029,0.049147
1,double,uniform,GPU,"N | N",64,13,0.012,0,0.0299,0.006624,0.082499,0.048524
1,double,uniform,GPU,"N | N",64,14,0.0144,0,0.029699,0.006848,0.084399,0.050947
1,double,uniform,GPU,"N | N",64,15,0.011968,0,0.029639,0.008576,0.083209,0.050183
1,double,uniform,GPU,"N | N",64,16,0.010144,0,0.0294,0.006944,0.079929,0.046488
1,double,uniform,GPU,"N | N",64,17,0.013056,0,0.02989,0.007072,0.08329,0.050018
1,double,uniform,GPU,"N | N",64,18,0.012064,0,0.0298,0.005824,0.081309,0.047688
1,double,uniform,GPU,"N | N",64,19,0.012544,0,0.029769,0.008896,0.085779,0.051209
1,double,uniform,GPU,"N | N",64,20,0.0128,0,0.02943,0.008288,0.086019,0.050518
1,double,uniform,GPU,"N | N",64,21,0.012544,0,0.0304,0.006048,0.081559,0.048992
1,double,uniform,GPU,"N | N",64,22,0.013344,0,0.02985,0.008128,0.08649,0.051322
1,double,uniform,GPU,"N | N",64,23,0.012192,0,0.03006,0.00816,0.08474,0.050412
1,double,uniform,GPU,"N | N",64,24,0.012832,0,0.02984,0.006496,0.081249,0.049168
1,double,uniform,GPU,"N | N",64,25,0.01328,0,0.02935,0.006784,0.082899,0.049414
1,double,uniform,GPU,"N | N",64,26,0.01424,0,0.02959,0.007776,0.083608,0.051606
1,double,uniform,GPU,"N | N",64,27,0.011744,0,0.02988,0.007904,0.082859,0.049528
1,double,uniform,GPU,"N | N",64,28,0.013504,0,0.03073,0.010528,0.088399,0.054762
1,double,uniform,GPU,"N | N",64,29,0.012896,0,0.02992,0.006848,0.083149,0.049664
1,double,uniform,GPU,"N | N",64,30,0.013344,0,0.03003,0.0064,0.090199,0.049774
1,double,uniform,GPU,"N | N",64,31,0.011744,0,0.02949,0.01072,0.085479,0.051954
1,double,uniform,GPU,"N | N",64,32,0.012896,0,0.02974,0.006592,0.081599,0.049228
1,double,uniform,GPU,"N | N",64,33,0.014144,0,0.02989,0.008352,0.084909,0.052386
1,double,uniform,GPU,"N | N",64,34,0.0128,0,0.03003,0.00816,0.084789,0.05099
1,double,uniform,GPU,"N | N",64,35,0.013248,0,0.03003,0.010272,0.086119,0.05355
1,double,uniform,GPU,"N | N",64,36,0.013216,0,0.029819,0.006208,0.080779,0.049243
1,double,uniform,GPU,"N | N",64,37,0.013376,0,0.02974,0.006304,0.081379,0.04942
1,double,uniform,GPU,"N | N",64,38,0.013408,0,0.02982,0.008384,0.08479,0.051612
1,double,uniform,GPU,"N | N",64,39,0.011136,0,0.02972,0.007872,0.08154,0.048728
1,double,uniform,GPU,"N | N",64,40,0.01312,0,0.02984,0.007744,0.08443,0.050704
1,double,uniform,GPU,"N | N",64,41,0.012864,0,0.029679,0.007872,0.084139,0.050415
1,double,uniform,GPU,"N | N",64,42,0.01232,0,0.029619,0.005792,0.081669,0.047731
1,double,uniform,GPU,"N | N",64,43,0.012192,0,0.02608,0.01104,0.079179,0.049312
1,double,uniform,GPU,"N | N",64,44,0.013344,0,0.02974,0.008256,0.084409,0.05134
1,double,uniform,GPU,"N | N",64,45,0.011904,0,0.0258,0.007936,0.074009,0.04564
1,double,uniform,GPU,"N | N",64,46,0.01344,0,0.02986,0.00832,0.085668,0.05162
1,double,uniform,GPU,"N | N",64,47,0.013664,0,0.03009,0.009088,0.087599,0.052842
1,double,uniform,GPU,"N | N",64,48,0.012768,0,0.030149,0.006816,0.081869,0.049733
1,double,uniform,GPU,"N | N",64,49,0.016128,0,0.030429,0.006624,0.088389,0.053181
1,double,uniform,GPU,"N | N",64,50,0.01296,0,0.030529,0.006784,0.084169,0.050273
1,double,uniform,GPU,"N | N",64,51,0.012928,0,0.02974,0.0088,0.084719,0.051468
1,double,uniform,GPU,"N | N",64,52,0.014048,0,0.02972,0.008032,0.084539,0.0518
1,double,uniform,GPU,"N | N",64,53,0.012704,0,0.02977,0.007872,0.083019,0.050346
1,double,uniform,GPU,"N | N",64,54,0.013184,0,0.029909,0.006688,0.082309,0.049781
1,double,uniform,GPU,"N | N",64,55,0.014368,0,0.030149,0.006208,0.083659,0.050725
1,double,uniform,GPU,"N | N",64,56,0.013088,0,0.032779,0.009408,0.097859,0.055275
1,double,uniform,GPU,"N | N",64,57,0.0128,0,0.02709,0.008672,0.077269,0.048562
1,double,uniform,GPU,"N | N",64,58,0.012672,0,0.029589,0.008608,0.083879,0.050869
1,double,uniform,GPU,"N | N",64,59,0.011744,0,0.02951,0.007936,0.081379,0.04919
1,double,uniform,GPU,"N | N",64,60,0.012544,0,0.030009,0.008224,0.084169,0.050777
1,double,uniform,GPU,"N | N",64,61,0.013568,0,0.030329,0.006368,0.083329,0.050265
1,double,uniform,GPU,"N | N",64,62,0.012,0,0.029759,0.00832,0.083839,0.050079
1,double,uniform,GPU,"N | N",64,63,0.013248,0,0.02991,0.006272,0.080899,0.04943
1,double,uniform,GPU,"N | N",64,64,0.0128,0,0.029719,0.006336,0.080879,0.048855
1,double,uniform,GPU,"N | N",64,65,0.013088,0,0.029739,0.007968,0.083669,0.050795
1,double,uniform,GPU,"N | N",64,66,0.012672,0,0.02963,0.007712,0.08316,0.050014
1,double,uniform,GPU,"N | N",64,67,0.01536,0,0.02947,0.007616,0.086019,0.052446
1,double,uniform,GPU,"N | N",64,68,0.013216,0,0.029829,0.009504,0.086269,0.052549
1,double,uniform,GPU,"N | N",64,69,0.011456,0,0.029459,0.006432,0.081199,0.047347
1,double,uniform,GPU,"N | N",64,70,0.013216,0,0.02629,0.007392,0.075249,0.046898
1,double,uniform,GPU,"N | N",64,71,0.012032,0,0.02943,0.009344,0.08578,0.050806
1,double,uniform,GPU,"N | N",64,72,0.01248,0,0.02929,0.008832,0.084309,0.050602
1,double,uniform,GPU,"N | N",64,73,0.012736,0,0.02994,0.008096,0.084759,0.050772
1,double,uniform,GPU,"N | N",64,74,0.013376,0,0.02988,0.009952,0.087749,0.053208
1,double,uniform,GPU,"N | N",128,0,0.023104,0,0.089518,0.01312,0.172748,0.125742
1,double,uniform,GPU,"N | N",128,1,0.012832,0,0.080119,0.007904,0.130389,0.100855
1,double,uniform,GPU,"N | N",128,2,0.015456,0,0.083129,0.007296,0.142198,0.105881
1,double,uniform,GPU,"N | N",128,3,0.012544,0,0.08302,0.008128,0.140109,0.103692
1,double,uniform,GPU,"N | N",128,4,0.013664,0,0.083179,0.007424,0.139049,0.104267
1,double,uniform,GPU,"N | N",128,5,0.011136,0,0.083669,0.005408,0.135948,0.100213
1,double,uniform,GPU,"N | N",128,6,0.013696,0,0.083449,0.00848,0.140548,0.105625
1,double,uniform,GPU,"N | N",128,7,0.011744,0,0.083249,0.007104,0.138199,0.102097
1,double,uniform,GPU,"N | N",128,8,0.012096,0,0.08374,0.0072,0.139359,0.103036
1,double,uniform,GPU,"N | N",128,9,0.01184,0,0.083629,0.008512,0.141149,0.103981
1,double,uniform,GPU,"N | N",128,10,0.012352,0,0.083538,0.007296,0.139688,0.103186
1,double,uniform,GPU,"N | N",128,11,0.013056,0,0.083649,0.007968,0.141678,0.104673
1,double,uniform,GPU,"N | N",128,12,0.011712,0,0.083489,0.007392,0.137328,0.102593
1,double,uniform,GPU,"N | N",128,13,0.012448,0,0.08355,0.007872,0.139358,0.10387
1,double,uniform,GPU,"N | N",128,14,0.013888,0,0.082429,0.006368,0.136688,0.102685
1,double,uniform,GPU,"N | N",128,15,0.012992,0,0.083158,0.008384,0.144808,0.104534
1,double,uniform,GPU,"N | N",128,16,0.012928,0,0.083589,0.0088,0.141578,0.105317
1,double,uniform,GPU,"N | N",128,17,0.013856,0,0.082959,0.005632,0.138268,0.102447
1,double,uniform,GPU,"N | N",128,18,0.0144,0,0.083738,0.00736,0.141598,0.105498
1,double,uniform,GPU,"N | N",128,19,0.011424,0,0.080709,0.00896,0.130968,0.101093
1,double,uniform,GPU,"N | N",128,20,0.011296,0,0.079829,0.009184,0.130429,0.100309
1,double,uniform,GPU,"N | N",128,21,0.012736,0,0.08339,0.008384,0.141349,0.10451
1,double,uniform,GPU,"N | N",128,22,0.0112,0,0.083669,0.006176,0.136079,0.101045
1,double,uniform,GPU,"N | N",128,23,0.013952,0,0.083309,0.007232,0.137578,0.104493
1,double,uniform,GPU,"N | N",128,24,0.011744,0,0.083359,0.00816,0.139048,0.103263
1,double,uniform,GPU,"N | N",128,25,0.0136,0,0.083609,0.006976,0.139439,0.104185
1,double,uniform,GPU,"N | N",128,26,0.012544,0,0.08369,0.006176,0.137898,0.10241
1,double,uniform,GPU,"N | N",128,27,0.011872,0,0.083039,0.006816,0.137439,0.101727
1,double,uniform,GPU,"N | N",128,28,0.012128,0,0.083219,0.0064,0.136438,0.101747
1,double,uniform,GPU,"N | N",128,29,0.014208,0,0.083,0.00656,0.139108,0.103768
1,double,uniform,GPU,"N | N",128,30,0.012672,0,0.083109,0.00656,0.138449,0.102341
1,double,uniform,GPU,"N | N",128,31,0.012672,0,0.083419,0.006304,0.137288,0.102395
1,double,uniform,GPU,"N | N",128,32,0.012192,0,0.079619,0.009696,0.130569,0.101507
1,double,uniform,GPU,"N | N",128,33,0.012736,0,0.083979,0.008288,0.141159,0.105003
1,double,uniform,GPU,"N | N",128,34,0.012448,0,0.083699,0.0096,0.142879,0.105747
1,double,uniform,GPU,"N | N",128,35,0.011712,0,0.083559,0.006688,0.137908,0.101959
1,double,uniform,GPU,"N | N",128,36,0.012128,0,0.083149,0.007648,0.140098,0.102925
1,double,uniform,GPU,"N | N",128,37,0.012768,0,0.083429,0.007968,0.142299,0.104165
1,double,uniform,GPU,"N | N",128,38,0.018816,0,0.08361,0.007296,0.144578,0.109722
1,double,uniform,GPU,"N | N",128,39,0.011712,0,0.083319,0.00816,0.139268,0.103191
1,double,uniform,GPU,"N | N",128,40,0.01344,0,0.083279,0.008128,0.140439,0.104847
1,double,uniform,GPU,"N | N",128,41,0.012512,0,0.082878,0.007008,0.137298,0.102398
1,double,uniform,GPU,"N | N",128,42,0.013856,0,0.083549,0.00736,0.139899,0.104765
1,double,uniform,GPU,"N | N",128,43,0.014624,0,0.083239,0.008608,0.142348,0.106471
1,double,uniform,GPU,"N | N",128,44,0.014176,0,0.083589,0.007104,0.140738,0.104869
1,double,uniform,GPU,"N | N",128,45,0.012256,0,0.083049,0.00768,0.137199,0.102985
1,double,uniform,GPU,"N | N",128,46,0.011936,0,0.083499,0.005568,0.135639,0.101003
1,double,uniform,GPU,"N | N",128,47,0.011872,0,0.08375,0.006176,0.137239,0.101798
1,double,uniform,GPU,"N | N",128,48,0.012096,0,0.083519,0.009184,0.144599,0.104799
1,double,uniform,GPU,"N | N",128,49,0.012992,0,0.083169,0.008384,0.139679,0.104545
1,double,uniform,GPU,"N | N",128,50,0.012288,0,0.081329,0.007072,0.131359,0.100689
1,double,uniform,GPU,"N | N",128,51,0.012512,0,0.07967,0.009248,0.130589,0.10143
1,double,uniform,GPU,"N | N",128,52,0.011936,0,0.083409,0.008064,0.139599,0.103409
1,double,uniform,GPU,"N | N",128,53,0.012736,0,0.082889,0.006912,0.137588,0.102537
1,double,uniform,GPU,"N | N",128,54,0.012256,0,0.08353,0.007648,0.145119,0.103434
1,double,uniform,GPU,"N | N",128,55,0.013536,0,0.082909,0.006208,0.137198,0.102653
1,double,uniform,GPU,"N | N",128,56,0.01248,0,0.082879,0.006496,0.137288,0.101855
1,double,uniform,GPU,"N | N",128,57,0.013472,0,0.083149,0.006656,0.138058,0.103277
1,double,uniform,GPU,"N | N",128,58,0.012544,0,0.083178,0.008192,0.138928,0.103914
1,double,uniform,GPU,"N | N",128,59,0.01184,0,0.088799,0.006656,0.142979,0.107295
1,double,uniform,GPU,"N | N",128,60,0.013088,0,0.0836,0.007168,0.139589,0.103856
1,double,uniform,GPU,"N | N",128,61,0.012416,0,0.083379,0.008544,0.142849,0.104339
1,double,uniform,GPU,"N | N",128,62,0.010752,0,0.08363,0.006336,0.136158,0.100718
1,double,uniform,GPU,"N | N",128,63,0.013664,0,0.08341,0.00736,0.139909,0.104434
1,double,uniform,GPU,"N | N",128,64,0.012768,0,0.083749,0.009024,0.141149,0.105541
1,double,uniform,GPU,"N | N",128,65,0.012128,0,0.083749,0.007296,0.136859,0.103173
1,double,uniform,GPU,"N | N",128,66,0.012864,0,0.083479,0.006848,0.139308,0.103191
1,double,uniform,GPU,"N | N",128,67,0.012864,0,0.083109,0.007168,0.138658,0.103141
1,double,uniform,GPU,"N | N",128,68,0.01328,0,0.082959,0.00704,0.138219,0.103279
