dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"N | D",64,0,0.07296,0,0.06009,198.646,198.876,198.779
1,double,uniform,GPU,"N | D",64,1,0.019584,0,0.036009,0.009376,0.100919,0.064969
1,double,uniform,GPU,"N | D",64,2,0.012928,0,0.031809,0.006656,0.099009,0.051393
1,double,uniform,GPU,"N | D",64,3,0.013024,0,0.031859,0.010048,0.095409,0.054931
1,double,uniform,GPU,"N | D",64,4,0.01344,0,0.03204,0.00928,0.088019,0.05476
1,double,uniform,GPU,"N | D",64,5,0.012224,0,0.03193,0.00912,0.088419,0.053274
1,double,uniform,GPU,"N | D",64,6,0.012736,0,0.070139,0.00768,0.119309,0.090555
1,double,uniform,GPU,"N | D",64,7,0.013024,0,0.031179,0.006272,0.082689,0.050475
1,double,uniform,GPU,"N | D",64,8,0.012704,0,0.03137,0.006272,0.082579,0.050346
1,double,uniform,GPU,"N | D",64,9,0.012448,0,0.03145,0.005536,0.081719,0.049434
1,double,uniform,GPU,"N | D",64,10,0.0128,0,0.031359,0.007584,0.085199,0.051743
1,double,uniform,GPU,"N | D",64,11,0.012192,0,0.0313,0.00976,0.086839,0.053252
1,double,uniform,GPU,"N | D",64,12,0.012896,0,0.031969,0.007712,0.085949,0.052577
1,double,uniform,GPU,"N | D",64,13,0.012096,0,0.03151,0.008512,0.085079,0.052118
1,double,uniform,GPU,"N | D",64,14,0.013152,0,0.031729,0.006048,0.084119,0.050929
1,double,uniform,GPU,"N | D",64,15,0.012352,0,0.03193,0.008672,0.08713,0.052954
1,double,uniform,GPU,"N | D",64,16,0.014144,0,0.031579,0.01008,0.091279,0.055803
1,double,uniform,GPU,"N | D",64,17,0.012448,0,0.031909,0.009088,0.087019,0.053445
1,double,uniform,GPU,"N | D",64,18,0.012,0,0.031469,0.005472,0.081609,0.048941
1,double,uniform,GPU,"N | D",64,19,0.012,0,0.032259,0.006816,0.084409,0.051075
1,double,uniform,GPU,"N | D",64,20,0.01184,0,0.03141,0.0072,0.084939,0.05045
1,double,uniform,GPU,"N | D",64,21,0.013152,0,0.031199,0.008512,0.085559,0.052863
1,double,uniform,GPU,"N | D",64,22,0.013088,0,0.031559,0.007296,0.084789,0.051943
1,double,uniform,GPU,"N | D",64,23,0.01264,0,0.0317,0.006368,0.083499,0.050708
1,double,uniform,GPU,"N | D",64,24,0.012896,0,0.031739,0.006304,0.083119,0.050939
1,double,uniform,GPU,"N | D",64,25,0.013984,0,0.03191,0.007872,0.086799,0.053766
1,double,uniform,GPU,"N | D",64,26,0.012224,0,0.03212,0.008416,0.086489,0.05276
1,double,uniform,GPU,"N | D",64,27,0.01248,0,0.0312,0.006208,0.084959,0.049888
1,double,uniform,GPU,"N | D",64,28,0.012608,0,0.03134,0.005952,0.083989,0.0499
1,double,uniform,GPU,"N | D",64,29,0.012864,0,0.031619,0.008,0.085219,0.052483
1,double,uniform,GPU,"N | D",64,30,0.013344,0,0.03137,0.00704,0.087328,0.051754
1,double,uniform,GPU,"N | D",64,31,0.013504,0,0.03163,0.008096,0.08707,0.05323
1,double,uniform,GPU,"N | D",64,32,0.012704,0,0.030999,0.0072,0.184118,0.050903
1,double,uniform,GPU,"N | D",64,33,0.012704,0,0.031429,0.0072,0.084229,0.051333
1,double,uniform,GPU,"N | D",64,34,0.013376,0,0.03173,0.007392,0.084169,0.052498
1,double,uniform,GPU,"N | D",64,35,0.013216,0,0.031448,0.0064,0.083689,0.051064
1,double,uniform,GPU,"N | D",64,36,0.012256,0,0.031289,0.005824,0.081899,0.049369
1,double,uniform,GPU,"N | D",64,37,0.01312,0,0.03126,0.00864,0.085839,0.05302
1,double,uniform,GPU,"N | D",64,38,0.011936,0,0.031289,0.006624,0.083949,0.049849
1,double,uniform,GPU,"N | D",64,39,0.01328,0,0.03215,0.00832,0.087068,0.05375
1,double,uniform,GPU,"N | D",64,40,0.011968,0,0.031799,0.007808,0.084259,0.051575
1,double,uniform,GPU,"N | D",64,41,0.013952,0,0.03148,0.008256,0.088189,0.053688
1,double,uniform,GPU,"N | D",64,42,0.013152,0,0.03182,0.008832,0.088259,0.053804
1,double,uniform,GPU,"N | D",64,43,0.013344,0,0.03157,0.009472,0.088539,0.054386
1,double,uniform,GPU,"N | D",64,44,0.00944,0,0.02813,0.00752,0.07529,0.04509
1,double,uniform,GPU,"N | D",64,45,0.012576,0,0.03131,0.00784,0.084828,0.051726
1,double,uniform,GPU,"N | D",64,46,0.013312,0,0.032039,0.007456,0.086169,0.052807
1,double,uniform,GPU,"N | D",64,47,0.011616,0,0.03138,0.008096,0.084649,0.051092
1,double,uniform,GPU,"N | D",64,48,0.01232,0,0.03126,0.00768,0.085489,0.05126
1,double,uniform,GPU,"N | D",64,49,0.013088,0,0.03137,0.00768,0.08501,0.052138
1,double,uniform,GPU,"N | D",64,50,0.01184,0,0.031279,0.005728,0.082229,0.048847
1,double,uniform,GPU,"N | D",64,51,0.013632,0,0.03213,0.006304,0.083629,0.052066
