dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",64,0,182.243,0.002811,0.076889,68.1102,250.551,250.433
3,float,uniform,CPU,"P | P | P | P | D | N",64,1,0.164192,0.00164,0.04412,0.012704,0.280947,0.222656
3,float,uniform,CPU,"P | P | P | P | D | N",64,2,0.153376,0.001561,0.04205,0.011264,0.263957,0.208251
3,float,uniform,CPU,"P | P | P | P | D | N",64,3,0.151232,0.00155,0.0517,0.013184,0.272287,0.217666
3,float,uniform,CPU,"P | P | P | P | D | N",64,4,0.149088,0.00147,0.042669,0.012448,0.260097,0.205675
3,float,uniform,CPU,"P | P | P | P | D | N",64,5,0.148416,0.00157,0.042629,0.012352,0.258897,0.204967
3,float,uniform,CPU,"P | P | P | P | D | N",64,6,0.14928,0.001599,0.042579,0.013248,0.261287,0.206706
3,float,uniform,CPU,"P | P | P | P | D | N",64,7,0.147008,0.00156,0.049099,0.011968,0.263847,0.209635
3,float,uniform,CPU,"P | P | P | P | D | N",64,8,0.14848,0.00154,0.042529,0.011808,0.259347,0.204357
3,float,uniform,CPU,"P | P | P | P | D | N",64,9,0.147744,0.00151,0.042179,0.010976,0.255298,0.202409
3,float,uniform,CPU,"P | P | P | P | D | N",64,10,0.152256,0.00158,0.04239,0.011968,0.264008,0.208194
3,float,uniform,CPU,"P | P | P | P | D | N",64,11,0.146912,0.00157,0.04374,0.012288,0.260707,0.20451
3,float,uniform,CPU,"P | P | P | P | D | N",64,12,0.147808,0.001531,0.034669,0.016192,0.244177,0.2002
3,float,uniform,CPU,"P | P | P | P | D | N",64,13,0.150176,0.00159,0.043429,0.011104,0.261577,0.206299
3,float,uniform,CPU,"P | P | P | P | D | N",64,14,0.259296,0.00148,0.0422,0.014144,0.369396,0.31712
3,float,uniform,CPU,"P | P | P | P | D | N",64,15,0.148256,0.00146,0.04423,0.011552,0.261517,0.205498
3,float,uniform,CPU,"P | P | P | P | D | N",64,16,0.149344,0.0015,0.042701,0.012928,0.261867,0.206473
3,float,uniform,CPU,"P | P | P | P | D | N",64,17,0.148992,0.00152,0.042099,0.013344,0.260347,0.205955
3,float,uniform,CPU,"P | P | P | P | D | N",64,18,0.153728,0.00151,0.04326,0.020896,0.273187,0.219394
3,float,uniform,CPU,"P | P | P | P | D | N",64,19,0.147488,0.00158,0.04234,0.013376,0.257957,0.204784
3,float,uniform,CPU,"P | P | P | P | D | N",64,20,0.147584,0.00156,0.04242,0.010912,0.258007,0.202476
3,float,uniform,CPU,"P | P | P | P | D | N",64,21,0.149088,0.00148,0.04269,0.01312,0.262407,0.206378
3,float,uniform,CPU,"P | P | P | P | D | N",64,22,0.150656,0.00163,0.043981,0.011488,0.262877,0.207755
3,float,uniform,CPU,"P | P | P | P | D | N",64,23,0.144608,0.001509,0.042401,0.01216,0.255377,0.200678
3,float,uniform,CPU,"P | P | P | P | D | N",64,24,0.14992,0.001721,0.043059,0.013504,0.262447,0.208204
3,float,uniform,CPU,"P | P | P | P | D | N",64,25,0.156,0.00146,0.04262,0.011872,0.268097,0.211952
3,float,uniform,CPU,"P | P | P | P | D | N",64,26,0.149888,0.00149,0.04258,0.012416,0.262157,0.206374
3,float,uniform,CPU,"P | P | P | P | D | N",64,27,0.148416,0.00154,0.042839,0.010944,0.257447,0.203739
3,float,uniform,CPU,"P | P | P | P | D | N",64,28,0.151296,0.001491,0.042658,0.011456,0.262797,0.206901
3,float,uniform,CPU,"P | P | P | P | D | N",64,29,0.1568,0.00152,0.042539,0.011744,0.267437,0.212603
3,float,uniform,CPU,"P | P | P | P | D | N",64,30,0.151808,0.00153,0.042379,0.011584,0.262687,0.207301
3,float,uniform,CPU,"P | P | P | P | D | N",64,31,0.148736,0.00153,0.042229,0.017536,0.265876,0.210031
3,float,uniform,CPU,"P | P | P | P | D | N",64,32,0.14848,0.00151,0.042359,0.013376,0.259237,0.205725
3,float,uniform,CPU,"P | P | P | P | D | N",64,33,0.148,0.00156,0.043009,0.011168,0.257927,0.203737
3,float,uniform,CPU,"P | P | P | P | D | N",64,34,0.153152,0.00153,0.042329,0.01168,0.263147,0.208691
3,float,uniform,CPU,"P | P | P | P | D | N",64,35,0.152224,0.00146,0.04698,0.011232,0.268257,0.211896
3,float,uniform,CPU,"P | P | P | P | D | N",64,36,0.14864,0.00148,0.041519,0.01184,0.256727,0.203479
3,float,uniform,CPU,"P | P | P | P | D | N",64,37,0.14864,0.00145,0.042909,0.012352,0.261027,0.205351
