dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,0,183.527,0.00323,0.06239,69.0508,455.751,252.644
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,1,0.172416,0.001869,0.02565,0.050304,0.344497,0.250239
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,2,0.15152,0.001711,0.02382,0.045152,0.312217,0.222203
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,3,0.153824,0.001731,0.023339,0.045024,0.314476,0.223918
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,4,0.154272,0.00174,0.02391,0.045696,0.322736,0.225618
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,5,0.155072,0.00194,0.023869,0.044832,0.316097,0.225713
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,6,0.15216,0.001579,0.024091,0.047296,0.315077,0.225126
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,7,0.15184,0.00154,0.02419,0.046464,0.313347,0.224034
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,8,0.151936,0.00162,0.02361,0.045504,0.311616,0.22267
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,9,0.159008,0.001599,0.02403,0.04576,0.321816,0.230397
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,10,0.150816,0.00157,0.023299,0.045312,0.310137,0.220997
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,11,0.154976,0.00171,0.023439,0.044032,0.315477,0.224157
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,12,0.152864,0.00159,0.02335,0.04544,0.313007,0.223244
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,13,0.153888,0.001549,0.02372,0.04544,0.314007,0.224597
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,14,0.150528,0.001631,0.02365,0.046016,0.315677,0.221825
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,15,0.154048,0.00166,0.02404,0.04528,0.315517,0.225028
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,16,0.153664,0.00166,0.02418,0.047136,0.324936,0.22664
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,17,0.156704,0.00163,0.02424,0.04528,0.319456,0.227854
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,18,0.161152,0.00176,0.02401,0.045216,0.320637,0.232138
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,19,0.151712,0.00167,0.02078,0.047488,0.303017,0.22165
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,20,0.152896,0.00164,0.02517,0.047104,0.316746,0.22681
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,21,0.155968,0.00163,0.023869,0.046528,0.325466,0.227995
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,22,0.157248,0.0016,0.02388,0.045824,0.318777,0.228552
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,23,0.152256,0.00157,0.02366,0.046112,0.311957,0.223598
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,24,0.15088,0.001749,0.021839,0.047488,0.304017,0.221956
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,25,0.153184,0.00158,0.019819,0.046976,0.300107,0.221559
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,26,0.248608,0.001499,0.023569,0.045312,0.407586,0.318988
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,27,0.15056,0.00157,0.023479,0.04544,0.308576,0.221049
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,28,0.1552,0.001651,0.02354,0.045728,0.315196,0.226119
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,29,0.154912,0.001581,0.023369,0.046528,0.316397,0.22639
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,30,0.155552,0.00189,0.02395,0.044704,0.317707,0.226096
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,31,0.152032,0.001571,0.020859,0.048928,0.303837,0.22339
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,32,0.151296,0.00161,0.031029,0.046304,0.319856,0.230239
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,33,0.1528,0.00159,0.02391,0.045216,0.312787,0.223516
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,34,0.155584,0.001549,0.02379,0.04768,0.319257,0.228603
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,35,0.156416,0.00159,0.02359,0.045696,0.317117,0.227292
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,36,0.156864,0.00157,0.02413,0.043968,0.317437,0.226532
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,37,0.151744,0.00166,0.020209,0.047424,0.301997,0.221037
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,38,0.15552,0.00176,0.024609,0.043968,0.315076,0.225857
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,39,0.153056,0.00163,0.023629,0.046528,0.314276,0.224843
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,40,0.152448,0.001662,0.02436,0.046848,0.313887,0.225318
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,41,0.15712,0.00155,0.02405,0.045984,0.321827,0.228704
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,42,0.153184,0.001538,0.024199,0.045824,0.322017,0.224745
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,43,0.152416,0.001759,0.02421,0.046816,0.312787,0.225201
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,44,0.152224,0.001521,0.02394,0.046496,0.314627,0.224181
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,45,0.16224,0.00153,0.024079,0.046528,0.325047,0.234377
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,46,0.155392,0.00155,0.024129,0.045856,0.317156,0.226927
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,47,0.163424,0.00159,0.02376,0.04416,0.323257,0.232934
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,48,0.15264,0.001581,0.02372,0.044192,0.310627,0.222133
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,49,0.156384,0.00192,0.02345,0.045376,0.317786,0.22713
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,50,0.160448,0.001669,0.023739,0.047168,0.322496,0.233024
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,51,0.154176,0.00167,0.02358,0.044928,0.314007,0.224354
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,52,0.160032,0.001589,0.023561,0.0456,0.322676,0.230782
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,53,0.157056,0.00168,0.023319,0.046176,0.318567,0.228231
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,54,0.154528,0.00159,0.024109,0.04608,0.314277,0.226307
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,55,0.162944,0.00192,0.02355,0.045376,0.322776,0.23379
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,56,0.153088,0.00155,0.024749,0.045472,0.314607,0.224859
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,57,0.15312,0.00173,0.02358,0.045696,0.313647,0.224126
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,58,0.162944,0.0016,0.0237,0.045952,0.323856,0.234196
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,59,0.154784,0.00158,0.02397,0.045088,0.316227,0.225422
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,60,0.154112,0.001549,0.02342,0.045632,0.315286,0.224713
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,61,0.152992,0.00152,0.02341,0.044896,0.312827,0.222818
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,62,0.151968,0.00154,0.02331,0.045408,0.311207,0.222226
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,63,0.336032,0.0015,0.02399,0.045824,0.497935,0.407346
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,64,0.153184,0.001529,0.02361,0.045568,0.313167,0.223891
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,65,0.152928,0.00161,0.02377,0.04544,0.313637,0.223748
