dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,74,0.137952,0.00149,0.04645,0.013728,0.251197,0.19962
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,0,0.810208,0.00217,0.090658,0.03808,1.00456,0.941116
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,1,0.800096,0.00171,0.07645,0.030496,0.961279,0.908752
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,2,0.78192,0.00163,0.07945,0.032992,0.941559,0.895992
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,3,0.808032,0.00162,0.078369,0.02928,0.971639,0.917301
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,4,0.791648,0.00177,0.07601,0.032512,0.951529,0.90194
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,5,0.843904,0.00154,0.077049,0.02912,1.00429,0.951613
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,6,0.78096,0.00172,0.071419,0.03136,0.930879,0.885459
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,7,0.833888,0.00152,0.076949,0.03008,0.993658,0.942437
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,8,0.79104,0.001641,0.076608,0.032384,0.954249,0.901673
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,9,0.794592,0.00151,0.077039,0.028224,0.952559,0.901365
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,10,0.789472,0.001581,0.072139,0.031904,0.941389,0.895096
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,11,0.794816,0.001688,0.077979,0.030624,0.959889,0.905107
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,12,0.79216,0.00165,0.075799,0.028576,0.950179,0.898185
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,13,0.79712,0.001519,0.07584,0.0304,0.953059,0.904879
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,14,0.789536,0.001589,0.075899,0.02752,0.945909,0.894544
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,15,0.796064,0.001841,0.076429,0.0264,0.952199,0.900734
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,16,0.795168,0.001599,0.076569,0.03088,0.957549,0.904216
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,17,0.798976,0.001661,0.078869,0.030016,0.963429,0.909522
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,18,0.795232,0.001639,0.076959,0.02992,0.958129,0.90375
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,19,0.789536,0.00162,0.078269,0.0304,0.951709,0.899825
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,20,0.797824,0.00151,0.078259,0.029536,0.960179,0.907129
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,21,0.791872,0.0017,0.076258,0.0296,0.950719,0.89943
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,22,0.945568,0.00152,0.07717,0.029792,1.10587,1.05405
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,23,0.794048,0.001569,0.078059,0.028352,0.953169,0.902028
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,24,0.793312,0.00178,0.078309,0.028768,0.955469,0.902169
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,25,0.804608,0.00163,0.076148,0.031136,0.964749,0.913522
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,26,0.79696,0.00162,0.07678,0.032416,0.958659,0.907776
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,27,0.85536,0.001459,0.077099,0.028192,1.01428,0.96211
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,28,0.788288,0.00161,0.07791,0.03072,1.05524,0.898528
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,29,0.796928,0.00156,0.076238,0.029408,0.956349,0.904134
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,30,0.911616,0.00155,0.07607,0.028832,1.06949,1.01807
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,31,0.797056,0.00154,0.076529,0.03088,0.956289,0.906005
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,32,0.797216,0.00182,0.07699,0.02832,0.955089,0.904346
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,33,0.797632,0.00154,0.07681,0.030912,0.960589,0.906894
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,34,0.792352,0.00167,0.079119,0.038272,0.962059,0.911413
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,35,0.884064,0.00167,0.076908,0.03232,1.04627,0.994962
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,36,0.791776,0.001649,0.07824,0.02992,0.954958,0.901585
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,37,0.802272,0.00159,0.077668,0.030688,0.966389,0.912218
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",128,38,0.794784,0.001701,0.076519,0.029344,0.953289,0.902348
