dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,40,0.020032,0.0015,0.04259,0.013216,0.141329,0.077338
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,41,0.020992,0.00149,0.048529,0.013888,0.146698,0.084899
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,42,0.014496,0.001501,0.042289,0.013248,0.131499,0.071534
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,43,0.018912,0.001479,0.0359,0.017248,0.125649,0.073539
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,44,0.020864,0.00165,0.042648,0.013888,0.139949,0.07905
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,45,0.020768,0.00156,0.04225,0.01376,0.140368,0.078338
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,46,0.02032,0.00158,0.04217,0.015872,0.140398,0.079942
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,47,0.020832,0.001511,0.042869,0.01344,0.138969,0.078652
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,48,0.01008,0.001481,0.042759,0.014752,0.131118,0.069072
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,49,0.0128,0.001729,0.0468,0.015616,0.138729,0.076945
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,50,0.019424,0.00169,0.042829,0.014976,0.139588,0.078919
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,51,0.019232,0.001571,0.042769,0.0136,0.137529,0.077172
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,52,0.013952,0.00162,0.04234,0.013248,0.132619,0.07116
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,53,0.02128,0.0015,0.041939,0.013248,0.139168,0.077967
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,54,0.021152,0.0015,0.042388,0.013664,0.140279,0.078704
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,55,0.01968,0.00147,0.04307,0.287136,0.413395,0.351356
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,56,0.012192,0.00159,0.042579,0.01376,0.129919,0.070121
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,57,0.011424,0.001459,0.03685,0.015712,0.118699,0.065445
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,58,0.021664,0.00151,0.04306,0.01536,0.141509,0.081594
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,59,0.011104,0.0015,0.04239,0.012544,0.129489,0.067538
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,60,0.020672,0.001489,0.04283,0.013536,0.139709,0.078527
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,61,0.019904,0.00159,0.042699,0.012448,0.138299,0.076641
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,62,0.019232,0.0015,0.042709,0.0128,0.137149,0.076241
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,63,0.021152,0.001529,0.0421,0.013984,0.140749,0.078765
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,64,0.021216,0.00158,0.042519,0.013024,0.138269,0.078339
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,65,0.019936,0.00149,0.04257,0.014464,0.140408,0.07846
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,66,0.020032,0.00145,0.042799,0.014944,0.140089,0.079225
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,67,0.018688,0.00165,0.041979,0.015136,0.139229,0.077453
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,68,0.014816,0.00154,0.042259,0.0136,0.132769,0.072215
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,69,0.017376,0.00153,0.043409,0.01376,0.137698,0.076075
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,70,0.012576,0.001649,0.04302,0.013152,0.130799,0.070397
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,71,0.020832,0.00158,0.0423,0.012896,0.138639,0.077608
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,72,0.021696,0.00151,0.042661,0.014464,0.140669,0.080331
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,73,0.013504,0.001509,0.042669,0.013984,0.132938,0.071666
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,74,0.02112,0.001631,0.043449,0.012384,0.140048,0.078584
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,0,0.035296,0.00194,0.08525,0.037696,0.222498,0.160182
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,1,0.02704,0.00162,0.07868,0.02832,0.197967,0.13566
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,2,0.027392,0.00167,0.07787,0.032832,0.199808,0.139764
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,3,0.026464,0.001659,0.077438,0.029984,0.196438,0.135545
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,4,0.029312,0.00185,0.07893,0.032896,0.204198,0.142988
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,5,0.027776,0.00159,0.084029,0.030144,0.203788,0.143539
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,6,0.026048,0.00172,0.07693,0.030624,0.195147,0.135322
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,7,0.027488,0.00154,0.077469,0.026848,0.194098,0.133345
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,8,0.04032,0.00207,0.09435,0.040608,0.238677,0.177348
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,9,0.02656,0.00154,0.077869,0.029536,0.196518,0.135505
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,10,0.026688,0.00143,0.077099,0.032992,0.198538,0.138209
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,11,0.033376,0.001591,0.082118,0.029248,0.208068,0.146333
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,12,0.026208,0.00156,0.076519,0.031456,0.195818,0.135743
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,13,0.033984,0.00148,0.07767,0.027488,0.201228,0.140622
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,14,0.027584,0.00151,0.077749,0.02976,0.197697,0.136603
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,15,0.026944,0.00156,0.076828,0.030432,0.195598,0.135764
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,16,0.027968,0.00166,0.076839,0.031904,0.198498,0.138371
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,17,0.026112,0.0015,0.078439,0.03216,0.200388,0.138211
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,18,0.027136,0.00175,0.076869,0.030144,0.196267,0.135899
