dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.28272,0.002901,0.187628,218.263,218.855,218.737
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.229984,0.00167,0.127228,0.02832,0.440785,0.387202
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.22768,0.00154,0.123909,0.0232,0.426535,0.376329
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.22368,0.001551,0.12453,0.023424,0.425745,0.373185
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.22576,0.00156,0.123279,0.024128,0.426206,0.374727
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.230592,0.00155,0.126109,0.023808,0.435075,0.382059
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.224672,0.001589,0.124389,0.0232,0.427795,0.37385
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.225024,0.001531,0.124559,0.023584,0.427656,0.374698
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.224096,0.001548,0.123598,0.023552,0.424865,0.372794
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.226208,0.00154,0.123148,0.024864,0.426955,0.37576
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.224736,0.00157,0.126269,0.02416,0.430575,0.376735
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.226752,0.001711,0.12448,0.023488,0.435735,0.376431
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.223392,0.00146,0.125459,0.023296,0.428036,0.373607
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.223264,0.00151,0.123738,0.024608,0.423815,0.37312
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.230784,0.00164,0.123298,0.0248,0.431315,0.380522
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.225376,0.001519,0.117189,0.027744,0.413546,0.371828
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.22272,0.008281,0.117199,0.025408,0.415655,0.373608
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.226304,0.00163,0.124638,0.024192,0.428046,0.376764
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.22352,0.00158,0.124199,0.024992,0.424985,0.374291
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.224608,0.00152,0.124758,0.025024,0.429526,0.37591
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,20,0.232512,0.00153,0.123849,0.023296,0.434045,0.381187
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,21,0.229696,0.0016,0.124728,0.02576,0.437365,0.381784
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,22,0.231968,0.001619,0.1237,0.024608,0.432316,0.381895
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,23,0.226976,0.00155,0.123979,0.025792,0.429725,0.378297
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,24,0.22464,0.00152,0.125539,0.023648,0.427095,0.375347
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,25,0.226752,0.00153,0.124539,0.02448,0.430736,0.377301
