dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,38,0.016672,0.001632,0.107558,0.016704,0.197358,0.142566
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,39,0.014368,0.001391,0.107539,0.014624,0.200468,0.137922
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,40,0.008096,0.001429,0.10806,0.013504,0.187928,0.131089
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,41,0.017024,0.00131,0.108269,0.015168,0.195678,0.141771
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,42,0.009216,0.00137,0.107938,0.015456,0.190058,0.13398
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,43,0.013504,0.00133,0.10824,0.013664,0.192238,0.136738
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,44,0.015552,0.00134,0.108229,0.014912,0.194228,0.140033
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,45,0.016576,0.00134,0.107248,0.015328,0.194068,0.140492
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,46,0.014528,0.00137,0.1077,0.016832,0.194258,0.14043
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,47,0.008352,0.0015,0.107469,0.01424,0.186868,0.131561
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,48,0.015264,0.00136,0.107628,0.014752,0.193678,0.139004
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,49,0.014912,0.001419,0.107168,0.014656,0.192478,0.138155
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,50,0.015584,0.00162,0.109829,0.0144,0.195888,0.141433
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,51,0.015264,0.001529,0.108669,0.014976,0.194848,0.140438
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,52,0.01552,0.00133,0.10757,0.01536,0.194168,0.13978
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,53,0.016192,0.0014,0.10774,0.0144,0.192708,0.139732
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,54,0.0152,0.001371,0.107018,0.013792,0.192208,0.137381
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,55,0.008064,0.001369,0.106529,0.014176,0.189998,0.130138
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,56,0.014112,0.001369,0.108368,0.015616,0.193548,0.139465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,57,0.015712,0.001419,0.108517,0.014016,0.194498,0.139664
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,58,0.014432,0.00138,0.107899,0.014336,0.192748,0.138047
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,59,0.015872,0.00135,0.10318,0.01552,0.184288,0.135922
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,60,0.010016,0.00145,0.10406,0.01488,0.183807,0.130406
