dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,0,184.163,0.00338,0.102289,68.0259,451.87,252.294
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,1,0.247648,0.0017,0.07122,0.061888,0.598164,0.382456
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,2,0.230976,0.001761,0.06571,0.061696,0.554524,0.360143
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,3,0.234496,0.00167,0.068918,0.059616,0.570874,0.3647
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,4,0.232352,0.00179,0.06936,0.058624,0.568274,0.362126
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,5,0.240288,0.00171,0.06865,0.06,0.584254,0.370648
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,6,0.236736,0.00173,0.069238,0.059744,0.573294,0.367448
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,7,0.236992,0.00172,0.065798,0.06176,0.561954,0.36627
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,8,0.243104,0.00155,0.06874,0.06032,0.577724,0.373714
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,9,0.239744,0.00163,0.06891,0.059136,0.576034,0.36942
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,10,0.240672,0.00157,0.06908,0.05952,0.577384,0.370842
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,11,0.235488,0.00184,0.06942,0.060128,0.573384,0.366876
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,12,0.236672,0.00183,0.068788,0.058528,0.573694,0.365818
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,13,0.235328,0.00164,0.06911,0.059744,0.576874,0.365822
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,14,0.238624,0.00156,0.06872,0.059968,0.574384,0.368872
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,15,0.243872,0.00188,0.06866,0.060704,0.578714,0.375116
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,16,0.24096,0.001831,0.06961,0.06048,0.579294,0.372881
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,17,0.234528,0.00161,0.06935,0.059456,0.571954,0.364944
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,18,0.236128,0.001639,0.06949,0.058048,0.569244,0.365305
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,19,0.234464,0.001701,0.069268,0.05888,0.567094,0.364313
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,20,0.23936,0.001589,0.06888,0.05984,0.575264,0.369669
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,21,0.235456,0.00152,0.06879,0.059424,0.571544,0.36519
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,22,0.236064,0.00152,0.069039,0.059232,0.571714,0.365855
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,23,0.240096,0.00157,0.0686,0.059264,0.581114,0.36953
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,24,0.244416,0.00165,0.06914,0.06016,0.579224,0.375366
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,25,0.23904,0.00175,0.06847,0.058304,0.571944,0.367564
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,26,0.240896,0.001689,0.0693,0.060384,0.578964,0.372269
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,27,0.235712,0.00167,0.06894,0.05984,0.570344,0.366162
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,28,0.238048,0.001739,0.068948,0.059008,0.573314,0.367743
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,29,0.236896,0.001679,0.0692,0.059712,0.572194,0.367487
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,30,0.236736,0.0017,0.066329,0.194656,0.696823,0.499421
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,31,0.464768,0.00202,0.06889,0.059936,0.803182,0.595614
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,32,0.23984,0.001639,0.068979,0.059776,0.575944,0.370234
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,33,0.24496,0.00159,0.0687,0.057984,0.580064,0.373234
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,34,0.242144,0.00191,0.069768,0.060256,0.584614,0.374078
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,35,0.236128,0.00161,0.068519,0.059488,0.571293,0.365745
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,36,0.232832,0.00219,0.073889,0.058688,0.572374,0.367599
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,37,0.243008,0.00168,0.069518,0.060512,0.581134,0.374718
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,38,0.237408,0.00162,0.068698,0.060768,0.575833,0.368494
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,39,0.23616,0.002,0.0703,0.059776,0.573454,0.368236
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,40,0.237024,0.001519,0.06855,0.059712,0.572184,0.366805
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,41,0.23392,0.00178,0.066088,0.06096,0.556614,0.362748
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,42,0.235072,0.001641,0.06928,0.05904,0.570474,0.365033
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,43,0.244096,0.00163,0.068798,0.060064,0.581853,0.374588
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,44,0.241952,0.001601,0.069209,0.060416,0.578174,0.373178
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,45,0.239008,0.0016,0.069108,0.059744,0.576403,0.36946
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,46,0.234688,0.00179,0.169059,0.05824,0.668663,0.463777
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,47,0.237696,0.00153,0.06889,0.059872,0.572434,0.367988
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,48,0.243072,0.00165,0.06917,0.06016,0.580084,0.374052
