dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.072192,0.00249,0.147427,219.603,219.934,219.825
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.015072,0.001691,0.115418,0.024992,0.220378,0.157173
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.020928,0.00166,0.111029,0.024192,0.220798,0.157809
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.020576,0.001709,0.111959,0.024576,0.222308,0.15882
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.012672,0.001769,0.111358,0.022112,0.211858,0.147911
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.021568,0.00167,0.111779,0.020992,0.219668,0.156009
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.014144,0.001691,0.111698,0.02144,0.212868,0.148973
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.018336,0.00154,0.110768,0.031232,0.224948,0.161876
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.02096,0.001631,0.112029,0.021568,0.219477,0.156188
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.021376,0.001619,0.111248,0.024064,0.220388,0.158307
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.013344,0.001561,0.111488,0.023104,0.212208,0.149497
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.014688,0.00159,0.111888,0.021888,0.213098,0.150054
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.012384,0.001719,0.112529,0.0208,0.211058,0.147432
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.020992,0.00169,0.11166,0.024704,0.222277,0.159046
