dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",64,0,182.871,0.00298,0.148859,69.159,252.3,252.182
3,double,uniform,GPU,"P | P | P | P | D | N",64,1,0.011488,0.001631,0.119618,0.024,0.219888,0.156737
3,double,uniform,GPU,"P | P | P | P | D | N",64,2,0.018144,0.001549,0.121968,0.022176,0.227568,0.163837
3,double,uniform,GPU,"P | P | P | P | D | N",64,3,0.009632,0.001639,0.11834,0.022912,0.216697,0.152523
3,double,uniform,GPU,"P | P | P | P | D | N",64,4,0.015424,0.001631,0.117438,0.024288,0.221158,0.158781
3,double,uniform,GPU,"P | P | P | P | D | N",64,5,0.017344,0.00158,0.11768,0.022752,0.221808,0.159356
3,double,uniform,GPU,"P | P | P | P | D | N",64,6,0.015136,0.00159,0.116678,0.024192,0.220438,0.157596
3,double,uniform,GPU,"P | P | P | P | D | N",64,7,0.009056,0.001551,0.116669,0.022592,0.212488,0.149868
3,double,uniform,GPU,"P | P | P | P | D | N",64,8,0.016544,0.001711,0.116618,0.025952,0.223757,0.160825
3,double,uniform,GPU,"P | P | P | P | D | N",64,9,0.016896,0.00159,0.116859,0.023488,0.221478,0.158833
3,double,uniform,GPU,"P | P | P | P | D | N",64,10,0.016352,0.001559,0.116728,0.022944,0.219938,0.157583
3,double,uniform,GPU,"P | P | P | P | D | N",64,11,0.017216,0.001621,0.116779,0.022912,0.219808,0.158528
3,double,uniform,GPU,"P | P | P | P | D | N",64,12,0.017952,0.001629,0.116808,0.022336,0.221367,0.158725
3,double,uniform,GPU,"P | P | P | P | D | N",64,13,0.016928,0.001629,0.116578,0.024896,0.226738,0.160031
3,double,uniform,GPU,"P | P | P | P | D | N",64,14,0.016704,0.00163,0.11677,0.023648,0.220938,0.158752
3,double,uniform,GPU,"P | P | P | P | D | N",64,15,0.01776,0.00149,0.116438,0.022112,0.220238,0.1578
