dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,0,0.08336,0,0.106609,200.019,200.31,200.209
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,1,0.02992,0,0.060509,0.011808,0.145469,0.102237
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,2,0.026304,0,0.056609,0.010912,0.132608,0.093825
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,3,0.025856,0,0.056099,0.0104,0.131448,0.092355
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,4,0.02528,0,0.055919,0.010816,0.129489,0.092015
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,5,0.02752,0,0.05637,0.01024,0.135598,0.09413
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,6,0.02624,0,0.056349,0.011168,0.133329,0.093757
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,7,0.025792,0,0.054249,0.010624,0.123509,0.090665
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,8,0.0248,0,0.05541,0.009792,0.129029,0.090002
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,9,0.025824,0,0.054169,0.009824,0.123758,0.089817
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,10,0.025568,0,0.05597,0.009376,0.130038,0.090914
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,11,0.026976,0,0.05688,0.00688,0.130658,0.090736
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,12,0.025472,0,0.05637,0.009248,0.130488,0.09109
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,13,0.026304,0,0.055799,0.009184,0.128919,0.091287
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,14,0.02624,0,0.05641,0.00912,0.132349,0.09177
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,15,0.027616,0,0.05685,0.009056,0.130149,0.093522
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,16,0.025568,0,0.057199,0.010048,0.133208,0.092815
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,17,0.027456,0,0.05612,0.00928,0.131638,0.092856
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,18,0.025536,0,0.056499,0.009696,0.130689,0.091731
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,19,0.02544,0,0.056789,0.010656,0.132389,0.092885
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,20,0.026816,0,0.056749,0.008768,0.132558,0.092333
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,21,0.030368,0,0.053719,0.009504,0.126738,0.093591
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,22,0.025312,0,0.057139,0.009728,0.132379,0.092179
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,23,0.025888,0,0.056109,0.010688,0.130688,0.092685
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,24,0.02512,0,0.055529,0.009632,0.127509,0.090281
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,25,0.024864,0,0.056028,0.007872,0.127689,0.088764
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,26,0.025632,0,0.057179,0.009024,0.131379,0.091835
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,27,0.026208,0,0.057499,0.008864,0.130748,0.092571
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,28,0.026304,0,0.05605,0.0096,0.130399,0.091954
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,29,0.026784,0,0.056229,0.009536,0.135828,0.092549
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,30,0.02576,0,0.056169,0.01072,0.131009,0.092649
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,31,0.025728,0,0.05595,0.009888,0.130238,0.091566
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,32,0.027008,0,0.05692,0.00944,0.134158,0.093368
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,33,0.02608,0,0.055919,0.010752,0.130569,0.092751
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,34,0.028,0,0.056919,0.010976,0.134588,0.095895
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,35,0.026816,0,0.05638,0.010944,0.132599,0.09414
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,36,0.026528,0,0.058049,0.009536,0.135769,0.094113
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,37,0.026944,0,0.141208,0.010304,0.217808,0.178456
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,38,0.027584,0,0.056679,0.00992,0.131259,0.094183
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,39,0.0256,0,0.053749,0.01088,0.124969,0.090229
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,40,0.025344,0,0.05581,0.007616,0.129248,0.08877
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",64,41,0.024768,0,0.05416,0.01104,0.123669,0.089968
