dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",64,56,0.028352,0,0.0309,0.005664,0.187988,0.064916
1,double,uniform,CPU,"N | D",64,57,0.029632,0,0.03066,0.008416,0.110479,0.068708
1,double,uniform,CPU,"N | D",64,58,0.0288,0,0.0315,0.007296,0.108129,0.067596
1,double,uniform,CPU,"N | D",64,59,0.030016,0,0.03168,0.007392,0.10689,0.069088
1,double,uniform,CPU,"N | D",64,60,0.029696,0,0.02821,0.007072,0.09774,0.064978
1,double,uniform,CPU,"N | D",64,61,0.027936,0,0.030799,0.007264,0.104469,0.065999
1,double,uniform,CPU,"N | D",64,62,0.0304,0,0.027719,0.008576,0.100679,0.066695
1,double,uniform,CPU,"N | D",64,63,0.027712,0,0.03156,0.005984,0.102929,0.065256
1,double,uniform,CPU,"N | D",64,64,0.02944,0,0.03332,0.006848,0.110639,0.069608
1,double,uniform,CPU,"N | D",64,65,0.029728,0,0.03077,0.007776,0.107839,0.068274
1,double,uniform,CPU,"N | D",64,66,0.032544,0,0.03113,0.008096,0.111099,0.07177
1,double,uniform,CPU,"N | D",64,67,0.0296,0,0.03105,0.0064,0.106108,0.06705
1,double,uniform,CPU,"N | D",64,68,0.029344,0,0.030699,0.007264,0.107829,0.067307
1,double,uniform,CPU,"N | D",64,69,0.028832,0,0.03067,0.008224,0.106669,0.067726
1,double,uniform,CPU,"N | D",64,70,0.027936,0,0.03035,0.0088,0.107299,0.067086
1,double,uniform,CPU,"N | D",64,71,0.04208,0,0.0312,0.007136,0.118939,0.080416
1,double,uniform,CPU,"N | D",64,72,0.02784,0,0.03078,0.0072,0.110259,0.06582
1,double,uniform,CPU,"N | D",64,73,0.028448,0,0.11615,0.00656,0.191658,0.151158
1,double,uniform,CPU,"N | D",64,74,0.0296,0,0.03146,0.005312,0.10483,0.066372
1,double,uniform,CPU,"N | D",128,0,0.058304,0,0.037069,0.008864,0.151029,0.104237
1,double,uniform,CPU,"N | D",128,1,0.071104,0,0.03825,0.012064,0.188039,0.121418
1,double,uniform,CPU,"N | D",128,2,0.028352,0,0.029439,0.008032,0.096209,0.065823
1,double,uniform,CPU,"N | D",128,3,0.030336,0,0.03281,0.007072,0.10893,0.070218
1,double,uniform,CPU,"N | D",128,4,0.030464,0,0.03279,0.00656,0.109219,0.069814
1,double,uniform,CPU,"N | D",128,5,0.028352,0,0.03285,0.006336,0.108179,0.067538
1,double,uniform,CPU,"N | D",128,6,0.031552,0,0.03306,0.0072,0.109879,0.071812
