dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,45,0.031488,0,0.02009,0.008,0.092719,0.059578
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,46,0.033952,0,0.022499,0.007296,0.100789,0.063747
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,47,0.033376,0,0.02209,0.006144,0.102639,0.06161
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,48,0.032576,0,0.02175,0.007872,0.102939,0.062198
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,49,0.034496,0,0.021619,0.008736,0.105979,0.064851
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,50,0.036704,0,0.02161,0.00496,0.104319,0.063274
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,51,0.033504,0,0.02189,0.007712,0.103019,0.063106
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,52,0.038592,0,0.019279,0.008992,0.100849,0.066863
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,53,0.03392,0,0.021591,0.008064,0.103739,0.063575
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,54,0.034304,0,0.022599,0.008,0.105909,0.064903
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,55,0.0336,0,0.02189,0.009248,0.105129,0.064738
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,56,0.034432,0,0.0218,0.008256,0.105348,0.064488
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,57,0.032576,0,0.021679,0.006976,0.101419,0.061231
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,58,0.037408,0,0.02168,0.00784,0.107009,0.066928
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,59,0.036896,0,0.02275,0.008064,0.106349,0.06771
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,60,0.0328,0,0.022,0.006048,0.101089,0.060848
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,61,0.032704,0,0.108779,0.0072,0.193568,0.148683
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,62,0.035104,0,0.02171,0.006944,0.104749,0.063758
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,63,0.033888,0,0.02182,0.007264,0.103379,0.062972
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,64,0.034912,0,0.0219,0.006368,0.101469,0.06318
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,65,0.029344,0,0.01885,0.008448,0.088079,0.056642
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,66,0.031808,0,0.02178,0.007456,0.100339,0.061044
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,67,0.032128,0,0.022049,0.008384,0.103119,0.062561
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,68,0.036832,0,0.02199,0.00688,0.106079,0.065702
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,69,0.037856,0,0.02242,0.006336,0.111209,0.066612
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,70,0.032544,0,0.021899,0.004864,0.098859,0.059307
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,71,0.033248,0,0.0231,0.007104,0.104619,0.063452
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,72,0.03392,0,0.021689,0.006752,0.102279,0.062361
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,73,0.034528,0,0.02246,0.009024,0.105599,0.066012
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,74,0.032736,0,0.021709,0.006208,0.101469,0.060653
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,0,0.076064,0,0.02978,0.011968,0.165598,0.117812
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,1,0.0504,0,0.024239,0.008224,0.122539,0.082863
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,2,0.043264,0,0.02408,0.006016,0.111878,0.07336
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,3,0.038784,0,0.02062,0.007232,0.098489,0.066636
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,4,0.039904,0,0.024,0.007456,0.121269,0.07136
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,5,0.181984,0,0.02399,0.007392,0.253157,0.213366
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,6,0.038816,0,0.02499,0.006912,0.109868,0.070718
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,7,0.039552,0,0.024479,0.007136,0.111379,0.071167
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,8,0.04032,0,0.02382,0.00688,0.110739,0.07102
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,9,0.038336,0,0.02433,0.007712,0.110089,0.070378
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,10,0.043616,0,0.024499,0.007488,0.112409,0.075603
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,11,0.042912,0,0.0241,0.01552,0.119579,0.082532
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,12,0.039776,0,0.02386,0.006784,0.109209,0.07042
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,13,0.039872,0,0.02377,0.007584,0.112559,0.071226
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,14,0.041856,0,0.024139,0.005504,0.112809,0.071499
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,15,0.039392,0,0.02446,0.0064,0.108839,0.070252
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,16,0.039776,0,0.0243,0.007584,0.109349,0.07166
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,17,0.037952,0,0.02375,0.00944,0.110239,0.071142
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,18,0.043648,0,0.02409,0.00688,0.112819,0.074618
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,19,0.12368,0,0.02395,0.007232,0.193528,0.154862
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,20,0.039488,0,0.02385,0.006688,0.108459,0.070026
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,21,0.042112,0,0.02584,0.00688,0.113398,0.074832
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,22,0.03712,0,0.02445,0.007456,0.106608,0.069026
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,23,0.038208,0,0.024769,0.0072,0.110709,0.070177
