dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"D | D | D | D",64,0,0.082272,0,0.163098,199.437,199.78,199.682
2,double,uniform,CPU,"D | D | D | D",64,1,0.027168,0,0.10755,0.011936,0.182658,0.146654
2,double,uniform,CPU,"D | D | D | D",64,2,0.028832,0,0.106059,0.010464,0.186578,0.145355
2,double,uniform,CPU,"D | D | D | D",64,3,0.026048,0,0.10667,0.010336,0.183588,0.143054
2,double,uniform,CPU,"D | D | D | D",64,4,0.025696,0,0.106279,0.01072,0.184898,0.142695
2,double,uniform,CPU,"D | D | D | D",64,5,0.026816,0,0.106068,0.009632,0.184078,0.142516
2,double,uniform,CPU,"D | D | D | D",64,6,0.02784,0,0.105429,0.01008,0.183118,0.143349
2,double,uniform,CPU,"D | D | D | D",64,7,0.027712,0,0.10635,0.01056,0.185318,0.144622
2,double,uniform,CPU,"D | D | D | D",64,8,0.027072,0,0.10565,0.009504,0.182808,0.142226
2,double,uniform,CPU,"D | D | D | D",64,9,0.028096,0,0.105859,0.009408,0.185468,0.143363
2,double,uniform,CPU,"D | D | D | D",64,10,0.026432,0,0.106099,0.010112,0.183348,0.142643
2,double,uniform,CPU,"D | D | D | D",64,11,0.027168,0,0.106579,0.008768,0.182758,0.142515
2,double,uniform,CPU,"D | D | D | D",64,12,0.025984,0,0.106088,0.0088,0.181598,0.140872
2,double,uniform,CPU,"D | D | D | D",64,13,0.027584,0,0.106489,0.0096,0.184398,0.143673
2,double,uniform,CPU,"D | D | D | D",64,14,0.027872,0,0.105729,0.009152,0.181369,0.142753
2,double,uniform,CPU,"D | D | D | D",64,15,0.02672,0,0.105618,0.010144,0.182148,0.142482
2,double,uniform,CPU,"D | D | D | D",64,16,0.026976,0,0.1063,0.01088,0.183517,0.144156
2,double,uniform,CPU,"D | D | D | D",64,17,0.027264,0,0.106039,0.009696,0.184248,0.142999
2,double,uniform,CPU,"D | D | D | D",64,18,0.026432,0,0.106119,0.009568,0.182798,0.142119
2,double,uniform,CPU,"D | D | D | D",64,19,0.026496,0,0.207087,0.010208,0.276727,0.243791
2,double,uniform,CPU,"D | D | D | D",64,20,0.023712,0,0.103018,0.011872,0.171268,0.138602
2,double,uniform,CPU,"D | D | D | D",64,21,0.027552,0,0.105749,0.01024,0.183518,0.143541
2,double,uniform,CPU,"D | D | D | D",64,22,0.02784,0,0.106459,0.009056,0.182848,0.143355
2,double,uniform,CPU,"D | D | D | D",64,23,0.027744,0,0.106719,0.010464,0.185977,0.144927
2,double,uniform,CPU,"D | D | D | D",64,24,0.026496,0,0.198159,0.0104,0.273957,0.235055
2,double,uniform,CPU,"D | D | D | D",64,25,0.027648,0,0.105099,0.00864,0.182648,0.141387
2,double,uniform,CPU,"D | D | D | D",64,26,0.026784,0,0.106509,0.009344,0.183978,0.142637
2,double,uniform,CPU,"D | D | D | D",64,27,0.026592,0,0.105839,0.01056,0.181368,0.142991
2,double,uniform,CPU,"D | D | D | D",64,28,0.02512,0,0.106388,0.009376,0.180908,0.140884
2,double,uniform,CPU,"D | D | D | D",64,29,0.027424,0,0.10636,0.00912,0.183388,0.142904
2,double,uniform,CPU,"D | D | D | D",64,30,0.02608,0,0.106358,0.009792,0.184068,0.14223
2,double,uniform,CPU,"D | D | D | D",64,31,0.026848,0,0.106558,0.010272,0.184778,0.143678
2,double,uniform,CPU,"D | D | D | D",64,32,0.025856,0,0.105399,0.010272,0.182738,0.141527
2,double,uniform,CPU,"D | D | D | D",64,33,0.028128,0,0.10517,0.009056,0.181418,0.142354
2,double,uniform,CPU,"D | D | D | D",64,34,0.02784,0,0.105518,0.008768,0.182488,0.142126
2,double,uniform,CPU,"D | D | D | D",64,35,0.028,0,0.106098,0.008352,0.183408,0.14245
2,double,uniform,CPU,"D | D | D | D",64,36,0.02688,0,0.106138,0.010336,0.184328,0.143354
2,double,uniform,CPU,"D | D | D | D",64,37,0.026848,0,0.105738,0.009824,0.184158,0.14241
2,double,uniform,CPU,"D | D | D | D",64,38,0.027936,0,0.10701,0.00832,0.186358,0.143266
2,double,uniform,CPU,"D | D | D | D",64,39,0.132928,0,0.106679,0.00896,0.285227,0.248567
2,double,uniform,CPU,"D | D | D | D",64,40,0.026976,0,0.106968,0.009536,0.183878,0.14348
2,double,uniform,CPU,"D | D | D | D",64,41,0.026656,0,0.105198,0.010624,0.183078,0.142478
2,double,uniform,CPU,"D | D | D | D",64,42,0.025408,0,0.105128,0.011808,0.182178,0.142344
2,double,uniform,CPU,"D | D | D | D",64,43,0.02672,0,0.107248,0.00928,0.183708,0.143248
2,double,uniform,CPU,"D | D | D | D",64,44,0.027424,0,0.105629,0.008864,0.181158,0.141917
2,double,uniform,CPU,"D | D | D | D",64,45,0.0272,0,0.103799,0.010848,0.176527,0.141847
2,double,uniform,CPU,"D | D | D | D",64,46,0.02608,0,0.10552,0.009312,0.182498,0.140912
2,double,uniform,CPU,"D | D | D | D",64,47,0.026048,0,0.105849,0.00848,0.181078,0.140377
2,double,uniform,CPU,"D | D | D | D",64,48,0.02656,0,0.107119,0.008096,0.182118,0.141775
2,double,uniform,CPU,"D | D | D | D",64,49,0.027264,0,0.106509,0.009088,0.183398,0.142861
2,double,uniform,CPU,"D | D | D | D",64,50,0.02608,0,0.106499,0.01024,0.189478,0.142819
