dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",64,46,0.15136,0.001479,0.043679,0.00896,0.251918,0.205478
3,float,uniform,CPU,"D | D | D | D | N | D",64,47,0.155008,0.00146,0.043391,0.007168,0.254147,0.207027
3,float,uniform,CPU,"D | D | D | D | N | D",64,48,0.152544,0.00147,0.043399,0.007776,0.257867,0.205189
3,float,uniform,CPU,"D | D | D | D | N | D",64,49,0.15392,0.00157,0.04403,0.009152,0.254328,0.208672
3,float,uniform,CPU,"D | D | D | D | N | D",64,50,0.15104,0.0015,0.043699,0.00704,0.249647,0.203279
3,float,uniform,CPU,"D | D | D | D | N | D",64,51,0.14848,0.001471,0.050849,0.008064,0.255478,0.208864
3,float,uniform,CPU,"D | D | D | D | N | D",64,52,0.152224,0.00149,0.043959,0.009632,0.253557,0.207305
3,float,uniform,CPU,"D | D | D | D | N | D",64,53,0.1496,0.001649,0.04375,0.00848,0.250267,0.203479
3,float,uniform,CPU,"D | D | D | D | N | D",64,54,0.152224,0.00148,0.04413,0.006944,0.250397,0.204778
3,float,uniform,CPU,"D | D | D | D | N | D",64,55,0.152256,0.001459,0.04374,0.007712,0.251217,0.205167
3,float,uniform,CPU,"D | D | D | D | N | D",64,56,0.153024,0.00141,0.04487,0.00688,0.252468,0.206184
3,float,uniform,CPU,"D | D | D | D | N | D",64,57,0.152864,0.001621,0.044278,0.007904,0.252598,0.206667
3,float,uniform,CPU,"D | D | D | D | N | D",64,58,0.159872,0.001511,0.044029,0.007296,0.261377,0.212708
3,float,uniform,CPU,"D | D | D | D | N | D",64,59,0.153408,0.001531,0.04396,0.00736,0.253048,0.206259
3,float,uniform,CPU,"D | D | D | D | N | D",64,60,0.15216,0.00147,0.044049,0.008096,0.251937,0.205775
3,float,uniform,CPU,"D | D | D | D | N | D",64,61,0.152096,0.00166,0.043849,0.017152,0.260578,0.214757
3,float,uniform,CPU,"D | D | D | D | N | D",64,62,0.150592,0.001461,0.043759,0.00704,0.249308,0.202852
3,float,uniform,CPU,"D | D | D | D | N | D",64,63,0.150944,0.001551,0.04383,0.0072,0.251097,0.203525
3,float,uniform,CPU,"D | D | D | D | N | D",64,64,0.148448,0.001609,0.04346,0.00832,0.248627,0.201837
3,float,uniform,CPU,"D | D | D | D | N | D",64,65,0.147904,0.001541,0.043399,0.007008,0.246098,0.199852
3,float,uniform,CPU,"D | D | D | D | N | D",64,66,0.154592,0.00142,0.043749,0.010432,0.254977,0.210193
3,float,uniform,CPU,"D | D | D | D | N | D",64,67,0.153952,0.00142,0.04389,0.007168,0.258507,0.20643
3,float,uniform,CPU,"D | D | D | D | N | D",64,68,0.153824,0.0015,0.045168,0.009824,0.257057,0.210316
3,float,uniform,CPU,"D | D | D | D | N | D",64,69,0.150208,0.00141,0.044069,0.00848,0.259637,0.204167
3,float,uniform,CPU,"D | D | D | D | N | D",64,70,0.308544,0.001469,0.04329,0.010432,0.408036,0.363735
3,float,uniform,CPU,"D | D | D | D | N | D",64,71,0.150048,0.00141,0.03733,0.01136,0.238357,0.200148
3,float,uniform,CPU,"D | D | D | D | N | D",64,72,0.153984,0.001431,0.043379,0.009088,0.253457,0.207882
3,float,uniform,CPU,"D | D | D | D | N | D",64,73,0.151776,0.0014,0.043549,0.008384,0.253077,0.205109
3,float,uniform,CPU,"D | D | D | D | N | D",64,74,0.152384,0.00143,0.043528,0.008224,0.252337,0.205566
3,float,uniform,CPU,"D | D | D | D | N | D",128,0,0.988736,0.00184,0.12459,0.02208,1.19659,1.13725
3,float,uniform,CPU,"D | D | D | D | N | D",128,1,0.79296,0.00161,0.11746,0.018944,0.979449,0.930974
3,float,uniform,CPU,"D | D | D | D | N | D",128,2,0.786848,0.00157,0.11794,0.019264,0.97403,0.925622
3,float,uniform,CPU,"D | D | D | D | N | D",128,3,0.793088,0.00158,0.117199,0.018304,0.97795,0.930171
3,float,uniform,CPU,"D | D | D | D | N | D",128,4,0.8064,0.00173,0.116639,0.01968,0.99388,0.944449
