dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",64,34,0.014528,0.001579,0.04645,0.008288,0.125028,0.070845
3,float,uniform,GPU,"N | D | N | N | N | N",64,35,0.020096,0.00142,0.04637,0.009408,0.132478,0.077294
3,float,uniform,GPU,"N | D | N | N | N | N",64,36,0.0192,0.00144,0.046139,0.008416,0.130118,0.075195
3,float,uniform,GPU,"N | D | N | N | N | N",64,37,0.020224,0.00147,0.045619,0.007552,0.129329,0.074865
3,float,uniform,GPU,"N | D | N | N | N | N",64,38,0.021312,0.00141,0.04638,0.0088,0.132839,0.077902
3,float,uniform,GPU,"N | D | N | N | N | N",64,39,0.022016,0.001501,0.045779,0.0088,0.132258,0.078096
3,float,uniform,GPU,"N | D | N | N | N | N",64,40,0.0208,0.00148,0.045259,0.00928,0.131138,0.076819
3,float,uniform,GPU,"N | D | N | N | N | N",64,41,0.021184,0.00145,0.04578,0.007712,0.130798,0.076126
3,float,uniform,GPU,"N | D | N | N | N | N",64,42,0.014624,0.001489,0.04607,0.007264,0.124238,0.069447
3,float,uniform,GPU,"N | D | N | N | N | N",64,43,0.012928,0.001381,0.04626,0.010144,0.124218,0.070713
3,float,uniform,GPU,"N | D | N | N | N | N",64,44,0.019648,0.00157,0.04565,0.00848,0.130389,0.075348
3,float,uniform,GPU,"N | D | N | N | N | N",64,45,0.0192,0.00152,0.045849,0.007808,0.130228,0.074377
3,float,uniform,GPU,"N | D | N | N | N | N",64,46,0.021632,0.00144,0.04575,0.009024,0.131329,0.077846
3,float,uniform,GPU,"N | D | N | N | N | N",64,47,0.020384,0.00146,0.04862,0.009088,0.135389,0.079552
3,float,uniform,GPU,"N | D | N | N | N | N",64,48,0.013728,0.00136,0.03745,0.01152,0.109858,0.064058
3,float,uniform,GPU,"N | D | N | N | N | N",64,49,0.018208,0.001459,0.037899,0.011168,0.217848,0.068734
3,float,uniform,GPU,"N | D | N | N | N | N",64,50,0.013216,0.001481,0.04578,0.008096,0.122319,0.068573
3,float,uniform,GPU,"N | D | N | N | N | N",64,51,0.020736,0.001469,0.044159,0.009056,0.129158,0.07542
3,float,uniform,GPU,"N | D | N | N | N | N",64,52,0.018752,0.00138,0.045249,0.0088,0.129028,0.074181
3,float,uniform,GPU,"N | D | N | N | N | N",64,53,0.018976,0.001569,0.04499,0.009088,0.129688,0.074623
3,float,uniform,GPU,"N | D | N | N | N | N",64,54,0.020608,0.001501,0.045139,0.008768,0.130108,0.076016
