dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"N | N | N | N",64,52,0.01296,0,0.058009,0.008832,0.114459,0.079801
2,double,uniform,GPU,"N | N | N | N",64,53,0.02096,0,0.056779,0.009632,0.117899,0.087371
2,double,uniform,GPU,"N | N | N | N",64,54,0.011776,0,0.057699,0.008224,0.112389,0.077699
2,double,uniform,GPU,"N | N | N | N",64,55,0.011648,0,0.057669,0.006848,0.111999,0.076165
2,double,uniform,GPU,"N | N | N | N",64,56,0.011264,0,0.05839,0.008576,0.113608,0.07823
2,double,uniform,GPU,"N | N | N | N",64,57,0.011584,0,0.057649,0.007552,0.113109,0.076785
2,double,uniform,GPU,"N | N | N | N",64,58,0.010432,0,0.057899,0.00704,0.111169,0.075371
2,double,uniform,GPU,"N | N | N | N",64,59,0.012864,0,0.0582,0.008352,0.115878,0.079416
2,double,uniform,GPU,"N | N | N | N",64,60,0.01296,0,0.057909,0.007104,0.113549,0.077973
2,double,uniform,GPU,"N | N | N | N",64,61,0.013664,0,0.05782,0.007328,0.113948,0.078812
2,double,uniform,GPU,"N | N | N | N",64,62,0.013344,0,0.05767,0.007424,0.115388,0.078438
2,double,uniform,GPU,"N | N | N | N",64,63,0.01312,0,0.05768,0.008128,0.114109,0.078928
2,double,uniform,GPU,"N | N | N | N",64,64,0.01168,0,0.058169,0.00752,0.112839,0.077369
2,double,uniform,GPU,"N | N | N | N",64,65,0.014208,0,0.05741,0.00768,0.113729,0.079298
2,double,uniform,GPU,"N | N | N | N",64,66,0.01248,0,0.058129,0.006656,0.113809,0.077265
2,double,uniform,GPU,"N | N | N | N",64,67,0.012064,0,0.0549,0.010112,0.108479,0.077076
2,double,uniform,GPU,"N | N | N | N",64,68,0.012576,0,0.05799,0.007808,0.114169,0.078374
2,double,uniform,GPU,"N | N | N | N",64,69,0.011008,0,0.057859,0.006816,0.111649,0.075683
2,double,uniform,GPU,"N | N | N | N",64,70,0.01168,0,0.057879,0.007968,0.111669,0.077527
2,double,uniform,GPU,"N | N | N | N",64,71,0.014432,0,0.057539,0.008192,0.118488,0.080163
2,double,uniform,GPU,"N | N | N | N",64,72,0.011616,0,0.057519,0.00752,0.111879,0.076655
2,double,uniform,GPU,"N | N | N | N",64,73,0.011744,0,0.05771,0.005952,0.112659,0.075406
2,double,uniform,GPU,"N | N | N | N",64,74,0.011648,0,0.05797,0.007392,0.113629,0.07701
2,double,uniform,GPU,"N | N | N | N",128,0,0.024416,0,0.244697,0.011136,0.322956,0.280249
2,double,uniform,GPU,"N | N | N | N",128,1,0.011584,0,0.233517,0.008096,0.289887,0.253197
2,double,uniform,GPU,"N | N | N | N",128,2,0.012096,0,0.232638,0.0088,0.289128,0.253534
2,double,uniform,GPU,"N | N | N | N",128,3,0.011552,0,0.233327,0.00768,0.288867,0.252559
2,double,uniform,GPU,"N | N | N | N",128,4,0.011936,0,0.232577,0.00672,0.288847,0.251233
2,double,uniform,GPU,"N | N | N | N",128,5,0.011232,0,0.232728,0.007008,0.289347,0.250968
2,double,uniform,GPU,"N | N | N | N",128,6,0.012672,0,0.232468,0.008768,0.291226,0.253908
2,double,uniform,GPU,"N | N | N | N",128,7,0.014048,0,0.233437,0.00656,0.292687,0.254045
2,double,uniform,GPU,"N | N | N | N",128,8,0.011776,0,0.232748,0.007104,0.289647,0.251628
2,double,uniform,GPU,"N | N | N | N",128,9,0.012064,0,0.233307,0.00752,0.290177,0.252891
2,double,uniform,GPU,"N | N | N | N",128,10,0.011328,0,0.233268,0.006432,0.288347,0.251028
2,double,uniform,GPU,"N | N | N | N",128,11,0.01408,0,0.232888,0.006528,0.291157,0.253496
2,double,uniform,GPU,"N | N | N | N",128,12,0.012832,0,0.233568,0.008608,0.291607,0.255008
2,double,uniform,GPU,"N | N | N | N",128,13,0.012,0,0.234248,0.006048,0.290068,0.252296
2,double,uniform,GPU,"N | N | N | N",128,14,0.012416,0,0.232798,0.0088,0.291377,0.254014
2,double,uniform,GPU,"N | N | N | N",128,15,0.011392,0,0.233527,0.008096,0.290617,0.253015
2,double,uniform,GPU,"N | N | N | N",128,16,0.012384,0,0.232797,0.00704,0.289467,0.252221
2,double,uniform,GPU,"N | N | N | N",128,17,0.01488,0,0.232407,0.007296,0.374966,0.254583
2,double,uniform,GPU,"N | N | N | N",128,18,0.011424,0,0.232138,0.007232,0.287917,0.250794
2,double,uniform,GPU,"N | N | N | N",128,19,0.013504,0,0.232607,0.007648,0.291477,0.253759
2,double,uniform,GPU,"N | N | N | N",128,20,0.012416,0,0.248447,0.00768,0.305497,0.268543
2,double,uniform,GPU,"N | N | N | N",128,21,0.010976,0,0.232647,0.008288,0.288737,0.251911
2,double,uniform,GPU,"N | N | N | N",128,22,0.013536,0,0.232427,0.009184,0.291117,0.255147
2,double,uniform,GPU,"N | N | N | N",128,23,0.018016,0,0.232028,0.008576,0.295117,0.25862
2,double,uniform,GPU,"N | N | N | N",128,24,0.011776,0,0.228917,0.009536,0.282527,0.250229
2,double,uniform,GPU,"N | N | N | N",128,25,0.012448,0,0.231828,0.00624,0.288266,0.250516
2,double,uniform,GPU,"N | N | N | N",128,26,0.011712,0,0.232388,0.007488,0.389905,0.251588
2,double,uniform,GPU,"N | N | N | N",128,27,0.011456,0,0.232297,0.007744,0.287937,0.251497
2,double,uniform,GPU,"N | N | N | N",128,28,0.011744,0,0.232207,0.007712,0.288557,0.251663
2,double,uniform,GPU,"N | N | N | N",128,29,0.011584,0,0.231887,0.00768,0.288447,0.251151
2,double,uniform,GPU,"N | N | N | N",128,30,0.013696,0,0.232377,0.00736,0.290787,0.253433
2,double,uniform,GPU,"N | N | N | N",128,31,0.012512,0,0.232307,0.007072,0.289527,0.251891
2,double,uniform,GPU,"N | N | N | N",128,32,0.01344,0,0.232307,0.007008,0.291257,0.252755
2,double,uniform,GPU,"N | N | N | N",128,33,0.012064,0,0.232007,0.007264,0.289147,0.251335
2,double,uniform,GPU,"N | N | N | N",128,34,0.011392,0,0.232457,0.0072,0.288407,0.251049
2,double,uniform,GPU,"N | N | N | N",128,35,0.01296,0,0.232198,0.007648,0.289777,0.252806
2,double,uniform,GPU,"N | N | N | N",128,36,0.014016,0,0.231877,0.01008,0.293057,0.255973
2,double,uniform,GPU,"N | N | N | N",128,37,0.011968,0,0.233278,0.009216,0.290877,0.254462
2,double,uniform,GPU,"N | N | N | N",128,38,0.012992,0,0.232687,0.006752,0.289537,0.252431
2,double,uniform,GPU,"N | N | N | N",128,39,0.011968,0,0.232988,0.008544,0.291477,0.2535
2,double,uniform,GPU,"N | N | N | N",128,40,0.0112,0,0.231998,0.006336,0.287277,0.249534
2,double,uniform,GPU,"N | N | N | N",128,41,0.01488,0,0.232778,0.008768,0.293426,0.256426
2,double,uniform,GPU,"N | N | N | N",128,42,0.011296,0,0.322066,0.008128,0.379486,0.34149
2,double,uniform,GPU,"N | N | N | N",128,43,0.013312,0,0.232228,0.006816,0.290357,0.252356
2,double,uniform,GPU,"N | N | N | N",128,44,0.011936,0,0.232848,0.006208,0.289057,0.250992
2,double,uniform,GPU,"N | N | N | N",128,45,0.013888,0,0.232767,0.007296,0.290547,0.253951
2,double,uniform,GPU,"N | N | N | N",128,46,0.011712,0,0.232388,0.007584,0.288477,0.251684
2,double,uniform,GPU,"N | N | N | N",128,47,0.01216,0,0.232588,0.007424,0.289387,0.252172
2,double,uniform,GPU,"N | N | N | N",128,48,0.0128,0,0.260017,0.007392,0.317366,0.280209
2,double,uniform,GPU,"N | N | N | N",128,49,0.018336,0,0.231937,0.00688,0.294267,0.257153
2,double,uniform,GPU,"N | N | N | N",128,50,0.013792,0,0.232137,0.007584,0.291257,0.253513
2,double,uniform,GPU,"N | N | N | N",128,51,0.011648,0,0.232108,0.00928,0.287787,0.253036
2,double,uniform,GPU,"N | N | N | N",128,52,0.011424,0,0.232027,0.007904,0.287887,0.251355
2,double,uniform,GPU,"N | N | N | N",128,53,0.012224,0,0.232258,0.00608,0.288317,0.250562
2,double,uniform,GPU,"N | N | N | N",128,54,0.011488,0,0.231867,0.006368,0.287647,0.249723
2,double,uniform,GPU,"N | N | N | N",128,55,0.012928,0,0.231658,0.0064,0.288767,0.250986
2,double,uniform,GPU,"N | N | N | N",128,56,0.012928,0,0.232088,0.007584,0.289797,0.2526
2,double,uniform,GPU,"N | N | N | N",128,57,0.013344,0,0.232467,0.008128,0.291867,0.253939
2,double,uniform,GPU,"N | N | N | N",128,58,0.01152,0,0.232558,0.006336,0.288626,0.250414
2,double,uniform,GPU,"N | N | N | N",128,59,0.01216,0,0.233167,0.007936,0.289387,0.253263
2,double,uniform,GPU,"N | N | N | N",128,60,0.01216,0,0.232967,0.007968,0.290167,0.253095
2,double,uniform,GPU,"N | N | N | N",128,61,0.01424,0,0.233157,0.00768,0.292047,0.255077
2,double,uniform,GPU,"N | N | N | N",128,62,0.0112,0,0.233458,0.00784,0.290106,0.252498
2,double,uniform,GPU,"N | N | N | N",128,63,0.011936,0,0.232897,0.0176,0.299237,0.262433
2,double,uniform,GPU,"N | N | N | N",128,64,0.012864,0,0.233207,0.007136,0.291497,0.253207
2,double,uniform,GPU,"N | N | N | N",128,65,0.011808,0,0.233037,0.007456,0.289967,0.252301
2,double,uniform,GPU,"N | N | N | N",128,66,0.013248,0,0.336897,0.011264,0.398956,0.361409
2,double,uniform,GPU,"N | N | N | N",128,67,0.011168,0,0.232847,0.00784,0.289107,0.251855
2,double,uniform,GPU,"N | N | N | N",128,68,0.012768,0,0.233458,0.017184,0.300647,0.26341
2,double,uniform,GPU,"N | N | N | N",128,69,0.012832,0,0.233337,0.005632,0.289807,0.251801
2,double,uniform,GPU,"N | N | N | N",128,70,0.013664,0,0.232787,0.007328,0.291897,0.253779
2,double,uniform,GPU,"N | N | N | N",128,71,0.011936,0,0.232758,0.007808,0.288888,0.252502
2,double,uniform,GPU,"N | N | N | N",128,72,0.013248,0,0.232777,0.006976,0.290147,0.253001
2,double,uniform,GPU,"N | N | N | N",128,73,0.011616,0,0.232657,0.007936,0.288487,0.252209
2,double,uniform,GPU,"N | N | N | N",128,74,0.01216,0,0.232427,0.008256,0.288747,0.252843
2,double,uniform,GPU,"N | N | N | N",192,0,0.015616,0,0.155998,0.01056,0.223128,0.182174
2,double,uniform,GPU,"N | N | N | N",192,1,0.009856,0,0.153328,0.008576,0.212988,0.17176
2,double,uniform,GPU,"N | N | N | N",192,2,0.01328,0,0.152519,0.006528,0.212897,0.172327
2,double,uniform,GPU,"N | N | N | N",192,3,0.010336,0,0.152618,0.008864,0.212238,0.171818
2,double,uniform,GPU,"N | N | N | N",192,4,0.01152,0,0.148978,0.010144,0.202418,0.170642
2,double,uniform,GPU,"N | N | N | N",192,5,0.012096,0,0.149198,0.010464,0.202878,0.171758
2,double,uniform,GPU,"N | N | N | N",192,6,0.010528,0,0.151708,0.007872,0.206347,0.170108
2,double,uniform,GPU,"N | N | N | N",192,7,0.010976,0,0.153068,0.007712,0.213168,0.171756
2,double,uniform,GPU,"N | N | N | N",192,8,0.008704,0,0.152579,0.00672,0.209417,0.168003
2,double,uniform,GPU,"N | N | N | N",192,9,0.0096,0,0.153048,0.00736,0.210898,0.170008
