dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,0,182.335,0.002689,0.07846,68.0667,250.596,250.483
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,1,0.009792,0.001601,0.043778,0.014816,0.133248,0.069987
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,2,0.008864,0.001669,0.04225,0.01296,0.129108,0.065743
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,3,0.014336,0.0016,0.042739,0.011808,0.142269,0.070483
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,4,0.015232,0.00156,0.042379,0.013216,0.135999,0.072387
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,5,0.013536,0.00169,0.042929,0.012192,0.133878,0.070347
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,6,0.008704,0.0016,0.043489,0.012576,0.129199,0.066369
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,7,0.014112,0.001579,0.042579,0.011776,0.132788,0.070046
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,8,0.013888,0.00156,0.04398,0.014432,0.136819,0.07386
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,9,0.015136,0.00148,0.04251,0.011584,0.133939,0.07071
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,10,0.008416,0.00158,0.042229,0.012544,0.127569,0.064769
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,11,0.014112,0.001619,0.04196,0.011584,0.134088,0.069275
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,12,0.014368,0.00151,0.04293,0.012448,0.132998,0.071256
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,13,0.012512,0.00154,0.04246,0.013792,0.133469,0.070304
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,14,0.013952,0.00157,0.043389,0.015168,0.137578,0.074079
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,15,0.013824,0.00157,0.04267,0.014176,0.135939,0.07224
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,16,0.01488,0.00171,0.043589,0.012224,0.134619,0.072403
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,17,0.014848,0.0015,0.041689,0.01472,0.136339,0.072757
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,18,0.013504,0.00151,0.04246,0.013536,0.133539,0.07101
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,19,0.014016,0.00148,0.043329,0.012736,0.134869,0.071561
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,20,0.008,0.001661,0.04248,0.012768,0.128778,0.064909
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,21,0.013248,0.00153,0.04664,0.012192,0.137169,0.07361
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,22,0.014496,0.001761,0.04213,0.014144,0.134718,0.072531
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,23,0.014112,0.00149,0.04339,0.012096,0.134648,0.071088
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,24,0.016416,0.00158,0.03643,0.015232,0.123398,0.069658
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,25,0.014176,0.00155,0.042369,0.011584,0.132988,0.069679
