dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,0.24,0,0.102868,0.014272,0.402676,0.35714
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.240928,0,0.102979,0.014784,0.403196,0.358691
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,20,0.233408,0,0.100519,0.016768,0.388635,0.350695
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,21,0.23744,0,0.104259,0.01376,0.495335,0.355459
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,22,0.232736,0,0.103388,0.013888,0.397016,0.350012
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,23,0.238208,0,0.10291,0.014848,0.399745,0.355966
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,24,0.239072,0,0.103119,0.014208,0.401225,0.356399
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,25,0.24128,0,0.181137,0.015296,0.482295,0.437713
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,26,0.23856,0,0.103238,0.013472,0.399346,0.35527
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,27,0.241088,0,0.10346,0.014272,0.411945,0.35882
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,28,0.239232,0,0.103028,0.014944,0.402486,0.357204
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,29,0.239008,0,0.10295,0.01344,0.405135,0.355398
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,30,0.239136,0,0.103088,0.014016,0.402806,0.35624
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,31,0.238304,0,0.105498,0.012832,0.400686,0.356634
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,32,0.237536,0,0.10301,0.013504,0.398065,0.35405
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,33,0.319872,0,0.103259,0.01328,0.480364,0.436411
