dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"D | N",64,0,0.067168,0,0.085749,200.152,200.406,200.305
1,double,uniform,CPU,"D | N",64,1,0.023456,0,0.03982,0.012608,0.118648,0.075884
1,double,uniform,CPU,"D | N",64,2,0.018144,0,0.0345,0.007776,0.098428,0.06042
1,double,uniform,CPU,"D | N",64,3,0.026496,0,0.03451,0.00832,0.106479,0.069326
1,double,uniform,CPU,"D | N",64,4,0.019936,0,0.034039,0.007232,0.206728,0.061207
1,double,uniform,CPU,"D | N",64,5,0.020064,0,0.0326,0.007648,0.094608,0.060312
1,double,uniform,CPU,"D | N",64,6,0.019008,0,0.03427,0.00752,0.099859,0.060798
1,double,uniform,CPU,"D | N",64,7,0.020768,0,0.03576,0.009472,0.106119,0.066
1,double,uniform,CPU,"D | N",64,8,0.018976,0,0.03431,0.006016,0.097189,0.059302
1,double,uniform,CPU,"D | N",64,9,0.020544,0,0.0355,0.006528,0.100278,0.062572
1,double,uniform,CPU,"D | N",64,10,0.020512,0,0.03513,0.007904,0.102859,0.063546
1,double,uniform,CPU,"D | N",64,11,0.019488,0,0.03445,0.010432,0.100579,0.06437
1,double,uniform,CPU,"D | N",64,12,0.01984,0,0.0348,0.007552,0.098168,0.062192
1,double,uniform,CPU,"D | N",64,13,0.019648,0,0.035298,0.006688,0.099269,0.061634
1,double,uniform,CPU,"D | N",64,14,0.019264,0,0.03512,0.0056,0.103179,0.059984
1,double,uniform,CPU,"D | N",64,15,0.02016,0,0.03434,0.008384,0.101189,0.062884
1,double,uniform,CPU,"D | N",64,16,0.018624,0,0.034189,0.006784,0.097529,0.059597
1,double,uniform,CPU,"D | N",64,17,0.018048,0,0.034549,0.008832,0.100519,0.061429
1,double,uniform,CPU,"D | N",64,18,0.01984,0,0.031449,0.008544,0.091519,0.059833
