dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,0.075392,0.002559,0.096468,200.98,201.257,201.154
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.013248,0.001521,0.047749,0.010272,0.128729,0.07279
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.021824,0.00151,0.044719,0.009792,0.132348,0.077845
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.019328,0.0015,0.04338,0.008928,0.128418,0.073136
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.019488,0.001439,0.05126,0.008256,0.136099,0.080443
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.018592,0.001731,0.042689,0.008544,0.125879,0.071556
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.019232,0.00147,0.0437,0.010944,0.130749,0.075346
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.021184,0.00144,0.0444,0.009376,0.132108,0.0764
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.011904,0.001431,0.04383,0.009792,0.121848,0.066957
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.019168,0.0015,0.039599,0.009152,0.117249,0.069419
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.018912,0.00154,0.04657,0.008704,0.128989,0.075726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.019776,0.00152,0.043398,0.009888,0.128459,0.074582
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.017792,0.0016,0.04311,0.008992,0.125689,0.071494
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.021216,0.001481,0.04348,0.008544,0.130238,0.074721
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.01824,0.001409,0.043719,0.008608,0.127248,0.071976
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.01904,0.00142,0.043171,0.009536,0.129098,0.073167
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.0208,0.00149,0.04294,0.009984,0.128669,0.075214
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,0.017984,0.001461,0.036338,0.010272,0.113269,0.066055
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,0.020448,0.00142,0.044599,0.00976,0.130568,0.076227
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,0.019712,0.00144,0.043189,0.01024,0.129598,0.074581
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,0.01216,0.00144,0.04352,0.010848,0.130049,0.067968
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,21,0.019584,0.001551,0.043549,0.00944,0.128158,0.074124
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,22,0.021536,0.00146,0.04391,0.009376,0.131329,0.076282
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,23,0.018816,0.00146,0.042989,0.009248,0.127909,0.072513
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,24,0.018848,0.00153,0.04359,0.009472,0.127679,0.07344
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,25,0.012544,0.00142,0.043119,0.008512,0.120139,0.065595
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,26,0.018688,0.00141,0.044569,0.009056,0.128799,0.073723
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,27,0.019008,0.0014,0.043389,0.010144,0.129148,0.073941
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,28,0.020928,0.001521,0.04475,0.008768,0.131178,0.075967
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,29,0.017504,0.00141,0.042889,0.007456,0.124289,0.069259
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,30,0.019168,0.00146,0.044189,0.009088,0.127049,0.073905
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,31,0.01904,0.00144,0.042959,0.009536,0.127968,0.072975
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,32,0.016768,0.00159,0.04265,0.010208,0.126538,0.071216
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,33,0.019136,0.00144,0.043579,0.010432,0.130178,0.074587
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,34,0.012096,0.00142,0.043919,0.007584,0.120799,0.065019
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,35,0.011424,0.00147,0.04392,0.009952,0.120719,0.066766
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,36,0.017728,0.00156,0.043379,0.011488,0.126418,0.074155
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,37,0.019776,0.00151,0.047009,0.008992,0.132938,0.077287
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,38,0.019424,0.001659,0.04381,0.00928,0.129349,0.074173
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,39,0.018336,0.001449,0.04302,0.00864,0.126989,0.071445
