dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",64,56,0.011616,0,0.03155,0.009248,0.089899,0.052414
1,double,uniform,GPU,"D | N",64,57,0.01072,0,0.031241,0.00704,0.081769,0.049001
1,double,uniform,GPU,"D | N",64,58,0.010368,0,0.03128,0.007552,0.081799,0.0492
1,double,uniform,GPU,"D | N",64,59,0.011712,0,0.03154,0.007424,0.088839,0.050676
1,double,uniform,GPU,"D | N",64,60,0.0112,0,0.03129,0.006592,0.082869,0.049082
1,double,uniform,GPU,"D | N",64,61,0.011328,0,0.03169,0.005504,0.080809,0.048522
1,double,uniform,GPU,"D | N",64,62,0.010208,0,0.03107,0.008256,0.08315,0.049534
1,double,uniform,GPU,"D | N",64,63,0.010336,0,0.03121,0.007616,0.082489,0.049162
1,double,uniform,GPU,"D | N",64,64,0.010752,0,0.03138,0.007744,0.084909,0.049876
1,double,uniform,GPU,"D | N",64,65,0.009824,0,0.03133,0.005824,0.080129,0.046978
1,double,uniform,GPU,"D | N",64,66,0.011488,0,0.032219,0.00736,0.084819,0.051067
1,double,uniform,GPU,"D | N",64,67,0.012768,0,0.03133,0.005984,0.086569,0.050082
1,double,uniform,GPU,"D | N",64,68,0.01024,0,0.03144,0.005376,0.080079,0.047056
1,double,uniform,GPU,"D | N",64,69,0.01024,0,0.03154,0.006656,0.082809,0.048436
1,double,uniform,GPU,"D | N",64,70,0.010976,0,0.02791,0.010112,0.076579,0.048998
1,double,uniform,GPU,"D | N",64,71,0.010944,0,0.03165,0.007008,0.083589,0.049602
1,double,uniform,GPU,"D | N",64,72,0.01056,0,0.03118,0.00656,0.081719,0.0483
1,double,uniform,GPU,"D | N",64,73,0.010336,0,0.0324,0.006752,0.082379,0.049488
1,double,uniform,GPU,"D | N",64,74,0.011424,0,0.03138,0.00688,0.08178,0.049684
1,double,uniform,GPU,"D | N",128,0,0.02384,0,0.0436,0.011232,0.119869,0.078672
1,double,uniform,GPU,"D | N",128,1,0.010912,0,0.033639,0.009248,0.095219,0.053799
1,double,uniform,GPU,"D | N",128,2,0.011392,0,0.082619,0.00656,0.136339,0.100571
1,double,uniform,GPU,"D | N",128,3,0.011328,0,0.03348,0.006656,0.084149,0.051464
1,double,uniform,GPU,"D | N",128,4,0.010592,0,0.03363,0.009632,0.088548,0.053854
1,double,uniform,GPU,"D | N",128,5,0.010048,0,0.03351,0.0064,0.085429,0.049958
1,double,uniform,GPU,"D | N",128,6,0.011392,0,0.03329,0.00688,0.084199,0.051562
1,double,uniform,GPU,"D | N",128,7,0.011872,0,0.03381,0.007104,0.086459,0.052786
1,double,uniform,GPU,"D | N",128,8,0.011168,0,0.03394,0.007936,0.08678,0.053044
1,double,uniform,GPU,"D | N",128,9,0.010528,0,0.03363,0.007424,0.085809,0.051582
1,double,uniform,GPU,"D | N",128,10,0.011136,0,0.03335,0.00768,0.086449,0.052166
1,double,uniform,GPU,"D | N",128,11,0.0112,0,0.033969,0.007264,0.085839,0.052433
1,double,uniform,GPU,"D | N",128,12,0.011904,0,0.03442,0.008832,0.08924,0.055156
1,double,uniform,GPU,"D | N",128,13,0.009888,0,0.03388,0.007136,0.086179,0.050904
1,double,uniform,GPU,"D | N",128,14,0.012096,0,0.033689,0.007776,0.087429,0.053561
1,double,uniform,GPU,"D | N",128,15,0.010848,0,0.03356,0.006432,0.08378,0.05084
1,double,uniform,GPU,"D | N",128,16,0.013696,0,0.03356,0.006976,0.089189,0.054232
1,double,uniform,GPU,"D | N",128,17,0.010752,0,0.03454,0.007552,0.08671,0.052844
1,double,uniform,GPU,"D | N",128,18,0.011648,0,0.03469,0.0072,0.08959,0.053538
1,double,uniform,GPU,"D | N",128,19,0.012128,0,0.03569,0.007104,0.088239,0.054922
1,double,uniform,GPU,"D | N",128,20,0.011904,0,0.109959,0.007008,0.162539,0.128871
1,double,uniform,GPU,"D | N",128,21,0.009728,0,0.03357,0.007776,0.084899,0.051074
1,double,uniform,GPU,"D | N",128,22,0.012288,0,0.033609,0.007072,0.087759,0.052969
1,double,uniform,GPU,"D | N",128,23,0.010848,0,0.03329,0.006368,0.085199,0.050506
1,double,uniform,GPU,"D | N",128,24,0.012448,0,0.03337,0.006912,0.087909,0.05273
1,double,uniform,GPU,"D | N",128,25,0.014016,0,0.03064,0.008352,0.082849,0.053008
1,double,uniform,GPU,"D | N",128,26,0.011936,0,0.03387,0.009376,0.089409,0.055182
1,double,uniform,GPU,"D | N",128,27,0.01152,0,0.03447,0.009024,0.088729,0.055014
1,double,uniform,GPU,"D | N",128,28,0.012064,0,0.03352,0.00912,0.090489,0.054704
1,double,uniform,GPU,"D | N",128,29,0.011008,0,0.03376,0.007968,0.08642,0.052736
1,double,uniform,GPU,"D | N",128,30,0.01216,0,0.03287,0.00832,0.083369,0.05335
1,double,uniform,GPU,"D | N",128,31,0.009984,0,0.033559,0.007296,0.083369,0.050839
1,double,uniform,GPU,"D | N",128,32,0.011168,0,0.03334,0.007872,0.086439,0.05238
1,double,uniform,GPU,"D | N",128,33,0.010048,0,0.033649,0.007584,0.085329,0.051281
1,double,uniform,GPU,"D | N",128,34,0.011552,0,0.033239,0.007552,0.086069,0.052343
1,double,uniform,GPU,"D | N",128,35,0.012032,0,0.03354,0.00656,0.086829,0.052132
1,double,uniform,GPU,"D | N",128,36,0.011648,0,0.03357,0.007648,0.08717,0.052866
1,double,uniform,GPU,"D | N",128,37,0.011136,0,0.033859,0.00752,0.085599,0.052515
1,double,uniform,GPU,"D | N",128,38,0.013504,0,0.03435,0.009728,0.092619,0.057582
1,double,uniform,GPU,"D | N",128,39,0.01104,0,0.033639,0.006688,0.085269,0.051367
1,double,uniform,GPU,"D | N",128,40,0.010688,0,0.03356,0.007744,0.086599,0.051992
1,double,uniform,GPU,"D | N",128,41,0.00976,0,0.034,0.00576,0.082529,0.04952
1,double,uniform,GPU,"D | N",128,42,0.014208,0,0.03354,0.008576,0.091269,0.056324
1,double,uniform,GPU,"D | N",128,43,0.010592,0,0.03346,0.006976,0.084719,0.051028
1,double,uniform,GPU,"D | N",128,44,0.01008,0,0.034669,0.008416,0.087269,0.053165
1,double,uniform,GPU,"D | N",128,45,0.011392,0,0.033599,0.007296,0.086499,0.052287
1,double,uniform,GPU,"D | N",128,46,0.012032,0,0.03347,0.0096,0.088539,0.055102
1,double,uniform,GPU,"D | N",128,47,0.010848,0,0.033679,0.005984,0.085389,0.050511
1,double,uniform,GPU,"D | N",128,48,0.011328,0,0.03955,0.007424,0.096079,0.058302
1,double,uniform,GPU,"D | N",128,49,0.013984,0,0.033659,0.007648,0.091229,0.055291
1,double,uniform,GPU,"D | N",128,50,0.010688,0,0.03348,0.006688,0.084259,0.050856
1,double,uniform,GPU,"D | N",128,51,0.013344,0,0.033439,0.007296,0.089779,0.054079
1,double,uniform,GPU,"D | N",128,52,0.010944,0,0.033529,0.007264,0.085179,0.051737
1,double,uniform,GPU,"D | N",128,53,0.011776,0,0.033779,0.00688,0.087089,0.052435
1,double,uniform,GPU,"D | N",128,54,0.010176,0,0.0337,0.007264,0.192058,0.05114
1,double,uniform,GPU,"D | N",128,55,0.011808,0,0.033439,0.00944,0.089759,0.054687
1,double,uniform,GPU,"D | N",128,56,0.009408,0,0.03336,0.008448,0.08451,0.051216
1,double,uniform,GPU,"D | N",128,57,0.010752,0,0.03355,0.007616,0.085559,0.051918
1,double,uniform,GPU,"D | N",128,58,0.010272,0,0.0335,0.006848,0.083359,0.05062
1,double,uniform,GPU,"D | N",128,59,0.011424,0,0.033319,0.006944,0.084809,0.051687
1,double,uniform,GPU,"D | N",128,60,0.011328,0,0.03343,0.006784,0.08449,0.051542
1,double,uniform,GPU,"D | N",128,61,0.010048,0,0.03327,0.006784,0.084039,0.050102
1,double,uniform,GPU,"D | N",128,62,0.0112,0,0.03339,0.005472,0.083249,0.050062
1,double,uniform,GPU,"D | N",128,63,0.011104,0,0.03332,0.00704,0.085369,0.051464
1,double,uniform,GPU,"D | N",128,64,0.01104,0,0.03381,0.007264,0.086479,0.052114
1,double,uniform,GPU,"D | N",128,65,0.011424,0,0.03395,0.008608,0.088269,0.053982
1,double,uniform,GPU,"D | N",128,66,0.011904,0,0.03364,0.008544,0.088819,0.054088
1,double,uniform,GPU,"D | N",128,67,0.010176,0,0.033409,0.007296,0.084819,0.050881
1,double,uniform,GPU,"D | N",128,68,0.010048,0,0.033829,0.006368,0.083599,0.050245
1,double,uniform,GPU,"D | N",128,69,0.011488,0,0.033749,0.007264,0.086739,0.052501
1,double,uniform,GPU,"D | N",128,70,0.011392,0,0.033269,0.007136,0.084739,0.051797
1,double,uniform,GPU,"D | N",128,71,0.011328,0,0.03435,0.007424,0.087159,0.053102
1,double,uniform,GPU,"D | N",128,72,0.010176,0,0.03378,0.0072,0.084649,0.051156
1,double,uniform,GPU,"D | N",128,73,0.0112,0,0.0333,0.007008,0.090949,0.051508
1,double,uniform,GPU,"D | N",128,74,0.009504,0,0.03353,0.007104,0.084899,0.050138
1,double,uniform,GPU,"D | N",192,0,0.024128,0,0.04757,0.01088,0.124278,0.082578
1,double,uniform,GPU,"D | N",192,1,0.012992,0,0.048859,0.006976,0.105319,0.068827
