dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"P | P | P | P",64,0,0.078976,0,0.075479,210.321,210.586,210.476
2,double,uniform,CPU,"P | P | P | P",64,1,0.03152,0,0.048029,0.023744,0.151278,0.103293
2,double,uniform,CPU,"P | P | P | P",64,2,0.026976,0,0.04535,0.018912,0.140279,0.091238
2,double,uniform,CPU,"P | P | P | P",64,3,0.027136,0,0.04524,0.01792,0.139039,0.090296
2,double,uniform,CPU,"P | P | P | P",64,4,0.027232,0,0.045688,0.017696,0.137559,0.090616
2,double,uniform,CPU,"P | P | P | P",64,5,0.026272,0,0.04556,0.01792,0.136608,0.089752
2,double,uniform,CPU,"P | P | P | P",64,6,0.032704,0,0.046259,0.019392,0.146469,0.098355
2,double,uniform,CPU,"P | P | P | P",64,7,0.02784,0,0.045469,0.021088,0.141799,0.094397
2,double,uniform,CPU,"P | P | P | P",64,8,0.026272,0,0.045949,0.019616,0.141169,0.091837
2,double,uniform,CPU,"P | P | P | P",64,9,0.026656,0,0.043699,0.020352,0.130378,0.090707
2,double,uniform,CPU,"P | P | P | P",64,10,0.02672,0,0.045789,0.0176,0.134859,0.090109
2,double,uniform,CPU,"P | P | P | P",64,11,0.02624,0,0.046089,0.018112,0.138119,0.090441
2,double,uniform,CPU,"P | P | P | P",64,12,0.026592,0,0.04572,0.017824,0.137159,0.090136
2,double,uniform,CPU,"P | P | P | P",64,13,0.027776,0,0.045179,0.020032,0.140809,0.092987
2,double,uniform,CPU,"P | P | P | P",64,14,0.027264,0,0.045629,0.018528,0.137379,0.091421
2,double,uniform,CPU,"P | P | P | P",64,15,0.027232,0,0.04568,0.019328,0.137718,0.09224
2,double,uniform,CPU,"P | P | P | P",64,16,0.026752,0,0.046009,0.01872,0.139808,0.091481
2,double,uniform,CPU,"P | P | P | P",64,17,0.027424,0,0.04508,0.01952,0.137378,0.092024
2,double,uniform,CPU,"P | P | P | P",64,18,0.02704,0,0.045409,0.018944,0.139869,0.091393
2,double,uniform,CPU,"P | P | P | P",64,19,0.025792,0,0.04508,0.019328,0.137458,0.0902
2,double,uniform,CPU,"P | P | P | P",64,20,0.027232,0,0.045609,0.020352,0.149279,0.093193
2,double,uniform,CPU,"P | P | P | P",64,21,0.027136,0,0.04609,0.020576,0.141688,0.093802
2,double,uniform,CPU,"P | P | P | P",64,22,0.029152,0,0.04541,0.018816,0.141099,0.093378
2,double,uniform,CPU,"P | P | P | P",64,23,0.02736,0,0.04559,0.019296,0.137878,0.092246
2,double,uniform,CPU,"P | P | P | P",64,24,0.026432,0,0.045459,0.018848,0.138159,0.090739
2,double,uniform,CPU,"P | P | P | P",64,25,0.027552,0,0.045369,0.020064,0.142029,0.092985
2,double,uniform,CPU,"P | P | P | P",64,26,0.026976,0,0.04542,0.019456,0.139939,0.091852
2,double,uniform,CPU,"P | P | P | P",64,27,0.025472,0,0.04591,0.018272,0.142648,0.089654
2,double,uniform,CPU,"P | P | P | P",64,28,0.027392,0,0.045909,0.0176,0.137628,0.090901
2,double,uniform,CPU,"P | P | P | P",64,29,0.026944,0,0.041539,0.020096,0.127158,0.088579
2,double,uniform,CPU,"P | P | P | P",64,30,0.027232,0,0.0453,0.017824,0.139818,0.090356
2,double,uniform,CPU,"P | P | P | P",64,31,0.0264,0,0.045359,0.019328,0.138039,0.091087
2,double,uniform,CPU,"P | P | P | P",64,32,0.026464,0,0.04628,0.019072,0.140208,0.091816
2,double,uniform,CPU,"P | P | P | P",64,33,0.027744,0,0.044289,0.019104,0.137498,0.091137
2,double,uniform,CPU,"P | P | P | P",64,34,0.032832,0,0.044679,0.019936,0.144179,0.097447
2,double,uniform,CPU,"P | P | P | P",64,35,0.026592,0,0.04578,0.019392,0.139839,0.091764
2,double,uniform,CPU,"P | P | P | P",64,36,0.027936,0,0.04627,0.019616,0.138769,0.093822
2,double,uniform,CPU,"P | P | P | P",64,37,0.026912,0,0.045619,0.01808,0.137619,0.090611
2,double,uniform,CPU,"P | P | P | P",64,38,0.027616,0,0.045539,0.018976,0.137429,0.092131
2,double,uniform,CPU,"P | P | P | P",64,39,0.02784,0,0.04576,0.018624,0.138908,0.092224
2,double,uniform,CPU,"P | P | P | P",64,40,0.027744,0,0.045509,0.019264,0.139369,0.092517
2,double,uniform,CPU,"P | P | P | P",64,41,0.025408,0,0.04185,0.02064,0.126368,0.087898
