dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,29,0.019584,0.00163,0.1165,0.022848,0.223229,0.160562
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,30,0.011968,0.00153,0.118809,0.023232,0.219449,0.155539
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,31,0.014304,0.00168,0.121108,0.024448,0.224818,0.16154
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,32,0.014176,0.00152,0.11799,0.024384,0.221299,0.15807
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,33,0.019872,0.001549,0.117867,0.024672,0.226458,0.16396
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,34,0.014368,0.00155,0.118249,0.02496,0.222148,0.159127
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,35,0.021248,0.00164,0.11732,0.030784,0.232499,0.170992
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,36,0.02112,0.001489,0.117548,0.024768,0.228238,0.164925
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,37,0.012896,0.00152,0.118729,0.024832,0.427748,0.157977
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,38,0.014464,0.00149,0.1172,0.023264,0.219699,0.156418
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,39,0.022432,0.00148,0.112168,0.0264,0.221368,0.16248
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,40,0.020032,0.00151,0.117069,0.023968,0.225638,0.162579
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,41,0.02016,0.00154,0.1171,0.025344,0.226019,0.164144
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,42,0.020544,0.00148,0.117448,0.023264,0.225548,0.162736
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,43,0.021568,0.00157,0.117019,0.02496,0.227909,0.165117
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,44,0.020896,0.00152,0.11729,0.022496,0.225528,0.162202
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,45,0.014976,0.00154,0.11718,0.024064,0.221929,0.15776
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,46,0.012576,0.001651,0.117469,0.024928,0.219598,0.156624
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,47,0.020032,0.00162,0.116789,0.024,0.224299,0.162441
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,48,0.020736,0.00154,0.122739,0.021856,0.229749,0.166871
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,49,0.021632,0.001519,0.116559,0.02272,0.225539,0.16243
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,50,0.01952,0.001641,0.1171,0.024608,0.226478,0.162869
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,51,0.012832,0.001479,0.11729,0.029632,0.224288,0.161233
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,52,0.021376,0.001508,0.116607,0.022048,0.224629,0.161539
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,53,0.018112,0.001509,0.116749,0.022304,0.221778,0.158674
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,54,0.02048,0.001678,0.116869,0.024128,0.226608,0.163155
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,55,0.021184,0.001509,0.117798,0.024448,0.228298,0.164939
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,56,0.013344,0.00162,0.117139,0.024256,0.219739,0.156359
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,57,0.020928,0.001511,0.112609,0.026336,0.218339,0.161384
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,58,0.020928,0.001581,0.112979,0.025632,0.219079,0.16112
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,59,0.021152,0.001611,0.117319,0.024352,0.226668,0.164434
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,60,0.013792,0.00168,0.116839,0.024064,0.223358,0.156375
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,61,0.021312,0.001531,0.116029,0.022304,0.222748,0.161176
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,62,0.0144,0.00152,0.118099,0.025728,0.221829,0.159747
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,63,0.021568,0.001559,0.11703,0.022976,0.225908,0.163133
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,64,0.020512,0.001521,0.116958,0.025248,0.226928,0.164239
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,65,0.014496,0.00154,0.117229,0.023552,0.218798,0.156817
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,66,0.022048,0.001519,0.116719,0.021888,0.226058,0.162174
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,67,0.021728,0.001571,0.1174,0.023008,0.226488,0.163707
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,68,0.01872,0.00153,0.11732,0.025696,0.227349,0.163266
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,69,0.019904,0.00152,0.116549,0.02448,0.224948,0.162453
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,70,0.022048,0.00157,0.1178,0.027424,0.342937,0.168842
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,71,0.012768,0.00156,0.11761,0.023008,0.216528,0.154946
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,72,0.020992,0.00161,0.116829,0.023808,0.225859,0.163239
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,73,0.02,0.001578,0.116828,0.023776,0.224798,0.162182
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,74,0.021088,0.00154,0.11659,0.024672,0.227208,0.16389
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,0,0.04016,0.00201,0.534647,0.102176,0.743265,0.678993
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,1,0.02976,0.001581,0.527987,0.097856,0.720445,0.657184
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,2,0.030688,0.001531,0.526107,0.097408,0.717305,0.655734
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,3,0.029856,0.00156,0.527437,0.097184,0.719855,0.656037
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,4,0.034592,0.00167,0.527445,0.09552,0.721635,0.659227
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,5,0.030208,0.00172,0.525207,0.094784,0.716356,0.651919
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,6,0.04544,0.001981,0.534736,0.101824,0.748175,0.683981
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,7,0.027552,0.00171,0.527116,0.0968,0.717295,0.653178
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,8,0.03024,0.0016,0.526687,0.097536,0.721835,0.656063
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,9,0.03008,0.001559,0.526267,0.097376,0.719115,0.655282
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,10,0.029856,0.00169,0.526576,0.096896,0.718135,0.655018
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,11,0.030176,0.00159,0.526496,0.096096,0.717705,0.654358
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,12,0.029856,0.00158,0.521176,0.098464,0.709035,0.651076
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,13,0.026752,0.00162,0.526235,0.096224,0.715155,0.650831
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,14,0.030592,0.00162,0.528427,0.099584,0.725916,0.660223
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,15,0.030464,0.00168,0.526148,0.095904,0.718035,0.654196
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,16,0.030272,0.0017,0.527066,0.097344,0.720235,0.656382
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,17,0.028672,0.00152,0.526077,0.096448,0.716675,0.652717
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,18,0.029056,0.001659,0.526247,0.095904,0.716625,0.652866
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,19,0.029248,0.00182,0.525706,0.09616,0.716385,0.652934
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,20,0.029536,0.0015,0.519537,0.09872,0.705076,0.649293
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,21,0.028832,0.00158,0.527027,0.096576,0.717355,0.654015
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,22,0.030112,0.00159,0.525976,0.096544,0.716925,0.654222
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,23,0.028256,0.001531,0.527375,0.096832,0.751445,0.653994
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,24,0.02976,0.00153,0.526027,0.096896,0.717645,0.654213
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,25,0.030496,0.001721,0.524866,0.095744,0.716015,0.652827
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,26,0.035744,0.00171,0.525316,0.093664,0.721485,0.656434
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,27,0.02912,0.00167,0.525436,0.096768,0.716565,0.652994
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,28,0.030432,0.001829,0.525686,0.096096,0.717535,0.654043
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,29,0.030976,0.001581,0.526655,0.096032,0.718595,0.655244
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,30,0.044224,0.00204,0.535206,0.103168,0.750025,0.684638
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,31,0.0296,0.001569,0.528746,0.099072,0.722745,0.658987
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,32,0.029344,0.00158,0.526946,0.095392,0.716545,0.653262
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,33,0.026752,0.00158,0.525958,0.10368,0.721335,0.65797
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,34,0.028224,0.001529,0.525486,0.096832,0.715305,0.652071
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,35,0.030944,0.001479,0.525647,0.095872,0.717385,0.653942
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,36,0.029792,0.00156,0.525806,0.094816,0.714816,0.651974
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,37,0.02848,0.00163,0.520768,0.098656,0.706836,0.649534
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,38,0.039232,0.00199,0.533337,0.10496,0.744775,0.679519
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,39,0.044832,0.002142,0.534796,0.102624,0.748785,0.684394
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,40,0.030208,0.00174,0.528437,0.09712,0.722475,0.657505
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,41,0.030496,0.001559,0.526348,0.097248,0.718615,0.655651
