dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | D",64,58,0.01152,0,0.017849,0.00528,0.067079,0.034649
1,float,uniform,GPU,"N | D",64,59,0.011168,0,0.01789,0.004416,0.068709,0.033474
1,float,uniform,GPU,"N | D",64,60,0.011072,0,0.01747,0.005184,0.067009,0.033726
1,float,uniform,GPU,"N | D",64,61,0.011008,0,0.01792,0.007072,0.068539,0.036
1,float,uniform,GPU,"N | D",64,62,0.01248,0,0.017499,0.005888,0.068599,0.035867
1,float,uniform,GPU,"N | D",64,63,0.013216,0,0.01784,0.00528,0.070039,0.036336
1,float,uniform,GPU,"N | D",64,64,0.010464,0,0.01799,0.005728,0.06718,0.034182
1,float,uniform,GPU,"N | D",64,65,0.012672,0,0.01506,0.008384,0.064789,0.036116
1,float,uniform,GPU,"N | D",64,66,0.010272,0,0.018079,0.005344,0.065489,0.033695
1,float,uniform,GPU,"N | D",64,67,0.012192,0,0.01566,0.006208,0.068399,0.03406
1,float,uniform,GPU,"N | D",64,68,0.012448,0,0.01786,0.005728,0.069309,0.036036
1,float,uniform,GPU,"N | D",64,69,0.01248,0,0.01843,0.00544,0.069879,0.03635
1,float,uniform,GPU,"N | D",64,70,0.011328,0,0.017539,0.005664,0.068989,0.034531
1,float,uniform,GPU,"N | D",64,71,0.011776,0,0.01822,0.005696,0.068939,0.035692
1,float,uniform,GPU,"N | D",64,72,0.010592,0,0.01792,0.004672,0.06743,0.033184
1,float,uniform,GPU,"N | D",64,73,0.01168,0,0.017919,0.005088,0.068019,0.034687
1,float,uniform,GPU,"N | D",64,74,0.011648,0,0.0183,0.007488,0.07096,0.037436
1,float,uniform,GPU,"N | D",128,0,0.023168,0,0.022119,0.012,0.099119,0.057287
1,float,uniform,GPU,"N | D",128,1,0.011328,0,0.01835,0.0048,0.068629,0.034478
1,float,uniform,GPU,"N | D",128,2,0.0096,0,0.014309,0.006624,0.060479,0.030533
1,float,uniform,GPU,"N | D",128,3,0.012032,0,0.018019,0.00368,0.068239,0.033731
1,float,uniform,GPU,"N | D",128,4,0.00992,0,0.01826,0.004512,0.067629,0.032692
1,float,uniform,GPU,"N | D",128,5,0.01136,0,0.018059,0.004928,0.068169,0.034347
1,float,uniform,GPU,"N | D",128,6,0.010624,0,0.01844,0.004736,0.068179,0.0338
1,float,uniform,GPU,"N | D",128,7,0.012256,0,0.01795,0.005056,0.070589,0.035262
1,float,uniform,GPU,"N | D",128,8,0.011744,0,0.01772,0.013024,0.076079,0.042488
1,float,uniform,GPU,"N | D",128,9,0.018048,0,0.01864,0.005344,0.075439,0.042032
1,float,uniform,GPU,"N | D",128,10,0.01168,0,0.018071,0.005408,0.068169,0.035159
1,float,uniform,GPU,"N | D",128,11,0.009504,0,0.01902,0.004512,0.067149,0.033036
1,float,uniform,GPU,"N | D",128,12,0.011488,0,0.01811,0.00448,0.068899,0.034078
1,float,uniform,GPU,"N | D",128,13,0.010528,0,0.01821,0.00464,0.07071,0.033378
1,float,uniform,GPU,"N | D",128,14,0.01232,0,0.01802,0.004512,0.069819,0.034852
1,float,uniform,GPU,"N | D",128,15,0.010496,0,0.01857,0.006432,0.06926,0.035498
1,float,uniform,GPU,"N | D",128,16,0.011552,0,0.01764,0.003584,0.068699,0.032776
1,float,uniform,GPU,"N | D",128,17,0.009696,0,0.01808,0.004384,0.066749,0.03216
1,float,uniform,GPU,"N | D",128,18,0.010432,0,0.01818,0.004416,0.06673,0.033028
1,float,uniform,GPU,"N | D",128,19,0.0112,0,0.018,0.005888,0.069519,0.035088
1,float,uniform,GPU,"N | D",128,20,0.010208,0,0.01808,0.00448,0.067659,0.032768
1,float,uniform,GPU,"N | D",128,21,0.012128,0,0.0179,0.004512,0.069129,0.03454
1,float,uniform,GPU,"N | D",128,22,0.012352,0,0.01778,0.007072,0.073239,0.037204
1,float,uniform,GPU,"N | D",128,23,0.011552,0,0.018499,0.006976,0.071849,0.037027
1,float,uniform,GPU,"N | D",128,24,0.010464,0,0.01819,0.00448,0.06685,0.033134
1,float,uniform,GPU,"N | D",128,25,0.00976,0,0.017869,0.004832,0.066489,0.032461
1,float,uniform,GPU,"N | D",128,26,0.01152,0,0.01871,0.004672,0.06906,0.034902
1,float,uniform,GPU,"N | D",128,27,0.012032,0,0.01836,0.004832,0.069669,0.035224
1,float,uniform,GPU,"N | D",128,28,0.010272,0,0.018109,0.005184,0.067159,0.033565
1,float,uniform,GPU,"N | D",128,29,0.010272,0,0.018019,0.004416,0.066639,0.032707
1,float,uniform,GPU,"N | D",128,30,0.011584,0,0.01839,0.004768,0.06956,0.034742
1,float,uniform,GPU,"N | D",128,31,0.011168,0,0.017769,0.004832,0.067339,0.033769
1,float,uniform,GPU,"N | D",128,32,0.011424,0,0.01803,0.004896,0.068479,0.03435
1,float,uniform,GPU,"N | D",128,33,0.012192,0,0.01812,0.007712,0.074079,0.038024
1,float,uniform,GPU,"N | D",128,34,0.01088,0,0.01427,0.008384,0.062899,0.033534
1,float,uniform,GPU,"N | D",128,35,0.010816,0,0.018119,0.004416,0.067889,0.033351
1,float,uniform,GPU,"N | D",128,36,0.011712,0,0.01471,0.006752,0.061369,0.033174
1,float,uniform,GPU,"N | D",128,37,0.010752,0,0.01785,0.005856,0.067699,0.034458
1,float,uniform,GPU,"N | D",128,38,0.010272,0,0.01911,0.004768,0.068079,0.03415
1,float,uniform,GPU,"N | D",128,39,0.010432,0,0.01813,0.004352,0.066219,0.032914
1,float,uniform,GPU,"N | D",128,40,0.011552,0,0.01804,0.004704,0.06899,0.034296
1,float,uniform,GPU,"N | D",128,41,0.010432,0,0.018089,0.004384,0.066389,0.032905
1,float,uniform,GPU,"N | D",128,42,0.011968,0,0.01802,0.00576,0.068679,0.035748
1,float,uniform,GPU,"N | D",128,43,0.011712,0,0.01771,0.004896,0.06856,0.034318
1,float,uniform,GPU,"N | D",128,44,0.01024,0,0.01812,0.004608,0.066739,0.032968
1,float,uniform,GPU,"N | D",128,45,0.011488,0,0.01787,0.006048,0.07062,0.035406
1,float,uniform,GPU,"N | D",128,46,0.009856,0,0.01791,0.005728,0.06838,0.033494
1,float,uniform,GPU,"N | D",128,47,0.011488,0,0.01841,0.004704,0.06844,0.034602
1,float,uniform,GPU,"N | D",128,48,0.011008,0,0.0178,0.00624,0.072419,0.035048
