dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ds",64,0,0.079744,0,0.07048,199.744,199.992,199.895
1,float,uniform,CPU,"Ds | Ds",64,1,0.022016,0,0.026459,0.011584,0.101659,0.060059
1,float,uniform,CPU,"Ds | Ds",64,2,0.018432,0,0.02024,0.00672,0.079359,0.045392
1,float,uniform,CPU,"Ds | Ds",64,3,0.020544,0,0.02091,0.008832,0.088139,0.050286
1,float,uniform,CPU,"Ds | Ds",64,4,0.01984,0,0.02135,0.007904,0.087719,0.049094
1,float,uniform,CPU,"Ds | Ds",64,5,0.02048,0,0.02158,0.008896,0.089679,0.050956
1,float,uniform,CPU,"Ds | Ds",64,6,0.020032,0,0.02211,0.008256,0.087309,0.050398
1,float,uniform,CPU,"Ds | Ds",64,7,0.01872,0,0.02057,0.008768,0.085499,0.048058
1,float,uniform,CPU,"Ds | Ds",64,8,0.019488,0,0.02041,0.008768,0.084779,0.048666
1,float,uniform,CPU,"Ds | Ds",64,9,0.020416,0,0.02063,0.00864,0.08597,0.049686
1,float,uniform,CPU,"Ds | Ds",64,10,0.019552,0,0.02074,0.006368,0.082889,0.04666
1,float,uniform,CPU,"Ds | Ds",64,11,0.019552,0,0.02099,0.005664,0.083529,0.046206
1,float,uniform,CPU,"Ds | Ds",64,12,0.020768,0,0.02016,0.008672,0.086299,0.0496
1,float,uniform,CPU,"Ds | Ds",64,13,0.025568,0,0.02035,0.006944,0.090139,0.052862
1,float,uniform,CPU,"Ds | Ds",64,14,0.020192,0,0.0202,0.005856,0.169088,0.046248
1,float,uniform,CPU,"Ds | Ds",64,15,0.02,0,0.02169,0.006592,0.085489,0.048282
1,float,uniform,CPU,"Ds | Ds",64,16,0.019328,0,0.02132,0.006528,0.086069,0.047176
1,float,uniform,CPU,"Ds | Ds",64,17,0.01968,0,0.020899,0.005376,0.085079,0.045955
1,float,uniform,CPU,"Ds | Ds",64,18,0.020512,0,0.021391,0.006336,0.089149,0.048239
1,float,uniform,CPU,"Ds | Ds",64,19,0.022272,0,0.021109,0.006432,0.087219,0.049813
1,float,uniform,CPU,"Ds | Ds",64,20,0.021728,0,0.02332,0.006848,0.090649,0.051896
1,float,uniform,CPU,"Ds | Ds",64,21,0.019744,0,0.02094,0.005888,0.084189,0.046572
1,float,uniform,CPU,"Ds | Ds",64,22,0.020064,0,0.020749,0.007904,0.084939,0.048717
1,float,uniform,CPU,"Ds | Ds",64,23,0.019104,0,0.021261,0.006016,0.083389,0.046381
1,float,uniform,CPU,"Ds | Ds",64,24,0.019488,0,0.020729,0.007008,0.085069,0.047225
1,float,uniform,CPU,"Ds | Ds",64,25,0.02048,0,0.022689,0.00704,0.085389,0.050209
1,float,uniform,CPU,"Ds | Ds",64,26,0.020192,0,0.02105,0.006144,0.092899,0.047386
1,float,uniform,CPU,"Ds | Ds",64,27,0.019008,0,0.022139,0.008544,0.186728,0.049691
1,float,uniform,CPU,"Ds | Ds",64,28,0.01904,0,0.021059,0.0064,0.082989,0.046499
1,float,uniform,CPU,"Ds | Ds",64,29,0.020512,0,0.021349,0.00736,0.087249,0.049221
1,float,uniform,CPU,"Ds | Ds",64,30,0.018592,0,0.02109,0.006976,0.083489,0.046658
1,float,uniform,CPU,"Ds | Ds",64,31,0.019648,0,0.02153,0.006496,0.084499,0.047674
1,float,uniform,CPU,"Ds | Ds",64,32,0.020448,0,0.02073,0.005984,0.085339,0.047162
1,float,uniform,CPU,"Ds | Ds",64,33,0.02016,0,0.018681,0.007776,0.078969,0.046617
1,float,uniform,CPU,"Ds | Ds",64,34,0.02048,0,0.019859,0.006528,0.083519,0.046867
1,float,uniform,CPU,"Ds | Ds",64,35,0.017888,0,0.02051,0.006208,0.081539,0.044606
1,float,uniform,CPU,"Ds | Ds",64,36,0.04912,0,0.039459,0.01792,0.179648,0.106499
1,float,uniform,CPU,"Ds | Ds",64,37,0.020224,0,0.02145,0.007712,0.092769,0.049386
1,float,uniform,CPU,"Ds | Ds",64,38,0.068384,0,0.02201,0.00624,0.134368,0.096634
1,float,uniform,CPU,"Ds | Ds",64,39,0.018592,0,0.02114,0.008064,0.092279,0.047796
1,float,uniform,CPU,"Ds | Ds",64,40,0.018848,0,0.020219,0.006752,0.081739,0.045819
1,float,uniform,CPU,"Ds | Ds",64,41,0.019776,0,0.0205,0.006848,0.083879,0.047124
1,float,uniform,CPU,"Ds | Ds",64,42,0.018112,0,0.01669,0.007744,0.07272,0.042546
1,float,uniform,CPU,"Ds | Ds",64,43,0.019232,0,0.02649,0.008672,0.091549,0.054394
1,float,uniform,CPU,"Ds | Ds",64,44,0.019648,0,0.02042,0.006304,0.084989,0.046372
1,float,uniform,CPU,"Ds | Ds",64,45,0.01952,0,0.02043,0.006976,0.085079,0.046926
1,float,uniform,CPU,"Ds | Ds",64,46,0.020064,0,0.02033,0.008,0.087249,0.048394
1,float,uniform,CPU,"Ds | Ds",64,47,0.020928,0,0.02142,0.00624,0.086229,0.048588
1,float,uniform,CPU,"Ds | Ds",64,48,0.019584,0,0.02065,0.00576,0.085169,0.045994
1,float,uniform,CPU,"Ds | Ds",64,49,0.0216,0,0.02249,0.00704,0.089569,0.05113
1,float,uniform,CPU,"Ds | Ds",64,50,0.020288,0,0.02108,0.00624,0.08709,0.047608
1,float,uniform,CPU,"Ds | Ds",64,51,0.02144,0,0.02279,0.007104,0.098649,0.051334
1,float,uniform,CPU,"Ds | Ds",64,52,0.021184,0,0.021899,0.007328,0.089889,0.050411
1,float,uniform,CPU,"Ds | Ds",64,53,0.018752,0,0.02043,0.007936,0.085279,0.047118
1,float,uniform,CPU,"Ds | Ds",64,54,0.019264,0,0.02111,0.00656,0.083839,0.046934
1,float,uniform,CPU,"Ds | Ds",64,55,0.020896,0,0.021349,0.008224,0.086309,0.050469
1,float,uniform,CPU,"Ds | Ds",64,56,0.01968,0,0.02247,0.006944,0.086239,0.049094
1,float,uniform,CPU,"Ds | Ds",64,57,0.018656,0,0.02122,0.006624,0.082459,0.0465
1,float,uniform,CPU,"Ds | Ds",64,58,0.019936,0,0.024589,0.0072,0.088519,0.051725
1,float,uniform,CPU,"Ds | Ds",64,59,0.019456,0,0.02129,0.005888,0.084479,0.046634
1,float,uniform,CPU,"Ds | Ds",64,60,0.018624,0,0.02086,0.005472,0.083399,0.044956
1,float,uniform,CPU,"Ds | Ds",64,61,0.0208,0,0.02164,0.006336,0.093009,0.048776
1,float,uniform,CPU,"Ds | Ds",64,62,0.11504,0,0.02143,0.006272,0.180298,0.142742
