dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"D | D | D | D",64,0,0.07888,0,0.134438,199.89,200.2,200.103
2,double,uniform,GPU,"D | D | D | D",64,1,0.013888,0,0.107178,0.012448,0.178588,0.133514
2,double,uniform,GPU,"D | D | D | D",64,2,0.0128,0,0.100599,0.010816,0.154618,0.124215
2,double,uniform,GPU,"D | D | D | D",64,3,0.016064,0,0.103579,0.010336,0.164858,0.129979
2,double,uniform,GPU,"D | D | D | D",64,4,0.012992,0,0.103188,0.008736,0.161418,0.124916
2,double,uniform,GPU,"D | D | D | D",64,5,0.014496,0,0.10385,0.0088,0.162929,0.127146
2,double,uniform,GPU,"D | D | D | D",64,6,0.011744,0,0.103288,0.008992,0.159678,0.124024
2,double,uniform,GPU,"D | D | D | D",64,7,0.018528,0,0.10381,0.0088,0.168238,0.131138
2,double,uniform,GPU,"D | D | D | D",64,8,0.014784,0,0.104069,0.008864,0.164118,0.127717
2,double,uniform,GPU,"D | D | D | D",64,9,0.014944,0,0.103199,0.008288,0.162359,0.126431
2,double,uniform,GPU,"D | D | D | D",64,10,0.017152,0,0.10323,0.00848,0.163998,0.128862
2,double,uniform,GPU,"D | D | D | D",64,11,0.012672,0,0.10326,0.00848,0.166098,0.124412
2,double,uniform,GPU,"D | D | D | D",64,12,0.014688,0,0.10392,0.008704,0.168119,0.127312
2,double,uniform,GPU,"D | D | D | D",64,13,0.01504,0,0.103528,0.009024,0.163728,0.127592
2,double,uniform,GPU,"D | D | D | D",64,14,0.016576,0,0.104218,0.0096,0.166498,0.130394
2,double,uniform,GPU,"D | D | D | D",64,15,0.01344,0,0.103069,0.008032,0.161548,0.124541
2,double,uniform,GPU,"D | D | D | D",64,16,0.013088,0,0.103409,0.008896,0.167759,0.125393
2,double,uniform,GPU,"D | D | D | D",64,17,0.015968,0,0.103609,0.010528,0.164908,0.130105
2,double,uniform,GPU,"D | D | D | D",64,18,0.015136,0,0.103249,0.009088,0.164188,0.127473
2,double,uniform,GPU,"D | D | D | D",64,19,0.01376,0,0.103129,0.008608,0.160098,0.125497
2,double,uniform,GPU,"D | D | D | D",64,20,0.01344,0,0.104289,0.009632,0.162489,0.127361
2,double,uniform,GPU,"D | D | D | D",64,21,0.01328,0,0.100228,0.009312,0.160568,0.12282
2,double,uniform,GPU,"D | D | D | D",64,22,0.013504,0,0.10412,0.00992,0.162839,0.127544
2,double,uniform,GPU,"D | D | D | D",64,23,0.015392,0,0.10389,0.00848,0.164109,0.127762
2,double,uniform,GPU,"D | D | D | D",64,24,0.01488,0,0.103169,0.008384,0.162159,0.126433
2,double,uniform,GPU,"D | D | D | D",64,25,0.014816,0,0.10401,0.007616,0.162828,0.126442
2,double,uniform,GPU,"D | D | D | D",64,26,0.0136,0,0.1036,0.008736,0.161948,0.125936
2,double,uniform,GPU,"D | D | D | D",64,27,0.013472,0,0.103928,0.010016,0.162878,0.127416
2,double,uniform,GPU,"D | D | D | D",64,28,0.012704,0,0.103189,0.0088,0.160048,0.124693
2,double,uniform,GPU,"D | D | D | D",64,29,0.01504,0,0.103159,0.0088,0.162819,0.126999
2,double,uniform,GPU,"D | D | D | D",64,30,0.016064,0,0.10309,0.009312,0.165488,0.128466
2,double,uniform,GPU,"D | D | D | D",64,31,0.01296,0,0.1031,0.009536,0.161709,0.125596
2,double,uniform,GPU,"D | D | D | D",64,32,0.014368,0,0.103549,0.009088,0.163138,0.127005
2,double,uniform,GPU,"D | D | D | D",64,33,0.016352,0,0.103849,0.008288,0.165698,0.128489
2,double,uniform,GPU,"D | D | D | D",64,34,0.013024,0,0.103629,0.009376,0.160898,0.126029
2,double,uniform,GPU,"D | D | D | D",64,35,0.013056,0,0.103159,0.008864,0.159308,0.125079
2,double,uniform,GPU,"D | D | D | D",64,36,0.014752,0,0.103338,0.00912,0.163018,0.12721
