dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | D",64,0,183.901,0,0.03546,51.6531,235.69,235.59
1,float,uniform,CPU,"D | D",64,1,0.036544,0,0.02104,0.0112,0.111619,0.068784
1,float,uniform,CPU,"D | D",64,2,0.030016,0,0.01829,0.004576,0.093039,0.052882
1,float,uniform,CPU,"D | D",64,3,0.029536,0,0.01924,0.005536,0.091199,0.054312
1,float,uniform,CPU,"D | D",64,4,0.029376,0,0.01857,0.005504,0.091209,0.05345
1,float,uniform,CPU,"D | D",64,5,0.029792,0,0.01901,0.006304,0.09379,0.055106
1,float,uniform,CPU,"D | D",64,6,0.029568,0,0.0184,0.00576,0.091639,0.053728
1,float,uniform,CPU,"D | D",64,7,0.032064,0,0.01859,0.006016,0.094559,0.05667
1,float,uniform,CPU,"D | D",64,8,0.03568,0,0.01823,0.00528,0.098339,0.05919
1,float,uniform,CPU,"D | D",64,9,0.029824,0,0.01829,0.0064,0.095109,0.054514
1,float,uniform,CPU,"D | D",64,10,0.029696,0,0.01805,0.005632,0.092328,0.053378
1,float,uniform,CPU,"D | D",64,11,0.028256,0,0.01812,0.004992,0.090889,0.051368
1,float,uniform,CPU,"D | D",64,12,0.030432,0,0.01935,0.005664,0.092199,0.055446
1,float,uniform,CPU,"D | D",64,13,0.028256,0,0.01859,0.005888,0.092499,0.052734
1,float,uniform,CPU,"D | D",64,14,0.029184,0,0.0182,0.005312,0.098379,0.052696
1,float,uniform,CPU,"D | D",64,15,0.029664,0,0.018529,0.0128,0.100639,0.060993
1,float,uniform,CPU,"D | D",64,16,0.030176,0,0.018969,0.006496,0.094179,0.055641
1,float,uniform,CPU,"D | D",64,17,0.035456,0,0.01942,0.008416,0.102739,0.063292
1,float,uniform,CPU,"D | D",64,18,0.027552,0,0.01481,0.008096,0.081879,0.050458
1,float,uniform,CPU,"D | D",64,19,0.029024,0,0.018219,0.005632,0.090659,0.052875
1,float,uniform,CPU,"D | D",64,20,0.028128,0,0.01789,0.006688,0.092619,0.052706
1,float,uniform,CPU,"D | D",64,21,0.030848,0,0.019099,0.005536,0.094689,0.055483
1,float,uniform,CPU,"D | D",64,22,0.029504,0,0.01824,0.005824,0.091379,0.053568
1,float,uniform,CPU,"D | D",64,23,0.030752,0,0.018109,0.005824,0.092219,0.054685
1,float,uniform,CPU,"D | D",64,24,0.028896,0,0.01802,0.005664,0.089799,0.05258
1,float,uniform,CPU,"D | D",64,25,0.029664,0,0.01851,0.005888,0.090259,0.054062
1,float,uniform,CPU,"D | D",64,26,0.032544,0,0.018379,0.006688,0.098619,0.057611
1,float,uniform,CPU,"D | D",64,27,0.029824,0,0.01855,0.005888,0.092139,0.054262
1,float,uniform,CPU,"D | D",64,28,0.029952,0,0.01823,0.00544,0.090819,0.053622
1,float,uniform,CPU,"D | D",64,29,0.030496,0,0.0181,0.005792,0.091919,0.054388
1,float,uniform,CPU,"D | D",64,30,0.02864,0,0.015769,0.006656,0.082979,0.051065
1,float,uniform,CPU,"D | D",64,31,0.02752,0,0.01461,0.006848,0.079699,0.048978
1,float,uniform,CPU,"D | D",64,32,0.030464,0,0.01806,0.005024,0.090328,0.053548
1,float,uniform,CPU,"D | D",64,33,0.029152,0,0.018,0.00576,0.090769,0.052912
1,float,uniform,CPU,"D | D",64,34,0.033472,0,0.01878,0.007264,0.096959,0.059516
1,float,uniform,CPU,"D | D",64,35,0.032,0,0.01716,0.00608,0.094619,0.05524
1,float,uniform,CPU,"D | D",64,36,0.0304,0,0.01856,0.006688,0.103428,0.055648
1,float,uniform,CPU,"D | D",64,37,0.029248,0,0.018241,0.005856,0.092219,0.053345
1,float,uniform,CPU,"D | D",64,38,0.030016,0,0.01818,0.005568,0.08976,0.053764
1,float,uniform,CPU,"D | D",64,39,0.029056,0,0.01917,0.005664,0.092369,0.05389
1,float,uniform,CPU,"D | D",64,40,0.031168,0,0.01848,0.003584,0.094869,0.053232
1,float,uniform,CPU,"D | D",64,41,0.028608,0,0.01828,0.005856,0.091559,0.052744
1,float,uniform,CPU,"D | D",64,42,0.031072,0,0.01832,0.007264,0.094899,0.056656
1,float,uniform,CPU,"D | D",64,43,0.02992,0,0.01859,0.005856,0.091619,0.054366
1,float,uniform,CPU,"D | D",64,44,0.035616,0,0.01756,0.005952,0.104228,0.059128
1,float,uniform,CPU,"D | D",64,45,0.032032,0,0.01859,0.005568,0.09381,0.05619
1,float,uniform,CPU,"D | D",64,46,0.02864,0,0.01803,0.005568,0.091999,0.052238
1,float,uniform,CPU,"D | D",64,47,0.028288,0,0.01819,0.005472,0.091588,0.05195
1,float,uniform,CPU,"D | D",64,48,0.031168,0,0.01896,0.005696,0.093899,0.055824
1,float,uniform,CPU,"D | D",64,49,0.03008,0,0.01847,0.005632,0.091349,0.054182
1,float,uniform,CPU,"D | D",64,50,0.030432,0,0.01804,0.007552,0.093839,0.056024
1,float,uniform,CPU,"D | D",64,51,0.030592,0,0.0185,0.0056,0.092839,0.054692
1,float,uniform,CPU,"D | D",64,52,0.028256,0,0.01811,0.00512,0.090569,0.051486
1,float,uniform,CPU,"D | D",64,53,0.03248,0,0.01854,0.005568,0.095819,0.056588
1,float,uniform,CPU,"D | D",64,54,0.036128,0,0.018369,0.005856,0.098159,0.060353
1,float,uniform,CPU,"D | D",64,55,0.11184,0,0.0184,0.005792,0.174507,0.136032
1,float,uniform,CPU,"D | D",64,56,0.029824,0,0.01788,0.0056,0.091049,0.053304
1,float,uniform,CPU,"D | D",64,57,0.030624,0,0.01932,0.00512,0.092229,0.055064
1,float,uniform,CPU,"D | D",64,58,0.029856,0,0.01824,0.006912,0.092239,0.055008
1,float,uniform,CPU,"D | D",64,59,0.029536,0,0.01851,0.005728,0.093489,0.053774
1,float,uniform,CPU,"D | D",64,60,0.028416,0,0.01821,0.005664,0.091079,0.05229
1,float,uniform,CPU,"D | D",64,61,0.033696,0,0.018331,0.005472,0.094119,0.057499
1,float,uniform,CPU,"D | D",64,62,0.03104,0,0.01461,0.00688,0.087149,0.05253
1,float,uniform,CPU,"D | D",64,63,0.030144,0,0.018,0.006272,0.09185,0.054416
1,float,uniform,CPU,"D | D",64,64,0.0288,0,0.01445,0.009632,0.085039,0.052882
1,float,uniform,CPU,"D | D",64,65,0.030112,0,0.01808,0.004864,0.098389,0.053056
1,float,uniform,CPU,"D | D",64,66,0.027744,0,0.01935,0.006784,0.091389,0.053878
1,float,uniform,CPU,"D | D",64,67,0.03152,0,0.01832,0.00608,0.093739,0.05592
1,float,uniform,CPU,"D | D",64,68,0.03024,0,0.018479,0.005216,0.093019,0.053935
1,float,uniform,CPU,"D | D",64,69,0.0296,0,0.01827,0.006016,0.092779,0.053886
1,float,uniform,CPU,"D | D",64,70,0.033088,0,0.01871,0.007552,0.09709,0.05935
1,float,uniform,CPU,"D | D",64,71,0.033664,0,0.01856,0.006464,0.098259,0.058688
1,float,uniform,CPU,"D | D",64,72,0.029952,0,0.01837,0.005728,0.092399,0.05405
1,float,uniform,CPU,"D | D",64,73,0.027872,0,0.01808,0.007584,0.091259,0.053536
1,float,uniform,CPU,"D | D",64,74,0.029632,0,0.018089,0.006272,0.099489,0.053993
1,float,uniform,CPU,"D | D",128,0,0.058528,0,0.02477,0.013088,0.148228,0.096386
1,float,uniform,CPU,"D | D",128,1,0.03712,0,0.02108,0.008832,0.107209,0.067032
1,float,uniform,CPU,"D | D",128,2,0.032128,0,0.020419,0.008448,0.098669,0.060995
1,float,uniform,CPU,"D | D",128,3,0.030912,0,0.020629,0.006176,0.093869,0.057717
1,float,uniform,CPU,"D | D",128,4,0.028384,0,0.020129,0.005696,0.093629,0.054209
1,float,uniform,CPU,"D | D",128,5,0.02864,0,0.02053,0.005664,0.092729,0.054834
1,float,uniform,CPU,"D | D",128,6,0.031008,0,0.02033,0.005664,0.095199,0.057002
1,float,uniform,CPU,"D | D",128,7,0.030368,0,0.02066,0.00592,0.094599,0.056948
1,float,uniform,CPU,"D | D",128,8,0.029536,0,0.020869,0.005792,0.094749,0.056197
1,float,uniform,CPU,"D | D",128,9,0.028704,0,0.02038,0.007648,0.094589,0.056732
1,float,uniform,CPU,"D | D",128,10,0.02992,0,0.02017,0.005952,0.094279,0.056042
1,float,uniform,CPU,"D | D",128,11,0.029952,0,0.02028,0.007424,0.09815,0.057656
1,float,uniform,CPU,"D | D",128,12,0.030112,0,0.020511,0.005952,0.093539,0.056575
1,float,uniform,CPU,"D | D",128,13,0.032416,0,0.020299,0.005664,0.096459,0.058379
1,float,uniform,CPU,"D | D",128,14,0.029568,0,0.02026,0.006912,0.095149,0.05674
1,float,uniform,CPU,"D | D",128,15,0.031552,0,0.02171,0.005408,0.095979,0.05867
1,float,uniform,CPU,"D | D",128,16,0.028,0,0.020699,0.007872,0.095059,0.056571
1,float,uniform,CPU,"D | D",128,17,0.03184,0,0.020359,0.007456,0.096869,0.059655
1,float,uniform,CPU,"D | D",128,18,0.029312,0,0.02066,0.005344,0.09417,0.055316
1,float,uniform,CPU,"D | D",128,19,0.03296,0,0.02042,0.007616,0.100659,0.060996
1,float,uniform,CPU,"D | D",128,20,0.032736,0,0.0209,0.00752,0.103259,0.061156
1,float,uniform,CPU,"D | D",128,21,0.029504,0,0.017298,0.006784,0.086559,0.053586
1,float,uniform,CPU,"D | D",128,22,0.030112,0,0.02084,0.006048,0.096339,0.057
1,float,uniform,CPU,"D | D",128,23,0.029216,0,0.02072,0.005824,0.093588,0.05576
