dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",64,56,0.028928,0,0.018551,0.006944,0.092829,0.054423
1,float,uniform,CPU,"N | N",64,57,0.030016,0,0.01797,0.005824,0.090959,0.05381
1,float,uniform,CPU,"N | N",64,58,0.028128,0,0.018409,0.004512,0.090039,0.051049
1,float,uniform,CPU,"N | N",64,59,0.027936,0,0.01771,0.005568,0.090139,0.051214
1,float,uniform,CPU,"N | N",64,60,0.032576,0,0.0188,0.006912,0.096419,0.058288
1,float,uniform,CPU,"N | N",64,61,0.03056,0,0.01804,0.014752,0.101649,0.063352
1,float,uniform,CPU,"N | N",64,62,0.138208,0,0.01829,0.00432,0.199498,0.160818
1,float,uniform,CPU,"N | N",64,63,0.03136,0,0.01798,0.005568,0.092019,0.054908
1,float,uniform,CPU,"N | N",64,64,0.030016,0,0.01841,0.00976,0.097499,0.058186
1,float,uniform,CPU,"N | N",64,65,0.028352,0,0.01842,0.005568,0.090769,0.05234
1,float,uniform,CPU,"N | N",64,66,0.0288,0,0.01817,0.005824,0.09175,0.052794
1,float,uniform,CPU,"N | N",64,67,0.029408,0,0.01808,0.00528,0.089539,0.052768
1,float,uniform,CPU,"N | N",64,68,0.029632,0,0.01764,0.005088,0.091039,0.05236
1,float,uniform,CPU,"N | N",64,69,0.033152,0,0.017959,0.00512,0.096139,0.056231
1,float,uniform,CPU,"N | N",64,70,0.03264,0,0.01862,0.007584,0.096629,0.058844
1,float,uniform,CPU,"N | N",64,71,0.03456,0,0.018069,0.005056,0.095079,0.057685
1,float,uniform,CPU,"N | N",64,72,0.028512,0,0.017899,0.004448,0.090719,0.050859
1,float,uniform,CPU,"N | N",64,73,0.030336,0,0.01803,0.00496,0.092569,0.053326
1,float,uniform,CPU,"N | N",64,74,0.030208,0,0.018138,0.005248,0.090279,0.053594
1,float,uniform,CPU,"N | N",128,0,0.0608,0,0.02567,0.008096,0.142028,0.094566
1,float,uniform,CPU,"N | N",128,1,0.032384,0,0.021399,0.005888,0.097709,0.059671
1,float,uniform,CPU,"N | N",128,2,0.0296,0,0.02152,0.007072,0.095039,0.058192
1,float,uniform,CPU,"N | N",128,3,0.030304,0,0.02116,0.00672,0.097499,0.058184
