dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.194592,0,0.091219,201.645,202.029,201.93
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.156896,0,0.03711,0.012512,0.250647,0.206518
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.143424,0,0.03085,0.009824,0.226048,0.184098
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.140352,0,0.030589,0.00928,0.219927,0.180221
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.146496,0,0.03381,0.010304,0.232877,0.19061
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.143808,0,0.03123,0.010304,0.364966,0.185342
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.146016,0,0.03198,0.009408,0.230107,0.187404
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.143296,0,0.031259,0.010624,0.224727,0.185179
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.143104,0,0.03001,0.009728,0.221077,0.182842
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.15168,0,0.0322,0.012576,0.236048,0.196456
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.142976,0,0.118719,0.009568,0.312966,0.271263
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.145184,0,0.033479,0.01072,0.230547,0.189383
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.143328,0,0.03021,0.0104,0.224938,0.183938
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.142624,0,0.03102,0.010144,0.229008,0.183788
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.141088,0,0.03084,0.00976,0.220728,0.181688
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.145344,0,0.031979,0.009792,0.227178,0.187115
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.142656,0,0.03009,0.009408,0.222407,0.182154
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.144288,0,0.03183,0.009344,0.226178,0.185462
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.14064,0,0.03079,0.010112,0.223308,0.181542
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.144192,0,0.03085,0.009472,0.224828,0.184514
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.144512,0,0.03047,0.00928,0.222568,0.184262
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,0.140192,0,0.030419,0.0104,0.219988,0.181011
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,0.141312,0,0.029889,0.202976,0.414015,0.374177
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,0.145696,0,0.029789,0.011968,0.226917,0.187453
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,0.148064,0,0.03107,0.009568,0.228907,0.188702
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,0.140352,0,0.03027,0.009024,0.222798,0.179646
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,0.143072,0,0.03069,0.00944,0.223108,0.183202
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,0.138976,0,0.02997,0.00928,0.218217,0.178226
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,0.14544,0,0.030839,0.00928,0.226818,0.185559
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,0.143104,0,0.03591,0.008384,0.230187,0.187398
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,0.144224,0,0.03365,0.008672,0.228517,0.186546
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,0.142464,0,0.03116,0.01168,0.225988,0.185304
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,0.146304,0,0.03078,0.008928,0.226347,0.186012
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,0.150944,0,0.030329,0.00928,0.230757,0.190553
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,0.140128,0,0.03151,0.009024,0.222478,0.180662
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,0.143456,0,0.03155,0.00992,0.225917,0.184926
