dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",64,0,0.073728,0,0.253028,201.145,201.566,201.471
3,double,uniform,GPU,"D | D | D | D | D | D",64,1,0.01248,0,0.226528,0.017472,0.316727,0.25648
3,double,uniform,GPU,"D | D | D | D | D | D",64,2,0.020864,0,0.223037,0.015456,0.312017,0.259357
3,double,uniform,GPU,"D | D | D | D | D | D",64,3,0.013952,0,0.223077,0.014752,0.304476,0.251781
3,double,uniform,GPU,"D | D | D | D | D | D",64,4,0.021792,0,0.222467,0.015616,0.312267,0.259875
3,double,uniform,GPU,"D | D | D | D | D | D",64,5,0.02192,0,0.222817,0.015488,0.313387,0.260225
3,double,uniform,GPU,"D | D | D | D | D | D",64,6,0.020896,0,0.222338,0.015904,0.311466,0.259138
3,double,uniform,GPU,"D | D | D | D | D | D",64,7,0.021088,0,0.222668,0.015264,0.312037,0.25902
3,double,uniform,GPU,"D | D | D | D | D | D",64,8,0.013696,0,0.222418,0.015616,0.303876,0.25173
3,double,uniform,GPU,"D | D | D | D | D | D",64,9,0.013088,0,0.221757,0.017504,0.302987,0.252349
3,double,uniform,GPU,"D | D | D | D | D | D",64,10,0.022432,0,0.220128,0.015872,0.308117,0.258432
3,double,uniform,GPU,"D | D | D | D | D | D",64,11,0.01504,0,0.220297,0.017984,0.300887,0.253321
3,double,uniform,GPU,"D | D | D | D | D | D",64,12,0.013696,0,0.222097,0.015616,0.304936,0.251409
3,double,uniform,GPU,"D | D | D | D | D | D",64,13,0.020928,0,0.222387,0.01584,0.311196,0.259155
3,double,uniform,GPU,"D | D | D | D | D | D",64,14,0.014208,0,0.221998,0.014368,0.302877,0.250574
3,double,uniform,GPU,"D | D | D | D | D | D",64,15,0.02144,0,0.222997,0.016032,0.312987,0.260469
3,double,uniform,GPU,"D | D | D | D | D | D",64,16,0.013088,0,0.218748,0.0176,0.295766,0.249436
3,double,uniform,GPU,"D | D | D | D | D | D",64,17,0.01264,0,0.222578,0.015744,0.304217,0.250962
3,double,uniform,GPU,"D | D | D | D | D | D",64,18,0.014368,0,0.263817,0.015264,0.346616,0.293449
3,double,uniform,GPU,"D | D | D | D | D | D",64,19,0.02032,0,0.221957,0.015968,0.311046,0.258245
3,double,uniform,GPU,"D | D | D | D | D | D",64,20,0.01456,0,0.222307,0.015584,0.306886,0.252451
3,double,uniform,GPU,"D | D | D | D | D | D",64,21,0.012064,0,0.222708,0.01472,0.303147,0.249492
3,double,uniform,GPU,"D | D | D | D | D | D",64,22,0.019456,0,0.222398,0.016096,0.309517,0.25795
3,double,uniform,GPU,"D | D | D | D | D | D",64,23,0.019712,0,0.223488,0.014912,0.311617,0.258112
3,double,uniform,GPU,"D | D | D | D | D | D",64,24,0.01424,0,0.222907,0.013952,0.304367,0.251099
3,double,uniform,GPU,"D | D | D | D | D | D",64,25,0.021792,0,0.222948,0.015264,0.412355,0.260004
3,double,uniform,GPU,"D | D | D | D | D | D",64,26,0.021216,0,0.222348,0.01472,0.311846,0.258284
3,double,uniform,GPU,"D | D | D | D | D | D",64,27,0.014048,0,0.222508,0.015616,0.304506,0.252172
3,double,uniform,GPU,"D | D | D | D | D | D",64,28,0.020864,0,0.221778,0.015008,0.310197,0.25765
3,double,uniform,GPU,"D | D | D | D | D | D",64,29,0.013792,0,0.222178,0.01568,0.307056,0.25165
3,double,uniform,GPU,"D | D | D | D | D | D",64,30,0.021856,0,0.221777,0.016,0.311767,0.259633
3,double,uniform,GPU,"D | D | D | D | D | D",64,31,0.018912,0,0.221447,0.01536,0.308797,0.255719
3,double,uniform,GPU,"D | D | D | D | D | D",64,32,0.013088,0,0.339037,0.015776,0.421266,0.367901
3,double,uniform,GPU,"D | D | D | D | D | D",64,33,0.021088,0,0.222327,0.01552,0.311556,0.258935
3,double,uniform,GPU,"D | D | D | D | D | D",64,34,0.01408,0,0.223187,0.014688,0.305277,0.251955
3,double,uniform,GPU,"D | D | D | D | D | D",64,35,0.021664,0,0.223567,0.017664,0.317177,0.262895
3,double,uniform,GPU,"D | D | D | D | D | D",64,36,0.021856,0,0.223058,0.014752,0.312986,0.259666
3,double,uniform,GPU,"D | D | D | D | D | D",64,37,0.015296,0,0.222887,0.014656,0.305397,0.252839
3,double,uniform,GPU,"D | D | D | D | D | D",64,38,0.020992,0,0.222097,0.015584,0.310937,0.258673
3,double,uniform,GPU,"D | D | D | D | D | D",64,39,0.02096,0,0.346346,0.015552,0.434386,0.382858
