dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,43,0.242816,0.00191,0.107619,0.02192,0.430066,0.374265
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,44,0.242432,0.001619,0.105418,0.019744,0.425715,0.369213
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,45,0.250848,0.00151,0.106918,0.024224,0.438365,0.3835
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,46,0.238528,0.001509,0.10327,0.025344,0.419466,0.368651
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,47,0.238656,0.001499,0.106329,0.022208,0.424785,0.368692
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,48,0.23856,0.00154,0.106239,0.02112,0.424846,0.367459
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,49,0.251552,0.001509,0.107088,0.02256,0.439535,0.382709
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,50,0.236544,0.001759,0.106768,0.02336,0.424366,0.368431
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,51,0.249888,0.001471,0.106769,0.021952,0.434555,0.38008
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,52,0.237248,0.00161,0.106449,0.0232,0.420995,0.368507
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,53,0.23792,0.00167,0.107639,0.022432,0.424575,0.369661
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,54,0.246176,0.0016,0.106559,0.021024,0.433006,0.375359
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,55,0.24048,0.001541,0.105988,0.021696,0.424446,0.369705
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,56,0.24064,0.001581,0.106799,0.0216,0.427036,0.37062
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,57,0.244448,0.00149,0.106438,0.023232,0.432415,0.375608
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,58,0.25376,0.001589,0.107468,0.021184,0.439515,0.384001
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,59,0.245824,0.001629,0.106549,0.024992,0.435785,0.378994
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,60,0.244736,0.0017,0.10681,0.021792,0.429025,0.375038
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,61,0.245472,0.001549,0.10686,0.021696,0.431695,0.375577
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,62,0.244064,0.00157,0.106749,0.02416,0.432735,0.376543
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,63,0.245216,0.00163,0.105458,0.023168,0.424665,0.375472
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,64,0.240512,0.001639,0.104098,0.022464,0.418766,0.368713
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,65,0.24496,0.001529,0.106579,0.022912,0.429885,0.37598
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,66,0.23936,0.001731,0.107289,0.024096,0.427336,0.372476
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,67,0.250816,0.00178,0.1069,0.02144,0.434836,0.380936
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,68,0.329696,0.001539,0.10721,0.022176,0.516924,0.460621
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,69,0.234368,0.001599,0.100149,0.026912,0.407026,0.363028
