dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",64,52,0.012768,0,0.02059,0.012224,0.088389,0.045582
2,float,uniform,GPU,"P | P | P | P",64,53,0.015808,0,0.020769,0.012,0.090189,0.048577
2,float,uniform,GPU,"P | P | P | P",64,54,0.01168,0,0.020938,0.014912,0.090289,0.04753
2,float,uniform,GPU,"P | P | P | P",64,55,0.011488,0,0.02109,0.01904,0.090689,0.051618
2,float,uniform,GPU,"P | P | P | P",64,56,0.012928,0,0.02146,0.014144,0.196357,0.048532
2,float,uniform,GPU,"P | P | P | P",64,57,0.012992,0,0.02057,0.011936,0.087569,0.045498
2,float,uniform,GPU,"P | P | P | P",64,58,0.012928,0,0.02046,0.013216,0.087599,0.046604
2,float,uniform,GPU,"P | P | P | P",64,59,0.013024,0,0.021169,0.014688,0.090039,0.048881
2,float,uniform,GPU,"P | P | P | P",64,60,0.01552,0,0.020959,0.015136,0.093959,0.051615
2,float,uniform,GPU,"P | P | P | P",64,61,0.012448,0,0.021319,0.012992,0.087049,0.046759
2,float,uniform,GPU,"P | P | P | P",64,62,0.012192,0,0.019219,0.0152,0.082579,0.046611
2,float,uniform,GPU,"P | P | P | P",64,63,0.013952,0,0.02055,0.012896,0.089159,0.047398
2,float,uniform,GPU,"P | P | P | P",64,64,0.012896,0,0.020799,0.014752,0.089819,0.048447
2,float,uniform,GPU,"P | P | P | P",64,65,0.013216,0,0.020999,0.014592,0.089979,0.048807
2,float,uniform,GPU,"P | P | P | P",64,66,0.013664,0,0.02166,0.01472,0.091899,0.050044
2,float,uniform,GPU,"P | P | P | P",64,67,0.014176,0,0.0214,0.013024,0.088359,0.0486
2,float,uniform,GPU,"P | P | P | P",64,68,0.012864,0,0.02082,0.015168,0.089099,0.048852
2,float,uniform,GPU,"P | P | P | P",64,69,0.012064,0,0.02054,0.012928,0.087179,0.045532
2,float,uniform,GPU,"P | P | P | P",64,70,0.015008,0,0.02093,0.012512,0.089589,0.04845
2,float,uniform,GPU,"P | P | P | P",64,71,0.013408,0,0.020389,0.014304,0.098799,0.048101
2,float,uniform,GPU,"P | P | P | P",64,72,0.01248,0,0.02054,0.01328,0.087019,0.0463
2,float,uniform,GPU,"P | P | P | P",64,73,0.012352,0,0.021139,0.013536,0.087599,0.047027
2,float,uniform,GPU,"P | P | P | P",64,74,0.013056,0,0.020511,0.013952,0.088789,0.047519
2,float,uniform,GPU,"P | P | P | P",128,0,0.022848,0,0.028,0.023392,0.123868,0.07424
2,float,uniform,GPU,"P | P | P | P",128,1,0.013248,0,0.022569,0.016,0.093949,0.051817
2,float,uniform,GPU,"P | P | P | P",128,2,0.012768,0,0.02173,0.013824,0.089269,0.048322
2,float,uniform,GPU,"P | P | P | P",128,3,0.012224,0,0.022859,0.016032,0.093369,0.051115
2,float,uniform,GPU,"P | P | P | P",128,4,0.016736,0,0.02184,0.016224,0.099519,0.0548
2,float,uniform,GPU,"P | P | P | P",128,5,0.014304,0,0.02199,0.014816,0.093289,0.05111
2,float,uniform,GPU,"P | P | P | P",128,6,0.01328,0,0.02208,0.014592,0.092669,0.049952
2,float,uniform,GPU,"P | P | P | P",128,7,0.013024,0,0.022239,0.013696,0.089529,0.048959
2,float,uniform,GPU,"P | P | P | P",128,8,0.01568,0,0.02227,0.015008,0.095028,0.052958
2,float,uniform,GPU,"P | P | P | P",128,9,0.013824,0,0.020939,0.015008,0.090949,0.049771
2,float,uniform,GPU,"P | P | P | P",128,10,0.01472,0,0.022669,0.016768,0.095709,0.054157
2,float,uniform,GPU,"P | P | P | P",128,11,0.014272,0,0.02284,0.015232,0.094069,0.052344
2,float,uniform,GPU,"P | P | P | P",128,12,0.014272,0,0.02248,0.012704,0.090599,0.049456
2,float,uniform,GPU,"P | P | P | P",128,13,0.013056,0,0.02241,0.015424,0.092689,0.05089
2,float,uniform,GPU,"P | P | P | P",128,14,0.013184,0,0.02687,0.013536,0.09547,0.05359
2,float,uniform,GPU,"P | P | P | P",128,15,0.013664,0,0.0197,0.01376,0.081929,0.047124
2,float,uniform,GPU,"P | P | P | P",128,16,0.012896,0,0.02223,0.012768,0.08855,0.047894
2,float,uniform,GPU,"P | P | P | P",128,17,0.014528,0,0.022939,0.015904,0.097379,0.053371
2,float,uniform,GPU,"P | P | P | P",128,18,0.012832,0,0.02263,0.013504,0.089928,0.048966
2,float,uniform,GPU,"P | P | P | P",128,19,0.01312,0,0.021889,0.011744,0.087119,0.046753
2,float,uniform,GPU,"P | P | P | P",128,20,0.011904,0,0.021949,0.0136,0.088379,0.047453
2,float,uniform,GPU,"P | P | P | P",128,21,0.014368,0,0.02228,0.016064,0.094729,0.052712
2,float,uniform,GPU,"P | P | P | P",128,22,0.012384,0,0.02218,0.014144,0.096348,0.048708
2,float,uniform,GPU,"P | P | P | P",128,23,0.015744,0,0.021849,0.015456,0.095909,0.053049
2,float,uniform,GPU,"P | P | P | P",128,24,0.012192,0,0.022179,0.014272,0.089819,0.048643
2,float,uniform,GPU,"P | P | P | P",128,25,0.01216,0,0.02202,0.014272,0.089899,0.048452
2,float,uniform,GPU,"P | P | P | P",128,26,0.012928,0,0.022,0.013088,0.088659,0.048016
2,float,uniform,GPU,"P | P | P | P",128,27,0.01328,0,0.018799,0.014976,0.081229,0.047055
2,float,uniform,GPU,"P | P | P | P",128,28,0.01488,0,0.02234,0.015712,0.094379,0.052932
2,float,uniform,GPU,"P | P | P | P",128,29,0.012928,0,0.022549,0.013504,0.090909,0.048981
