dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,0,183.625,0,0.046149,51.6791,235.444,235.35
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,1,0.013728,0,0.02717,0.007712,0.092409,0.04861
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,2,0.012192,0,0.02215,0.005888,0.076339,0.04023
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,3,0.012096,0,0.02248,0.005856,0.07577,0.040432
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,4,0.013152,0,0.02163,0.004896,0.073059,0.039678
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,5,0.011232,0,0.0218,0.006688,0.075339,0.03972
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,6,0.016192,0,0.02191,0.007552,0.081199,0.045654
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,7,0.01216,0,0.02009,0.007072,0.070729,0.039322
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,8,0.011648,0,0.0207,0.006432,0.074369,0.03878
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,9,0.011808,0,0.02148,0.006048,0.073549,0.039336
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,10,0.012064,0,0.02238,0.007776,0.07645,0.04222
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,11,0.01296,0,0.021581,0.005824,0.074769,0.040365
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,12,0.012608,0,0.02166,0.007232,0.077039,0.0415
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,13,0.012256,0,0.02194,0.006048,0.078059,0.040244
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,14,0.011584,0,0.0222,0.008576,0.077879,0.04236
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,15,0.013824,0,0.021589,0.007168,0.078169,0.042581
2,float,uniform,GPU,"Ds | Ds | Ds | Ds",64,16,0.012128,0,0.022188,0.00624,0.074769,0.040556
