dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"N | D | N | N | N | N",64,0,186.327,0.00274,0.181197,52.0691,238.697,238.58
3,double,uniform,CPU,"N | D | N | N | N | N",64,1,0.251488,0.00148,0.160008,0.015488,0.477085,0.428464
3,double,uniform,CPU,"N | D | N | N | N | N",64,2,0.24896,0.001609,0.158418,0.014144,0.468415,0.423131
3,double,uniform,CPU,"N | D | N | N | N | N",64,3,0.242848,0.001521,0.157979,0.01392,0.464365,0.416268
3,double,uniform,CPU,"N | D | N | N | N | N",64,4,0.240256,0.0015,0.158219,0.012608,0.461725,0.412583
3,double,uniform,CPU,"N | D | N | N | N | N",64,5,0.248736,0.00155,0.158668,0.014688,0.470325,0.423642
3,double,uniform,CPU,"N | D | N | N | N | N",64,6,0.247904,0.00155,0.159078,0.015392,0.469345,0.423924
3,double,uniform,CPU,"N | D | N | N | N | N",64,7,0.243648,0.00158,0.158458,0.012704,0.463875,0.41639
3,double,uniform,CPU,"N | D | N | N | N | N",64,8,0.321184,0.001481,0.158219,0.012864,0.541434,0.493748
3,double,uniform,CPU,"N | D | N | N | N | N",64,9,0.2376,0.00152,0.158829,0.014432,0.458755,0.412381
3,double,uniform,CPU,"N | D | N | N | N | N",64,10,0.24192,0.00174,0.165638,0.015648,0.472315,0.424946
3,double,uniform,CPU,"N | D | N | N | N | N",64,11,0.242912,0.00149,0.158977,0.014144,0.464615,0.417523
3,double,uniform,CPU,"N | D | N | N | N | N",64,12,0.24304,0.001559,0.158768,0.013824,0.463175,0.417191
3,double,uniform,CPU,"N | D | N | N | N | N",64,13,0.242624,0.0015,0.153478,0.015904,0.455895,0.413506
3,double,uniform,CPU,"N | D | N | N | N | N",64,14,0.243808,0.001451,0.158469,0.01408,0.464545,0.417808
3,double,uniform,CPU,"N | D | N | N | N | N",64,15,0.240768,0.00155,0.158008,0.014848,0.462895,0.415174
3,double,uniform,CPU,"N | D | N | N | N | N",64,16,0.24208,0.00195,0.166148,0.014144,0.471685,0.424322
3,double,uniform,CPU,"N | D | N | N | N | N",64,17,0.238592,0.00148,0.158998,0.013344,0.460975,0.412414
3,double,uniform,CPU,"N | D | N | N | N | N",64,18,0.240704,0.001459,0.158188,0.013568,0.466536,0.413919
3,double,uniform,CPU,"N | D | N | N | N | N",64,19,0.238272,0.00162,0.158738,0.014176,0.458266,0.412806
3,double,uniform,CPU,"N | D | N | N | N | N",64,20,0.239552,0.00149,0.189658,0.014752,0.491505,0.445452
3,double,uniform,CPU,"N | D | N | N | N | N",64,21,0.241248,0.00145,0.157908,0.013056,0.459415,0.413662
3,double,uniform,CPU,"N | D | N | N | N | N",64,22,0.239808,0.00151,0.162069,0.014688,0.467115,0.418075
3,double,uniform,CPU,"N | D | N | N | N | N",64,23,0.240896,0.00172,0.158768,0.01408,0.462356,0.415464
3,double,uniform,CPU,"N | D | N | N | N | N",64,24,0.239104,0.00164,0.158468,0.014304,0.458935,0.413516
3,double,uniform,CPU,"N | D | N | N | N | N",64,25,0.242656,0.00152,0.150708,0.016512,0.450675,0.411396
3,double,uniform,CPU,"N | D | N | N | N | N",64,26,0.241088,0.001431,0.230458,0.014208,0.532884,0.487185
3,double,uniform,CPU,"N | D | N | N | N | N",64,27,0.243776,0.00146,0.159138,0.015392,0.468875,0.419766
3,double,uniform,CPU,"N | D | N | N | N | N",64,28,0.241088,0.001389,0.159008,0.015136,0.462106,0.416621
3,double,uniform,CPU,"N | D | N | N | N | N",64,29,0.239072,0.00144,0.157668,0.013152,0.458256,0.411332
3,double,uniform,CPU,"N | D | N | N | N | N",64,30,0.233312,0.00152,0.152318,0.015968,0.443596,0.403118
3,double,uniform,CPU,"N | D | N | N | N | N",64,31,0.240928,0.00167,0.158988,0.01296,0.555624,0.414546
3,double,uniform,CPU,"N | D | N | N | N | N",64,32,0.245696,0.001471,0.159297,0.015328,0.468915,0.421792
3,double,uniform,CPU,"N | D | N | N | N | N",64,33,0.241568,0.001521,0.159569,0.013632,0.461795,0.41629
3,double,uniform,CPU,"N | D | N | N | N | N",64,34,0.240672,0.00149,0.158658,0.012608,0.460945,0.413428
3,double,uniform,CPU,"N | D | N | N | N | N",64,35,0.242272,0.00146,0.159369,0.0136,0.463286,0.416701
3,double,uniform,CPU,"N | D | N | N | N | N",64,36,0.243296,0.00164,0.158799,0.015008,0.463755,0.418743
3,double,uniform,CPU,"N | D | N | N | N | N",64,37,0.2424,0.00145,0.158018,0.014464,0.463476,0.416332
3,double,uniform,CPU,"N | D | N | N | N | N",64,38,0.236832,0.00148,0.158238,0.012512,0.457096,0.409062
3,double,uniform,CPU,"N | D | N | N | N | N",64,39,0.240576,0.001551,0.198768,0.0152,0.505625,0.456095
3,double,uniform,CPU,"N | D | N | N | N | N",64,40,0.24224,0.00148,0.158738,0.012736,0.463276,0.415194
3,double,uniform,CPU,"N | D | N | N | N | N",64,41,0.246464,0.00152,0.158909,0.013504,0.468545,0.420397
3,double,uniform,CPU,"N | D | N | N | N | N",64,42,0.241536,0.001461,0.15829,0.01376,0.461895,0.415047
3,double,uniform,CPU,"N | D | N | N | N | N",64,43,0.41648,0.00156,0.158378,0.014688,0.635524,0.591106
3,double,uniform,CPU,"N | D | N | N | N | N",64,44,0.240096,0.00154,0.158548,0.013152,0.460485,0.413336
3,double,uniform,CPU,"N | D | N | N | N | N",64,45,0.241888,0.00144,0.158528,0.01472,0.464175,0.416576
3,double,uniform,CPU,"N | D | N | N | N | N",64,46,0.241536,0.00148,0.159158,0.015488,0.464025,0.417662
3,double,uniform,CPU,"N | D | N | N | N | N",64,47,0.250688,0.001471,0.158797,0.014176,0.470475,0.425132
3,double,uniform,CPU,"N | D | N | N | N | N",64,48,0.240128,0.00158,0.158238,0.012032,0.458576,0.411978
3,double,uniform,CPU,"N | D | N | N | N | N",64,49,0.23824,0.001469,0.160597,0.013664,0.459145,0.41397
3,double,uniform,CPU,"N | D | N | N | N | N",64,50,0.244864,0.0014,0.158678,0.012512,0.463765,0.417454
3,double,uniform,CPU,"N | D | N | N | N | N",64,51,0.243328,0.001481,0.158178,0.014272,0.465215,0.417259
3,double,uniform,CPU,"N | D | N | N | N | N",64,52,0.23776,0.00142,0.151718,0.015584,0.445965,0.406482
3,double,uniform,CPU,"N | D | N | N | N | N",64,53,0.242336,0.00152,0.152169,0.015872,0.452016,0.411897
3,double,uniform,CPU,"N | D | N | N | N | N",64,54,0.24432,0.001541,0.158989,0.01408,0.465015,0.41893
3,double,uniform,CPU,"N | D | N | N | N | N",64,55,0.240288,0.00149,0.160559,0.012928,0.461815,0.415265
3,double,uniform,CPU,"N | D | N | N | N | N",64,56,0.246496,0.001481,0.159279,0.015808,0.470425,0.423064
3,double,uniform,CPU,"N | D | N | N | N | N",64,57,0.237856,0.00161,0.234128,0.01264,0.533344,0.486234
3,double,uniform,CPU,"N | D | N | N | N | N",64,58,0.240608,0.00151,0.157958,0.013728,0.460166,0.413804
3,double,uniform,CPU,"N | D | N | N | N | N",64,59,0.239712,0.00163,0.159278,0.015712,0.467616,0.416332
3,double,uniform,CPU,"N | D | N | N | N | N",64,60,0.242112,0.001671,0.159259,0.015136,0.463865,0.418178
3,double,uniform,CPU,"N | D | N | N | N | N",64,61,0.24176,0.00145,0.158378,0.012544,0.462225,0.414132
3,double,uniform,CPU,"N | D | N | N | N | N",64,62,0.244672,0.00146,0.158888,0.01376,0.465566,0.41878
3,double,uniform,CPU,"N | D | N | N | N | N",64,63,0.243264,0.00148,0.153038,0.016544,0.456586,0.414326
3,double,uniform,CPU,"N | D | N | N | N | N",64,64,0.239456,0.001492,0.157039,0.01312,0.455825,0.411107
3,double,uniform,CPU,"N | D | N | N | N | N",64,65,0.242176,0.001481,0.158639,0.013888,0.461795,0.416184
3,double,uniform,CPU,"N | D | N | N | N | N",64,66,0.239392,0.001479,0.158579,0.012416,0.465595,0.411866
3,double,uniform,CPU,"N | D | N | N | N | N",64,67,0.241952,0.001651,0.158619,0.01392,0.463546,0.416142
3,double,uniform,CPU,"N | D | N | N | N | N",64,68,0.242208,0.00154,0.158378,0.015072,0.463235,0.417198
3,double,uniform,CPU,"N | D | N | N | N | N",64,69,0.25088,0.00152,0.157898,0.013792,0.469475,0.42409
3,double,uniform,CPU,"N | D | N | N | N | N",64,70,0.242112,0.0015,0.157708,0.01472,0.461275,0.41604
3,double,uniform,CPU,"N | D | N | N | N | N",64,71,0.24832,0.001479,0.158698,0.014368,0.469155,0.422865
3,double,uniform,CPU,"N | D | N | N | N | N",64,72,0.239232,0.00155,0.158239,0.0152,0.460995,0.414221
3,double,uniform,CPU,"N | D | N | N | N | N",64,73,0.239712,0.001549,0.158048,0.013728,0.461115,0.413037
3,double,uniform,CPU,"N | D | N | N | N | N",64,74,0.321536,0.00152,0.159398,0.013184,0.540474,0.495638
3,double,uniform,CPU,"N | D | N | N | N | N",128,0,1.79622,0.00194,2.08979,0.06336,4.02178,3.95131
3,double,uniform,CPU,"N | D | N | N | N | N",128,1,1.54355,0.0019,2.08389,0.059584,3.74502,3.68893
3,double,uniform,CPU,"N | D | N | N | N | N",128,2,1.53978,0.00169,2.08429,0.059744,3.73709,3.6855
3,double,uniform,CPU,"N | D | N | N | N | N",128,3,1.54355,0.001601,2.08523,0.058912,3.7393,3.68929
