dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,0,0.073568,0.002889,0.154199,215.833,216.174,216.064
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,1,0.013472,0.0017,0.119158,0.02544,0.222647,0.15977
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,2,0.014112,0.00152,0.115828,0.025088,0.219607,0.156548
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,3,0.02208,0.00166,0.115769,0.024704,0.227968,0.164213
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,4,0.012128,0.00152,0.115889,0.026048,0.217858,0.155585
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,5,0.014432,0.00161,0.116138,0.023808,0.218068,0.155988
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,6,0.021312,0.00153,0.116108,0.025952,0.226757,0.164902
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,7,0.013568,0.001492,0.1163,0.025664,0.218488,0.157024
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,8,0.011392,0.001451,0.115999,0.023552,0.217188,0.152394
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,9,0.015232,0.00143,0.11608,0.023616,0.219197,0.156358
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,10,0.012736,0.00149,0.116318,0.02704,0.219368,0.157584
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,11,0.021568,0.00157,0.115678,0.024832,0.226888,0.163648
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,12,0.01424,0.00149,0.116249,0.024928,0.219338,0.156907
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,13,0.012672,0.0016,0.116158,0.022688,0.216248,0.153118
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,14,0.02032,0.00151,0.115029,0.022784,0.223078,0.159643
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,15,0.013888,0.001411,0.11623,0.021824,0.216477,0.153353
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,16,0.0208,0.0015,0.115228,0.024928,0.224988,0.162456
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,17,0.020832,0.00161,0.115588,0.024608,0.224428,0.162638
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,18,0.018912,0.001581,0.10863,0.026272,0.209957,0.155395
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,19,0.02208,0.00147,0.115749,0.024864,0.226067,0.164163
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,20,0.013376,0.00153,0.117188,0.024224,0.221038,0.156318
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,21,0.020416,0.001489,0.114619,0.024576,0.223118,0.1611
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,22,0.013504,0.00141,0.116018,0.02432,0.217078,0.155252
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,23,0.021184,0.001539,0.116219,0.024256,0.226957,0.163198
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,24,0.013792,0.00168,0.116499,0.025152,0.219458,0.157123
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,25,0.01424,0.00147,0.115709,0.023808,0.217958,0.155227
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,26,0.013696,0.00167,0.115908,0.022464,0.216347,0.153738
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,27,0.014528,0.001461,0.11626,0.02384,0.217977,0.156089
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,28,0.020832,0.00145,0.115388,0.021568,0.221908,0.159238
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,29,0.011712,0.001429,0.11585,0.022496,0.215138,0.151487
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,30,0.015296,0.001549,0.115989,0.024512,0.219768,0.157346
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,31,0.021056,0.00149,0.116269,0.024544,0.226278,0.163359
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,32,0.014656,0.00152,0.116849,0.025792,0.222447,0.158817
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,33,0.014336,0.00162,0.11587,0.022592,0.219198,0.154418
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,34,0.0128,0.00147,0.115989,0.022944,0.217048,0.153203
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,35,0.021376,0.00146,0.123269,0.025152,0.235037,0.171257
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,36,0.020768,0.001499,0.115759,0.02336,0.223377,0.161386
