dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",64,52,0.01296,0,0.034719,0.006816,0.087849,0.054495
1,double,uniform,GPU,"Ns | Ds",64,53,0.01328,0,0.03467,0.006784,0.08851,0.054734
1,double,uniform,GPU,"Ns | Ds",64,54,0.01232,0,0.03437,0.008544,0.089989,0.055234
1,double,uniform,GPU,"Ns | Ds",64,55,0.013248,0,0.034869,0.007456,0.089579,0.055573
1,double,uniform,GPU,"Ns | Ds",64,56,0.01328,0,0.035069,0.01024,0.092819,0.058589
1,double,uniform,GPU,"Ns | Ds",64,57,0.015424,0,0.035199,0.00736,0.093649,0.057983
1,double,uniform,GPU,"Ns | Ds",64,58,0.012576,0,0.041249,0.009568,0.099379,0.063393
1,double,uniform,GPU,"Ns | Ds",64,59,0.012608,0,0.03105,0.008288,0.080639,0.051946
1,double,uniform,GPU,"Ns | Ds",64,60,0.012256,0,0.034329,0.006784,0.087809,0.053369
1,double,uniform,GPU,"Ns | Ds",64,61,0.013568,0,0.03545,0.010112,0.094389,0.05913
1,double,uniform,GPU,"Ns | Ds",64,62,0.012864,0,0.03481,0.006048,0.087919,0.053722
1,double,uniform,GPU,"Ns | Ds",64,63,0.013248,0,0.034569,0.00848,0.090489,0.056297
1,double,uniform,GPU,"Ns | Ds",64,64,0.012032,0,0.035929,0.007328,0.087739,0.055289
1,double,uniform,GPU,"Ns | Ds",64,65,0.01184,0,0.03469,0.008672,0.091269,0.055202
1,double,uniform,GPU,"Ns | Ds",64,66,0.013312,0,0.034799,0.007296,0.089929,0.055407
1,double,uniform,GPU,"Ns | Ds",64,67,0.012992,0,0.04116,0.006624,0.095648,0.060776
1,double,uniform,GPU,"Ns | Ds",64,68,0.012704,0,0.03449,0.00752,0.089119,0.054714
1,double,uniform,GPU,"Ns | Ds",64,69,0.01312,0,0.034219,0.007232,0.088549,0.054571
1,double,uniform,GPU,"Ns | Ds",64,70,0.012704,0,0.03504,0.006912,0.089909,0.054656
1,double,uniform,GPU,"Ns | Ds",64,71,0.015584,0,0.0306,0.009632,0.084609,0.055816
1,double,uniform,GPU,"Ns | Ds",64,72,0.012736,0,0.03431,0.00704,0.087649,0.054086
1,double,uniform,GPU,"Ns | Ds",64,73,0.0128,0,0.035179,0.008992,0.091539,0.056971
1,double,uniform,GPU,"Ns | Ds",64,74,0.013312,0,0.034529,0.008224,0.090649,0.056065
1,double,uniform,GPU,"Ns | Ds",128,0,0.024224,0,0.04281,0.014848,0.123649,0.081882
1,double,uniform,GPU,"Ns | Ds",128,1,0.012608,0,0.03683,0.007712,0.090988,0.05715
1,double,uniform,GPU,"Ns | Ds",128,2,0.013248,0,0.03677,0.006368,0.089928,0.056386
1,double,uniform,GPU,"Ns | Ds",128,3,0.012384,0,0.03689,0.00864,0.092039,0.057914
1,double,uniform,GPU,"Ns | Ds",128,4,0.011968,0,0.033859,0.00752,0.082899,0.053347
1,double,uniform,GPU,"Ns | Ds",128,5,0.013152,0,0.036879,0.008704,0.092349,0.058735
1,double,uniform,GPU,"Ns | Ds",128,6,0.01328,0,0.03718,0.006496,0.089299,0.056956
1,double,uniform,GPU,"Ns | Ds",128,7,0.01296,0,0.037159,0.009056,0.096119,0.059175
1,double,uniform,GPU,"Ns | Ds",128,8,0.016064,0,0.03666,0.008128,0.09411,0.060852
1,double,uniform,GPU,"Ns | Ds",128,9,0.013536,0,0.036389,0.006432,0.088919,0.056357
1,double,uniform,GPU,"Ns | Ds",128,10,0.014304,0,0.037249,0.008096,0.092949,0.059649
