dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,43,0.019296,0.0016,0.108938,0.02688,0.211808,0.156714
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,44,0.014176,0.00163,0.116018,0.025888,0.219768,0.157712
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,45,0.018368,0.00164,0.11623,0.0216,0.285648,0.157838
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,46,0.020672,0.001521,0.11507,0.020608,0.220958,0.157871
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,47,0.013856,0.00172,0.116258,0.021344,0.217288,0.153178
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,48,0.020992,0.00154,0.114879,0.023328,0.223917,0.160739
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,49,0.011744,0.001639,0.115599,0.025376,0.216338,0.154358
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,50,0.013824,0.001581,0.115169,0.023552,0.215858,0.154126
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,51,0.019328,0.001531,0.115759,0.023296,0.224158,0.159914
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,52,0.020576,0.00151,0.1157,0.02576,0.226337,0.163546
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,53,0.020512,0.00154,0.115068,0.023008,0.221328,0.160128
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,54,0.014208,0.00155,0.115238,0.02128,0.215417,0.152276
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,55,0.013664,0.00148,0.116089,0.022496,0.217298,0.153729
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,56,0.018848,0.001529,0.1084,0.025888,0.208667,0.154665
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,57,0.014272,0.00154,0.115758,0.024992,0.217597,0.156562
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,58,0.0136,0.00152,0.11708,0.020768,0.216287,0.152968
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,59,0.013088,0.00149,0.115949,0.023904,0.215597,0.154431
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,60,0.021728,0.00162,0.115788,0.023552,0.224917,0.162688
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,61,0.020768,0.00151,0.115808,0.021664,0.227327,0.15975
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,62,0.012832,0.001509,0.109729,0.024288,0.202767,0.148358
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,63,0.021728,0.001589,0.114928,0.024128,0.224188,0.162373
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,64,0.01984,0.00154,0.115818,0.023872,0.222587,0.16107
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,65,0.02144,0.00152,0.115718,0.0208,0.222477,0.159478
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,66,0.021216,0.0015,0.115069,0.023136,0.222288,0.160921
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,67,0.020288,0.001531,0.115279,0.022304,0.222857,0.159402
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,68,0.018752,0.001641,0.110749,0.023744,0.211868,0.154886
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,69,0.013152,0.00152,0.116908,0.023456,0.219738,0.155036
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,70,0.014048,0.00163,0.117138,0.023552,0.223608,0.156368
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,71,0.021184,0.00155,0.115969,0.023552,0.225218,0.162255
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,72,0.012192,0.0017,0.116668,0.023104,0.215278,0.153664
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,73,0.020352,0.001531,0.109519,0.024416,0.217018,0.155818
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,74,0.012256,0.00152,0.108659,0.024128,0.199758,0.146563
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,0,0.042432,0.00185,0.528173,0.103584,0.741082,0.676039
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,1,0.028768,0.0018,0.519015,0.09488,0.710182,0.644463
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,2,0.029856,0.00167,0.519265,0.09632,0.710952,0.647111
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,3,0.028864,0.00175,0.519874,0.096416,0.711032,0.646904
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,4,0.029568,0.0016,0.519645,0.097504,0.711762,0.648317
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,5,0.029952,0.00165,0.513015,0.09808,0.699022,0.642697
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,6,0.029216,0.001691,0.518984,0.094496,0.710093,0.644387
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,7,0.029088,0.00171,0.521445,0.097536,0.714753,0.649779
