dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"P | P | P | P",64,0,0.07632,0,0.058119,210.448,210.688,210.583
2,float,uniform,CPU,"P | P | P | P",64,1,0.034688,0,0.02353,0.018592,0.125708,0.07681
2,float,uniform,CPU,"P | P | P | P",64,2,0.026496,0,0.020709,0.015904,0.110679,0.063109
2,float,uniform,CPU,"P | P | P | P",64,3,0.027232,0,0.02124,0.014528,0.108779,0.063
2,float,uniform,CPU,"P | P | P | P",64,4,0.024992,0,0.01872,0.018944,0.104499,0.062656
2,float,uniform,CPU,"P | P | P | P",64,5,0.031424,0,0.02094,0.018432,0.120459,0.070796
2,float,uniform,CPU,"P | P | P | P",64,6,0.078944,0,0.02144,0.014304,0.162748,0.114688
2,float,uniform,CPU,"P | P | P | P",64,7,0.024992,0,0.02081,0.020288,0.114178,0.06609
2,float,uniform,CPU,"P | P | P | P",64,8,0.027584,0,0.02118,0.015488,0.112199,0.064252
2,float,uniform,CPU,"P | P | P | P",64,9,0.025504,0,0.02089,0.017344,0.111818,0.063738
2,float,uniform,CPU,"P | P | P | P",64,10,0.024736,0,0.02098,0.016704,0.109768,0.06242
2,float,uniform,CPU,"P | P | P | P",64,11,0.025248,0,0.021949,0.016,0.109919,0.063197
2,float,uniform,CPU,"P | P | P | P",64,12,0.02464,0,0.02117,0.01552,0.108969,0.06133
2,float,uniform,CPU,"P | P | P | P",64,13,0.024608,0,0.021061,0.015264,0.108319,0.060933
2,float,uniform,CPU,"P | P | P | P",64,14,0.024064,0,0.0207,0.014848,0.106228,0.059612
2,float,uniform,CPU,"P | P | P | P",64,15,0.025472,0,0.02101,0.014976,0.110009,0.061458
2,float,uniform,CPU,"P | P | P | P",64,16,0.025408,0,0.020849,0.015232,0.106939,0.061489
2,float,uniform,CPU,"P | P | P | P",64,17,0.021664,0,0.01814,0.017536,0.096969,0.05734
2,float,uniform,CPU,"P | P | P | P",64,18,0.0232,0,0.02115,0.016992,0.109489,0.061342
2,float,uniform,CPU,"P | P | P | P",64,19,0.024032,0,0.020839,0.014784,0.105279,0.059655
2,float,uniform,CPU,"P | P | P | P",64,20,0.024576,0,0.026809,0.017184,0.115439,0.068569
2,float,uniform,CPU,"P | P | P | P",64,21,0.024736,0,0.020999,0.01552,0.108138,0.061255
2,float,uniform,CPU,"P | P | P | P",64,22,0.02384,0,0.02098,0.015232,0.104829,0.060052
2,float,uniform,CPU,"P | P | P | P",64,23,0.025312,0,0.02081,0.014048,0.106779,0.06017
2,float,uniform,CPU,"P | P | P | P",64,24,0.025568,0,0.020449,0.016736,0.108239,0.062753
2,float,uniform,CPU,"P | P | P | P",64,25,0.023808,0,0.02148,0.01648,0.108058,0.061768
2,float,uniform,CPU,"P | P | P | P",64,26,0.022848,0,0.02147,0.0152,0.105679,0.059518
2,float,uniform,CPU,"P | P | P | P",64,27,0.02544,0,0.02077,0.014912,0.108148,0.061122
2,float,uniform,CPU,"P | P | P | P",64,28,0.025536,0,0.02072,0.014016,0.195878,0.060272
2,float,uniform,CPU,"P | P | P | P",64,29,0.025216,0,0.020629,0.016384,0.107708,0.062229
