dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ns",64,0,181.327,0,0.048459,50.0818,231.556,231.458
1,double,uniform,GPU,"Ns | Ns",64,1,0.016992,0,0.037089,0.009632,0.104569,0.063713
1,double,uniform,GPU,"Ns | Ns",64,2,0.011232,0,0.03142,0.008768,0.08645,0.05142
1,double,uniform,GPU,"Ns | Ns",64,3,0.010656,0,0.0311,0.0072,0.083149,0.048956
1,double,uniform,GPU,"Ns | Ns",64,4,0.013344,0,0.03122,0.0072,0.086669,0.051764
1,double,uniform,GPU,"Ns | Ns",64,5,0.011328,0,0.02695,0.008352,0.074599,0.04663
1,double,uniform,GPU,"Ns | Ns",64,6,0.0112,0,0.02938,0.009824,0.079219,0.050404
1,double,uniform,GPU,"Ns | Ns",64,7,0.011136,0,0.03065,0.006752,0.082629,0.048538
1,double,uniform,GPU,"Ns | Ns",64,8,0.012128,0,0.03045,0.008448,0.085759,0.051026
1,double,uniform,GPU,"Ns | Ns",64,9,0.011104,0,0.03084,0.007488,0.082079,0.049432
1,double,uniform,GPU,"Ns | Ns",64,10,0.010752,0,0.03107,0.007392,0.083499,0.049214
1,double,uniform,GPU,"Ns | Ns",64,11,0.01232,0,0.030439,0.009376,0.087929,0.052135
1,double,uniform,GPU,"Ns | Ns",64,12,0.009632,0,0.03029,0.006752,0.080239,0.046674
1,double,uniform,GPU,"Ns | Ns",64,13,0.013536,0,0.03049,0.009344,0.095779,0.05337
1,double,uniform,GPU,"Ns | Ns",64,14,0.010848,0,0.03085,0.008672,0.085989,0.05037
1,double,uniform,GPU,"Ns | Ns",64,15,0.011488,0,0.03054,0.007392,0.0845,0.04942
1,double,uniform,GPU,"Ns | Ns",64,16,0.010528,0,0.03064,0.006592,0.081089,0.04776
1,double,uniform,GPU,"Ns | Ns",64,17,0.010976,0,0.03082,0.009184,0.08414,0.05098
1,double,uniform,GPU,"Ns | Ns",64,18,0.010432,0,0.03088,0.008928,0.08441,0.05024
1,double,uniform,GPU,"Ns | Ns",64,19,0.011136,0,0.0308,0.008544,0.083739,0.05048
1,double,uniform,GPU,"Ns | Ns",64,20,0.012224,0,0.030239,0.007104,0.082669,0.049567
1,double,uniform,GPU,"Ns | Ns",64,21,0.011264,0,0.03077,0.007392,0.08374,0.049426
1,double,uniform,GPU,"Ns | Ns",64,22,0.010752,0,0.03091,0.007424,0.082059,0.049086
1,double,uniform,GPU,"Ns | Ns",64,23,0.01008,0,0.03049,0.008704,0.083829,0.049274
1,double,uniform,GPU,"Ns | Ns",64,24,0.011424,0,0.03066,0.0088,0.084929,0.050884
1,double,uniform,GPU,"Ns | Ns",64,25,0.010336,0,0.03091,0.00672,0.081729,0.047966
1,double,uniform,GPU,"Ns | Ns",64,26,0.010464,0,0.030389,0.008128,0.084969,0.048981
1,double,uniform,GPU,"Ns | Ns",64,27,0.013568,0,0.0318,0.006688,0.087129,0.052056
1,double,uniform,GPU,"Ns | Ns",64,28,0.009984,0,0.030699,0.007808,0.081919,0.048491
1,double,uniform,GPU,"Ns | Ns",64,29,0.009984,0,0.0308,0.007296,0.08193,0.04808
1,double,uniform,GPU,"Ns | Ns",64,30,0.01808,0,0.03123,0.006368,0.08873,0.055678
1,double,uniform,GPU,"Ns | Ns",64,31,0.013856,0,0.03071,0.006752,0.08499,0.051318
1,double,uniform,GPU,"Ns | Ns",64,32,0.012192,0,0.02712,0.010176,0.077619,0.049488
1,double,uniform,GPU,"Ns | Ns",64,33,0.011456,0,0.031989,0.007616,0.084539,0.051061
1,double,uniform,GPU,"Ns | Ns",64,34,0.010656,0,0.030868,0.007072,0.081629,0.048596
1,double,uniform,GPU,"Ns | Ns",64,35,0.010944,0,0.03086,0.005696,0.080209,0.0475
1,double,uniform,GPU,"Ns | Ns",64,36,0.011136,0,0.03104,0.004736,0.082539,0.046912
1,double,uniform,GPU,"Ns | Ns",64,37,0.011168,0,0.03047,0.006784,0.081559,0.048422
1,double,uniform,GPU,"Ns | Ns",64,38,0.013088,0,0.03068,0.007552,0.087229,0.05132
1,double,uniform,GPU,"Ns | Ns",64,39,0.009824,0,0.03107,0.006912,0.082089,0.047806
1,double,uniform,GPU,"Ns | Ns",64,40,0.011648,0,0.030589,0.007808,0.085749,0.050045
1,double,uniform,GPU,"Ns | Ns",64,41,0.010208,0,0.030639,0.00784,0.084729,0.048687
1,double,uniform,GPU,"Ns | Ns",64,42,0.012704,0,0.030949,0.00736,0.090539,0.051013
1,double,uniform,GPU,"Ns | Ns",64,43,0.012352,0,0.03056,0.008576,0.085009,0.051488
1,double,uniform,GPU,"Ns | Ns",64,44,0.012256,0,0.03086,0.007136,0.084719,0.050252
1,double,uniform,GPU,"Ns | Ns",64,45,0.010624,0,0.02989,0.007168,0.080649,0.047682
1,double,uniform,GPU,"Ns | Ns",64,46,0.011104,0,0.03048,0.00704,0.08134,0.048624
1,double,uniform,GPU,"Ns | Ns",64,47,0.011296,0,0.030509,0.005664,0.080949,0.047469
1,double,uniform,GPU,"Ns | Ns",64,48,0.010432,0,0.030609,0.00672,0.081419,0.047761
1,double,uniform,GPU,"Ns | Ns",64,49,0.010976,0,0.03081,0.006816,0.082649,0.048602
1,double,uniform,GPU,"Ns | Ns",64,50,0.012,0,0.03093,0.007712,0.083579,0.050642
1,double,uniform,GPU,"Ns | Ns",64,51,0.012224,0,0.030779,0.005504,0.081769,0.048507
1,double,uniform,GPU,"Ns | Ns",64,52,0.011328,0,0.030611,0.008352,0.084569,0.050291
1,double,uniform,GPU,"Ns | Ns",64,53,0.012128,0,0.03049,0.007648,0.084549,0.050266
1,double,uniform,GPU,"Ns | Ns",64,54,0.01248,0,0.03167,0.008416,0.087159,0.052566
1,double,uniform,GPU,"Ns | Ns",64,55,0.012,0,0.03024,0.007264,0.083349,0.049504
1,double,uniform,GPU,"Ns | Ns",64,56,0.010176,0,0.03125,0.007456,0.088859,0.048882
1,double,uniform,GPU,"Ns | Ns",64,57,0.015488,0,0.03122,0.008192,0.08826,0.0549
1,double,uniform,GPU,"Ns | Ns",64,58,0.011072,0,0.03082,0.006656,0.081719,0.048548
1,double,uniform,GPU,"Ns | Ns",64,59,0.01408,0,0.03069,0.0064,0.086679,0.05117
1,double,uniform,GPU,"Ns | Ns",64,60,0.011904,0,0.03202,0.009056,0.087819,0.05298
1,double,uniform,GPU,"Ns | Ns",64,61,0.010112,0,0.030511,0.007232,0.082109,0.047855
1,double,uniform,GPU,"Ns | Ns",64,62,0.011616,0,0.03085,0.007424,0.08329,0.04989
1,double,uniform,GPU,"Ns | Ns",64,63,0.011776,0,0.03095,0.009024,0.08683,0.05175
1,double,uniform,GPU,"Ns | Ns",64,64,0.010304,0,0.02699,0.008096,0.072919,0.04539
1,double,uniform,GPU,"Ns | Ns",64,65,0.011776,0,0.03084,0.008864,0.088079,0.05148
1,double,uniform,GPU,"Ns | Ns",64,66,0.012,0,0.03065,0.007936,0.084299,0.050586
1,double,uniform,GPU,"Ns | Ns",64,67,0.012128,0,0.03042,0.007872,0.086949,0.05042
1,double,uniform,GPU,"Ns | Ns",64,68,0.012608,0,0.0309,0.009248,0.087399,0.052756
1,double,uniform,GPU,"Ns | Ns",64,69,0.011872,0,0.030709,0.005792,0.080769,0.048373
1,double,uniform,GPU,"Ns | Ns",64,70,0.010464,0,0.03067,0.00672,0.08106,0.047854
1,double,uniform,GPU,"Ns | Ns",64,71,0.010368,0,0.03091,0.009056,0.085019,0.050334
1,double,uniform,GPU,"Ns | Ns",64,72,0.010912,0,0.0305,0.006848,0.081839,0.04826
1,double,uniform,GPU,"Ns | Ns",64,73,0.011872,0,0.03053,0.007584,0.082689,0.049986
1,double,uniform,GPU,"Ns | Ns",64,74,0.012544,0,0.0309,0.007104,0.084989,0.050548
1,double,uniform,GPU,"Ns | Ns",128,0,0.02416,0,0.03749,0.009216,0.112069,0.070866
1,double,uniform,GPU,"Ns | Ns",128,1,0.01088,0,0.033549,0.0072,0.084869,0.051629
1,double,uniform,GPU,"Ns | Ns",128,2,0.010368,0,0.03289,0.004896,0.08342,0.048154
1,double,uniform,GPU,"Ns | Ns",128,3,0.012416,0,0.0325,0.008736,0.089219,0.053652
1,double,uniform,GPU,"Ns | Ns",128,4,0.015232,0,0.02937,0.00704,0.079999,0.051642
1,double,uniform,GPU,"Ns | Ns",128,5,0.012864,0,0.03602,0.010112,0.087829,0.058996
1,double,uniform,GPU,"Ns | Ns",128,6,0.011968,0,0.032809,0.007488,0.086939,0.052265
1,double,uniform,GPU,"Ns | Ns",128,7,0.01168,0,0.03277,0.007328,0.086889,0.051778
1,double,uniform,GPU,"Ns | Ns",128,8,0.010048,0,0.0332,0.00656,0.08289,0.049808
1,double,uniform,GPU,"Ns | Ns",128,9,0.013792,0,0.03281,0.009408,0.090379,0.05601
1,double,uniform,GPU,"Ns | Ns",128,10,0.011584,0,0.03276,0.006528,0.08496,0.050872
1,double,uniform,GPU,"Ns | Ns",128,11,0.010592,0,0.034159,0.007136,0.086099,0.051887
1,double,uniform,GPU,"Ns | Ns",128,12,0.010144,0,0.032849,0.00944,0.087089,0.052433
1,double,uniform,GPU,"Ns | Ns",128,13,0.011616,0,0.03913,0.008544,0.093909,0.05929
1,double,uniform,GPU,"Ns | Ns",128,14,0.01152,0,0.0334,0.008064,0.086888,0.052984
1,double,uniform,GPU,"Ns | Ns",128,15,0.010592,0,0.03298,0.007712,0.085509,0.051284
1,double,uniform,GPU,"Ns | Ns",128,16,0.012576,0,0.03308,0.00752,0.08834,0.053176
1,double,uniform,GPU,"Ns | Ns",128,17,0.010176,0,0.03266,0.007744,0.084059,0.05058
1,double,uniform,GPU,"Ns | Ns",128,18,0.011424,0,0.032099,0.009632,0.088609,0.053155
1,double,uniform,GPU,"Ns | Ns",128,19,0.011968,0,0.032839,0.009216,0.088829,0.054023
1,double,uniform,GPU,"Ns | Ns",128,20,0.012256,0,0.033239,0.007456,0.086299,0.052951
1,double,uniform,GPU,"Ns | Ns",128,21,0.010336,0,0.032419,0.0088,0.085449,0.051555
1,double,uniform,GPU,"Ns | Ns",128,22,0.01248,0,0.03257,0.006624,0.086169,0.051674
1,double,uniform,GPU,"Ns | Ns",128,23,0.0128,0,0.03316,0.007008,0.08761,0.052968
1,double,uniform,GPU,"Ns | Ns",128,24,0.011616,0,0.0329,0.006592,0.083889,0.051108
1,double,uniform,GPU,"Ns | Ns",128,25,0.012704,0,0.03288,0.008416,0.089869,0.054
1,double,uniform,GPU,"Ns | Ns",128,26,0.011136,0,0.032579,0.00704,0.084069,0.050755
1,double,uniform,GPU,"Ns | Ns",128,27,0.010816,0,0.03308,0.007456,0.084679,0.051352
1,double,uniform,GPU,"Ns | Ns",128,28,0.01216,0,0.03304,0.007008,0.085349,0.052208
1,double,uniform,GPU,"Ns | Ns",128,29,0.012224,0,0.03309,0.0072,0.086349,0.052514
1,double,uniform,GPU,"Ns | Ns",128,30,0.010592,0,0.032409,0.007008,0.083729,0.050009
1,double,uniform,GPU,"Ns | Ns",128,31,0.011488,0,0.032489,0.006528,0.085149,0.050505
1,double,uniform,GPU,"Ns | Ns",128,32,0.012992,0,0.03356,0.006656,0.086819,0.053208
1,double,uniform,GPU,"Ns | Ns",128,33,0.010816,0,0.033159,0.009088,0.087059,0.053063
1,double,uniform,GPU,"Ns | Ns",128,34,0.0104,0,0.033069,0.007552,0.083149,0.051021
1,double,uniform,GPU,"Ns | Ns",128,35,0.010976,0,0.033309,0.007328,0.085029,0.051613
1,double,uniform,GPU,"Ns | Ns",128,36,0.01312,0,0.033019,0.007456,0.088519,0.053595
1,double,uniform,GPU,"Ns | Ns",128,37,0.01136,0,0.03344,0.007424,0.086009,0.052224
1,double,uniform,GPU,"Ns | Ns",128,38,0.017248,0,0.033999,0.00768,0.093629,0.058927
1,double,uniform,GPU,"Ns | Ns",128,39,0.011296,0,0.03314,0.006368,0.084089,0.050804
1,double,uniform,GPU,"Ns | Ns",128,40,0.010368,0,0.03292,0.009152,0.086509,0.05244
1,double,uniform,GPU,"Ns | Ns",128,41,0.010752,0,0.032951,0.006752,0.085009,0.050455
1,double,uniform,GPU,"Ns | Ns",128,42,0.012992,0,0.032849,0.007712,0.087119,0.053553
1,double,uniform,GPU,"Ns | Ns",128,43,0.01072,0,0.03307,0.00912,0.086939,0.05291
1,double,uniform,GPU,"Ns | Ns",128,44,0.011808,0,0.03298,0.008576,0.087609,0.053364
1,double,uniform,GPU,"Ns | Ns",128,45,0.010816,0,0.032839,0.009088,0.087629,0.052743
1,double,uniform,GPU,"Ns | Ns",128,46,0.011296,0,0.03293,0.007456,0.083939,0.051682
1,double,uniform,GPU,"Ns | Ns",128,47,0.009664,0,0.03292,0.007776,0.085189,0.05036
1,double,uniform,GPU,"Ns | Ns",128,48,0.011328,0,0.03269,0.0064,0.087039,0.050418
1,double,uniform,GPU,"Ns | Ns",128,49,0.010304,0,0.032949,0.006976,0.084449,0.050229
1,double,uniform,GPU,"Ns | Ns",128,50,0.010176,0,0.032529,0.007168,0.083749,0.049873
1,double,uniform,GPU,"Ns | Ns",128,51,0.01168,0,0.03255,0.007808,0.085859,0.052038
1,double,uniform,GPU,"Ns | Ns",128,52,0.012384,0,0.032639,0.007584,0.087199,0.052607
1,double,uniform,GPU,"Ns | Ns",128,53,0.010496,0,0.03275,0.008928,0.08552,0.052174
1,double,uniform,GPU,"Ns | Ns",128,54,0.010112,0,0.03324,0.007584,0.083859,0.050936
1,double,uniform,GPU,"Ns | Ns",128,55,0.010976,0,0.03278,0.006464,0.0836,0.05022
1,double,uniform,GPU,"Ns | Ns",128,56,0.01072,0,0.032889,0.008288,0.085449,0.051897
1,double,uniform,GPU,"Ns | Ns",128,57,0.011456,0,0.03301,0.007232,0.085869,0.051698
1,double,uniform,GPU,"Ns | Ns",128,58,0.011392,0,0.163357,0.008928,0.217898,0.183677
1,double,uniform,GPU,"Ns | Ns",128,59,0.012096,0,0.032589,0.007712,0.085739,0.052397
1,double,uniform,GPU,"Ns | Ns",128,60,0.010528,0,0.03282,0.00688,0.084349,0.050228
1,double,uniform,GPU,"Ns | Ns",128,61,0.012384,0,0.03271,0.006976,0.0869,0.05207
1,double,uniform,GPU,"Ns | Ns",128,62,0.010496,0,0.029549,0.008064,0.075799,0.048109
1,double,uniform,GPU,"Ns | Ns",128,63,0.012864,0,0.032699,0.007488,0.086719,0.053051
1,double,uniform,GPU,"Ns | Ns",128,64,0.010528,0,0.033729,0.007392,0.086999,0.051649
1,double,uniform,GPU,"Ns | Ns",128,65,0.010304,0,0.033629,0.00672,0.084379,0.050653
1,double,uniform,GPU,"Ns | Ns",128,66,0.010848,0,0.03282,0.013504,0.090549,0.057172
1,double,uniform,GPU,"Ns | Ns",128,67,0.012128,0,0.033009,0.00704,0.086279,0.052177
1,double,uniform,GPU,"Ns | Ns",128,68,0.012288,0,0.032569,0.006944,0.084839,0.051801
1,double,uniform,GPU,"Ns | Ns",128,69,0.014368,0,0.03268,0.009408,0.09214,0.056456
1,double,uniform,GPU,"Ns | Ns",128,70,0.010112,0,0.0328,0.008384,0.085999,0.051296
1,double,uniform,GPU,"Ns | Ns",128,71,0.013824,0,0.032659,0.009408,0.090959,0.055891
1,double,uniform,GPU,"Ns | Ns",128,72,0.010976,0,0.03295,0.00864,0.088459,0.052566
1,double,uniform,GPU,"Ns | Ns",128,73,0.010048,0,0.03273,0.007296,0.082619,0.050074
1,double,uniform,GPU,"Ns | Ns",128,74,0.0104,0,0.03265,0.007072,0.091939,0.050122
1,double,uniform,GPU,"Ns | Ns",192,0,0.021856,0,0.04611,0.011072,0.120719,0.079038
1,double,uniform,GPU,"Ns | Ns",192,1,0.010624,0,0.042239,0.008576,0.097339,0.061439
1,double,uniform,GPU,"Ns | Ns",192,2,0.018048,0,0.04251,0.006528,0.101929,0.067086
1,double,uniform,GPU,"Ns | Ns",192,3,0.011872,0,0.042479,0.006592,0.099099,0.060943
1,double,uniform,GPU,"Ns | Ns",192,4,0.01152,0,0.046939,0.00592,0.100659,0.064379
1,double,uniform,GPU,"Ns | Ns",192,5,0.012448,0,0.03818,0.00944,0.09184,0.060068
1,double,uniform,GPU,"Ns | Ns",192,6,0.01072,0,0.041749,0.008192,0.095659,0.060661
1,double,uniform,GPU,"Ns | Ns",192,7,0.01376,0,0.042149,0.006144,0.098429,0.062053
1,double,uniform,GPU,"Ns | Ns",192,8,0.012096,0,0.042429,0.009088,0.098859,0.063613
1,double,uniform,GPU,"Ns | Ns",192,9,0.013664,0,0.041799,0.006528,0.095919,0.061991
1,double,uniform,GPU,"Ns | Ns",192,10,0.011232,0,0.042219,0.006624,0.095969,0.060075
1,double,uniform,GPU,"Ns | Ns",192,11,0.011456,0,0.04169,0.00784,0.097489,0.060986
