dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,40,0.019904,0.00146,0.121198,0.022144,0.225877,0.164706
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,41,0.019712,0.00152,0.121478,0.022912,0.235277,0.165622
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,42,0.016,0.00143,0.121488,0.022656,0.224788,0.161574
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,43,0.02224,0.001489,0.12168,0.022912,0.230757,0.168321
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,44,0.013824,0.00147,0.120928,0.024128,0.222277,0.16035
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,45,0.020192,0.001471,0.115219,0.026816,0.216788,0.163698
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,46,0.02064,0.00152,0.120999,0.024576,0.228957,0.167735
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,47,0.020896,0.00144,0.121249,0.02224,0.228298,0.165825
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,48,0.021504,0.00159,0.121728,0.024224,0.231197,0.169046
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,49,0.021312,0.00153,0.121319,0.023648,0.230477,0.167809
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,50,0.02064,0.00147,0.121118,0.024096,0.229857,0.167324
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,51,0.02176,0.00148,0.121839,0.02432,0.231138,0.169399
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,52,0.012192,0.00156,0.121148,0.024416,0.220117,0.159316
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,53,0.020576,0.001479,0.127249,0.02176,0.233208,0.171064
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,54,0.019552,0.00161,0.121598,0.023616,0.229218,0.166376
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,55,0.02016,0.00157,0.12207,0.021792,0.230127,0.165592
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,56,0.021632,0.00146,0.121298,0.024896,0.233228,0.169286
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,57,0.021024,0.00153,0.120908,0.022688,0.228947,0.16615
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,58,0.020288,0.00158,0.121699,0.02496,0.229227,0.168527
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,59,0.022176,0.001531,0.121608,0.024416,0.233717,0.169731
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,60,0.014368,0.00152,0.121298,0.023552,0.223478,0.160738
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,61,0.020352,0.001399,0.121428,0.024064,0.229657,0.167243
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,62,0.020544,0.00157,0.121529,0.02352,0.230607,0.167163
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,63,0.020032,0.00163,0.121378,0.022656,0.228437,0.165696
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,64,0.020224,0.00153,0.120908,0.022464,0.227787,0.165126
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,65,0.021344,0.00164,0.124128,0.021824,0.231628,0.168936
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,66,0.02128,0.001499,0.121409,0.021536,0.229357,0.165724
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,67,0.021024,0.001559,0.121268,0.023008,0.230577,0.166859
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,68,0.021696,0.00146,0.121839,0.022752,0.234438,0.167747
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,69,0.014976,0.00149,0.121078,0.022464,0.222688,0.160008
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,70,0.022016,0.00139,0.120949,0.02512,0.229247,0.169475
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,71,0.02096,0.001531,0.121068,0.024928,0.231628,0.168487
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,72,0.021792,0.00162,0.121278,0.02208,0.230088,0.16677
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,73,0.0208,0.00149,0.121729,0.025344,0.231827,0.169363
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,74,0.020416,0.00152,0.122038,0.02416,0.235917,0.168134
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,0,0.041632,0.001869,0.557373,0.107904,0.773491,0.708778
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,1,0.028832,0.00158,0.552305,0.103136,0.749772,0.685853
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,2,0.028896,0.00165,0.550614,0.102048,0.746682,0.683208
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,3,0.02928,0.00152,0.548335,0.100192,0.741852,0.679327
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,4,0.04464,0.00207,0.559265,0.108608,0.779462,0.714583
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,5,0.043264,0.00197,0.558404,0.107776,0.775171,0.711414
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,6,0.028416,0.001739,0.548044,0.10272,0.744732,0.680919
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,7,0.027872,0.00172,0.550384,0.10144,0.745242,0.681416
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,8,0.027776,0.00157,0.549304,0.099936,0.748031,0.678586
