dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",64,52,0.150464,0.00164,0.04186,0.012288,0.259757,0.206252
3,float,uniform,CPU,"P | P | P | P | N | D",64,53,0.144768,0.0015,0.035249,0.02368,0.249167,0.205197
3,float,uniform,CPU,"P | P | P | P | N | D",64,54,0.1512,0.001741,0.0387,0.013888,0.255608,0.205529
3,float,uniform,CPU,"P | P | P | P | N | D",64,55,0.152224,0.00159,0.04224,0.012864,0.262397,0.208918
3,float,uniform,CPU,"P | P | P | P | N | D",64,56,0.149056,0.00161,0.0417,0.010784,0.258267,0.20315
3,float,uniform,CPU,"P | P | P | P | N | D",64,57,0.153984,0.001579,0.049899,0.01216,0.273416,0.217622
3,float,uniform,CPU,"P | P | P | P | N | D",64,58,0.151584,0.0016,0.042189,0.013824,0.262077,0.209197
3,float,uniform,CPU,"P | P | P | P | N | D",64,59,0.156128,0.001571,0.042089,0.011776,0.268117,0.211564
3,float,uniform,CPU,"P | P | P | P | N | D",64,60,0.147904,0.001539,0.03497,0.013312,0.241528,0.197725
3,float,uniform,CPU,"P | P | P | P | N | D",64,61,0.160384,0.00154,0.04194,0.013408,0.270087,0.217272
3,float,uniform,CPU,"P | P | P | P | N | D",64,62,0.148672,0.001619,0.041839,0.011456,0.258478,0.203586
3,float,uniform,CPU,"P | P | P | P | N | D",64,63,0.152512,0.001531,0.041678,0.011488,0.262487,0.207209
3,float,uniform,CPU,"P | P | P | P | N | D",64,64,0.151936,0.00155,0.04202,0.011488,0.261367,0.206994
3,float,uniform,CPU,"P | P | P | P | N | D",64,65,0.150496,0.00152,0.04183,0.013312,0.261147,0.207158
3,float,uniform,CPU,"P | P | P | P | N | D",64,66,0.14624,0.00172,0.03546,0.015552,0.244567,0.198972
3,float,uniform,CPU,"P | P | P | P | N | D",64,67,0.156832,0.00156,0.042059,0.012832,0.268077,0.213283
3,float,uniform,CPU,"P | P | P | P | N | D",64,68,0.152576,0.001571,0.043078,0.012608,0.265847,0.209833
3,float,uniform,CPU,"P | P | P | P | N | D",64,69,0.149088,0.001549,0.04265,0.011328,0.259137,0.204615
3,float,uniform,CPU,"P | P | P | P | N | D",64,70,0.154048,0.00161,0.041589,0.011616,0.262017,0.208863
3,float,uniform,CPU,"P | P | P | P | N | D",64,71,0.150368,0.00164,0.042299,0.019648,0.268567,0.213955
3,float,uniform,CPU,"P | P | P | P | N | D",64,72,0.152576,0.001599,0.04192,0.013856,0.263468,0.209951
3,float,uniform,CPU,"P | P | P | P | N | D",64,73,0.153056,0.00164,0.04188,0.011616,0.262657,0.208192
3,float,uniform,CPU,"P | P | P | P | N | D",64,74,0.149664,0.0016,0.04212,0.012384,0.259707,0.205768
3,float,uniform,CPU,"P | P | P | P | N | D",128,0,0.996896,0.00199,0.08304,0.034496,1.18492,1.11642
3,float,uniform,CPU,"P | P | P | P | N | D",128,1,0.785376,0.0017,0.077469,0.028288,0.948939,0.892833
3,float,uniform,CPU,"P | P | P | P | N | D",128,2,0.77936,0.001658,0.076759,0.029792,0.94459,0.887569
3,float,uniform,CPU,"P | P | P | P | N | D",128,3,0.780896,0.0016,0.076209,0.02976,0.94506,0.888465
3,float,uniform,CPU,"P | P | P | P | N | D",128,4,0.775552,0.00161,0.083558,0.028544,0.94371,0.889264
3,float,uniform,CPU,"P | P | P | P | N | D",128,5,0.78528,0.001561,0.075649,0.026432,0.941789,0.888922
3,float,uniform,CPU,"P | P | P | P | N | D",128,6,0.781312,0.00164,0.076038,0.029856,0.94861,0.888846
3,float,uniform,CPU,"P | P | P | P | N | D",128,7,0.94208,0.00159,0.076529,0.02912,1.10327,1.04932
3,float,uniform,CPU,"P | P | P | P | N | D",128,8,0.93632,0.00159,0.077049,0.029152,1.09861,1.04411
3,float,uniform,CPU,"P | P | P | P | N | D",128,9,0.77184,0.001659,0.07642,0.02848,0.93253,0.878399
3,float,uniform,CPU,"P | P | P | P | N | D",128,10,0.782432,0.00163,0.075998,0.029184,0.94542,0.889244
3,float,uniform,CPU,"P | P | P | P | N | D",128,11,0.783648,0.001589,0.076929,0.028352,0.94491,0.890518
3,float,uniform,CPU,"P | P | P | P | N | D",128,12,0.781568,0.00156,0.07633,0.029824,0.943529,0.889282
3,float,uniform,CPU,"P | P | P | P | N | D",128,13,0.89824,0.00157,0.076948,0.027104,1.05927,1.00386
3,float,uniform,CPU,"P | P | P | P | N | D",128,14,0.835872,0.001651,0.077138,0.031232,1.00182,0.945893
3,float,uniform,CPU,"P | P | P | P | N | D",128,15,0.918336,0.00181,0.07006,0.031488,1.07021,1.02169
3,float,uniform,CPU,"P | P | P | P | N | D",128,16,0.776672,0.0016,0.07537,0.027232,0.936219,0.880874
3,float,uniform,CPU,"P | P | P | P | N | D",128,17,0.774848,0.00175,0.07964,0.03008,0.941439,0.886318
3,float,uniform,CPU,"P | P | P | P | N | D",128,18,0.775648,0.00167,0.076598,0.031136,0.93858,0.885052
3,float,uniform,CPU,"P | P | P | P | N | D",128,19,0.768416,0.00156,0.068599,0.029888,0.91306,0.868463
3,float,uniform,CPU,"P | P | P | P | N | D",128,20,0.782336,0.00167,0.07616,0.02832,0.94333,0.888486
3,float,uniform,CPU,"P | P | P | P | N | D",128,21,0.89648,0.001581,0.077268,0.029728,1.06018,1.00506
3,float,uniform,CPU,"P | P | P | P | N | D",128,22,0.778336,0.00158,0.07615,0.029184,0.94115,0.88525
3,float,uniform,CPU,"P | P | P | P | N | D",128,23,0.77568,0.00158,0.075989,0.028576,0.93626,0.881825
3,float,uniform,CPU,"P | P | P | P | N | D",128,24,0.769696,0.001611,0.06941,0.03072,0.91913,0.871437
3,float,uniform,CPU,"P | P | P | P | N | D",128,25,0.778048,0.00156,0.083689,0.029216,0.947569,0.892513
3,float,uniform,CPU,"P | P | P | P | N | D",128,26,0.777024,0.00155,0.07706,0.03152,0.94225,0.887154
3,float,uniform,CPU,"P | P | P | P | N | D",128,27,0.783776,0.00162,0.074989,0.029312,0.94519,0.889697
3,float,uniform,CPU,"P | P | P | P | N | D",128,28,0.905728,0.00194,0.0817,0.037504,1.10553,1.02687
3,float,uniform,CPU,"P | P | P | P | N | D",128,29,0.796512,0.00158,0.07903,0.030976,0.974999,0.908098
