dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.1928,0.00319,0.110469,217.944,218.369,218.251
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.156416,0.00152,0.051729,0.01584,0.278447,0.225505
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.142048,0.0015,0.04598,0.014432,0.254497,0.20396
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.145504,0.00142,0.045479,0.01424,0.257477,0.206643
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.144544,0.00146,0.045939,0.012992,0.256927,0.204935
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.143808,0.001501,0.044699,0.012736,0.252678,0.202744
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.142944,0.00149,0.168759,0.017152,0.376266,0.330345
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.141568,0.00143,0.045449,0.012416,0.250387,0.200863
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.1424,0.00143,0.045159,0.0168,0.255847,0.205789
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.141824,0.00145,0.04504,0.013664,0.252667,0.201978
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.14656,0.00144,0.043598,0.014912,0.263108,0.20651
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.339808,0.001449,0.04484,0.013664,0.449215,0.399761
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.14416,0.00144,0.045249,0.01504,0.255557,0.205889
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.143424,0.001499,0.04506,0.01344,0.251827,0.203423
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.143168,0.00144,0.051688,0.015776,0.261717,0.212072
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.145216,0.00148,0.045959,0.013728,0.256397,0.206383
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.14592,0.00143,0.046159,0.01344,0.261217,0.206949
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.153632,0.00151,0.046349,0.013856,0.264777,0.215347
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.14544,0.001409,0.04496,0.013472,0.254497,0.205281
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.143456,0.001521,0.044409,0.015552,0.255048,0.204938
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,20,0.144096,0.00165,0.04498,0.013568,0.255888,0.204294
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,21,0.143648,0.001511,0.207596,0.013664,0.416705,0.366419
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,22,0.142816,0.001471,0.044619,0.016704,0.256857,0.20561
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,23,0.142784,0.001439,0.045859,0.013024,0.254297,0.203106
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,24,0.142976,0.001441,0.044269,0.016096,0.259087,0.204782
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,25,0.143232,0.001682,0.045279,0.012448,0.253028,0.202641
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,26,0.142272,0.00139,0.04533,0.014144,0.253787,0.203136
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,27,0.143584,0.00146,0.052999,0.014944,0.262077,0.212987
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,28,0.144576,0.001449,0.04578,0.013696,0.257057,0.205501
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,29,0.145472,0.00146,0.04537,0.012288,0.255087,0.20459
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,30,0.1456,0.00141,0.045189,0.022688,0.262217,0.214887
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,31,0.141312,0.00142,0.044929,0.015744,0.250748,0.203405
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,32,0.141696,0.00148,0.04457,0.014208,0.251817,0.201954
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,33,0.145856,0.00141,0.045559,0.01408,0.257237,0.206905
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,34,0.143904,0.001429,0.044759,0.02288,0.264407,0.212972
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,35,0.14336,0.00146,0.044979,0.015584,0.255997,0.205383
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,36,0.144,0.001559,0.04358,0.01712,0.254487,0.206259
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,37,0.14512,0.0014,0.04531,0.01504,0.261646,0.20687
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,38,0.144672,0.001501,0.0461,0.015008,0.257267,0.207281
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,39,0.143072,0.001539,0.044969,0.015712,0.255267,0.205292
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,40,0.143808,0.001449,0.052829,0.014176,0.263067,0.212262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,41,0.14608,0.00142,0.05026,0.012032,0.263548,0.209792
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,42,0.144416,0.00153,0.04851,0.013088,0.259987,0.207544
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,43,0.206944,0.001429,0.044049,0.013408,0.314246,0.26583
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,44,0.147264,0.00156,0.045119,0.012928,0.258457,0.206871
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,45,0.14224,0.0014,0.045259,0.018656,0.259287,0.207555
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,46,0.144256,0.00155,0.04711,0.0136,0.258597,0.206516
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,47,0.146176,0.00146,0.04535,0.01408,0.258017,0.207066
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,48,0.1504,0.00143,0.044669,0.0128,0.260167,0.209299
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,49,0.143712,0.00148,0.04478,0.016096,0.251847,0.206068
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,50,0.143808,0.001451,0.045699,0.017472,0.258367,0.20843
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,51,0.143744,0.00161,0.05266,0.012928,0.261307,0.210942
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,52,0.145344,0.00152,0.04647,0.014528,0.258177,0.207862
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,53,0.143424,0.00146,0.046439,0.013568,0.254687,0.204891
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,54,0.220224,0.0014,0.04538,0.014144,0.330896,0.281148
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,55,0.143168,0.00144,0.046269,0.014848,0.254407,0.205725
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,56,0.14304,0.00142,0.044639,0.0136,0.252927,0.202699
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,57,0.143904,0.00146,0.04428,0.015808,0.254707,0.205452
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,58,0.148672,0.001509,0.04505,0.01488,0.259688,0.210111
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,59,0.142432,0.00147,0.04538,0.014368,0.254547,0.20365
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,60,0.137984,0.00151,0.03853,0.015328,0.235657,0.193352
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,61,0.144544,0.001481,0.045089,0.012992,0.260247,0.204106
