dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,43,0.236832,0.00179,0.10282,0.023392,0.419918,0.364834
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,44,0.238368,0.00151,0.10278,0.021824,0.419889,0.364482
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,45,0.236256,0.001549,0.11044,0.021888,0.425748,0.370133
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,46,0.239488,0.001511,0.10345,0.023456,0.423258,0.367905
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,47,0.233664,0.00155,0.104259,0.020448,0.499108,0.359921
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,48,0.23232,0.00155,0.102301,0.021952,0.413098,0.358123
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,49,0.245472,0.00179,0.10226,0.020384,0.425998,0.369906
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,50,0.234112,0.001539,0.10227,0.019264,0.411828,0.357185
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,51,0.239936,0.00177,0.10218,0.021312,0.419628,0.365198
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,52,0.236512,0.00164,0.096459,0.025856,0.406288,0.360467
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,53,0.245376,0.001499,0.10255,0.021856,0.425628,0.371281
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,54,0.4176,0.00165,0.10266,0.02336,0.599077,0.54527
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,55,0.23232,0.00153,0.1025,0.02176,0.414408,0.35811
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,56,0.241888,0.00165,0.103019,0.022976,0.427448,0.369533
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,57,0.23744,0.00157,0.10241,0.022112,0.416348,0.363532
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,58,0.241472,0.00152,0.102329,0.023008,0.420578,0.368329
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,59,0.245696,0.001531,0.10338,0.020768,0.426368,0.371375
